"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","永和","O3",5.3,3,7.1,22,18,15,9.4,3.7,3.4,3.1,3.8,3.5,5.3,6.9,4.9,3.4,2.7,5.5,11,14,15,16,14,14
"2018/01/08","永和","PM10",11,11,10,8,4,2,5,11,15,18,15,17,19,14,18,20,20,18,13,8,10,9,1,5
"2018/01/08","永和","SO2",2,1.9,1.7,1.4,1.5,1.5,1.7,3,4.4,4.4,2.9,2.9,3.3,3.1,3.8,3.6,3.4,2.4,1.8,1.6,0.6,0.5,0.7,0.4
"2018/01/09","永和","CO",0.66,0.62,0.65,0.66,0.6,0.58,0.75,0.84,0.89,0.96,0.77,0.78,0.67,0.68,0.63,0.68,0.72,0.83,0.81,0.72,0.71,0.73,0.72,0.69
"2018/01/09","永和","NOx",13,12,12,18,11,9.7,23,29,30,51,41,38,24,22,24,29,30,35,30,26,29,33,29,26
"2018/01/09","永和","O3",22,22,22,23,30,32,24,23,24,18,21,20,30,34,34,29,25,20,20,21,19,14,18,21
"2018/01/09","永和","PM10",6,7,12,13,19,16,17,29,32,36,36,35,49,54,51,50,45,43,41,37,42,45,36,33
"2018/01/09","永和","SO2",1.4,0.3,0.4,0.4,0.6,0.6,0.6,0.9,0.8,1.7,2.2,1.9,1.7,1.4,1.4,1.3,1,0.9,1.1,0.7,1.2,2.1,2.5,1.5
"2018/01/10","永和","CO",0.49,0.35,0.3,0.28,0.29,0.36,0.53,1.53,1.64,1.32,1.06,0.6,0.44,0.38,0.38,0.45,0.5,0.66,0.8,0.77,0.69,0.59,0.52,0.5
"2018/01/10","永和","NOx",11,7.9,5.8,6.6,6.7,15,29,88,79,74,61,36,22,20,19,30,29,31,39,40,39,39,31,28
"2018/01/10","永和","O3",34,37,39,36,34,28,21,7.5,9.7,16,21,33,40,41,42,38,37,34,28,16,13,14,17,18
"2018/01/10","永和","PM10",29,24,23,16,15,19,21,27,34,39,45,45,36,27,25,28,27,24,24,26,27,29,27,22
"2018/01/10","永和","SO2",1.3,1,1.1,0.9,1,1.2,1.3,2.3,2.3,2.4,2.7,2.6,2,1.6,1.6,1.8,2.2,1.8,1.9,1.5,1.9,1.6,1.4,1.3
"2018/01/11","永和","CO",0.46,0.31,0.33,0.26,0.35,0.33,0.71,1.09,1.73,1.12,0.5,0.41,0.4,0.43,NA,0.41,0.41,0.62,0.66,0.56,0.58,0.51,0.55,0.69
"2018/01/11","永和","NOx",19,14,15,11,16,16,50,57,88,71,30,20,21,24,NA,23,23,28,34,27,30,33,36,40
"2018/01/11","永和","O3",25,28,27,28,22,22,10,7.1,8.6,16,32,37,39,NA,NA,34,39,36,33,34,31,25,19,14
"2018/01/11","永和","PM10",21,25,27,25,23,22,28,29,36,46,49,50,46,46,NA,56,51,43,39,39,39,35,28,29
"2018/01/11","永和","SO2",0.3,1.6,1.4,1.6,1.8,1.3,2.1,2.1,3,3.7,2.4,2.4,2.2,2.2,NA,1.7,1.9,1.9,1.9,2,1.6,2.3,2.3,1.8
"2018/01/12","永和","CO",0.46,0.3,0.27,0.25,0.24,0.34,0.57,1.76,1.65,0.69,0.51,0.43,0.46,0.5,0.48,0.5,0.52,0.77,0.7,0.52,0.52,0.45,0.39,0.31
"2018/01/12","永和","NOx",19,15,12,9.3,9.7,16,44,116,102,39,30,23,22,24,24,25,26,39,33,26,29,24,20,14
"2018/01/12","永和","O3",23,26,26,26,24,19,11,4.3,7,23,30,37,38,38,39,39,38,29,26,24,19,21,24,29
"2018/01/12","永和","PM10",32,26,21,19,19,17,18,26,32,41,52,54,55,59,60,58,55,52,47,39,37,34,28,25
"2018/01/12","永和","SO2",1.4,1.5,1.5,1.4,1.2,1.4,1.6,3.1,3.2,2.9,2.7,2.5,2.6,2.5,2.6,2.5,2.2,2.1,1.8,2.9,3,2.1,1.7,1.7
"2018/01/13","永和","CO",0.37,0.23,0.24,0.2,0.25,0.36,0.58,0.84,0.8,0.41,0.38,0.34,0.34,0.32,0.31,0.29,0.32,0.38,0.27,0.31,0.31,0.25,0.24,0.21
"2018/01/13","永和","NOx",15,7.1,7.3,7.3,10,18,37,60,49,20,19,18,16,16,18,17,16,15,11,13,13,11,15,9.3
"2018/01/13","永和","O3",28,33,31,32,29,19,12,8.9,15,30,33,34,35,35,34,34,35,33,33,28,32,33,30,36
"2018/01/13","永和","PM10",20,17,16,16,17,17,15,19,21,18,22,27,26,21,19,18,15,12,9,9,10,9,11,9
"2018/01/13","永和","SO2",1.8,0.7,0.8,0.6,0.5,0.6,1,1.4,1.3,1,0.9,0.8,0.7,0.7,0.7,1,0.8,0.7,0.6,0.7,0.7,0.6,0.7,0.8
"2018/01/14","永和","CO",0.26,0.21,0.21,0.25,0.29,0.25,0.53,0.77,0.44,0.49,0.47,0.39,0.37,0.39,0.4,0.4,0.47,0.61,0.57,0.52,0.53,0.6,0.42,0.4
"2018/01/14","永和","NOx",7.7,9.3,7.2,12,13,11,30,45,22,21,22,17,16,18,21,20,29,33,30,25,32,34,21,22
"2018/01/14","永和","O3",37,33,37,33,26,25,15,11,27,31,33,38,39,38,35,37,27,20,22,28,21,19,30,27
"2018/01/14","永和","PM10",9,10,7,7,7,8,11,15,15,14,13,11,14,15,11,11,11,11,12,14,17,15,9,8
"2018/01/14","永和","SO2",0.9,1.6,1.5,1.6,1.7,1.6,2,2.1,2,1.9,2,2.2,2.2,3.4,5.9,3.7,11,7.3,3.1,2.7,3.5,2.5,2.6,2.3
"2018/01/15","永和","CO",0.36,0.29,0.4,0.44,0.41,0.42,0.61,1.96,2.41,2.12,1.11,0.49,0.31,0.29,0.37,0.34,0.4,0.63,0.82,0.83,1.02,0.9,1.41,1.6
"2018/01/15","永和","NOx",18,14,22,24,23,26,37,110,120,126,78,32,15,14,20,18,19,27,32,39,47,43,79,78
"2018/01/15","永和","O3",31,31,23,15,11,16,10,4.6,5.3,5.1,17,29,39,40,36,36,33,27,21,14,11,12,4.4,2.9
"2018/01/15","永和","PM10",10,11,13,15,14,11,11,17,29,35,34,28,18,16,13,15,18,15,16,17,21,18,18,23
"2018/01/15","永和","SO2",2.3,1.6,1.6,1.3,1.2,1.4,1.3,2.6,3,3.3,3,2.1,1.4,1.2,1.1,1.3,1.2,1.1,1.2,1.5,1.6,1.6,2.2,2.2
