"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","´_¿³","CO",0.45,0.41,0.38,0.4,0.38,0.51,0.83,1.2,1.73,1.15,0.37,0.35,0.37,0.23,0.22,0.42,0.66,1,1.54,0.77,0.71,0.75,0.64,0.44
"2018/01/08","´_¿³","NOx",31,15,14,16,15,19,38,49,64,51,26,22,20,14,17,26,32,46,56,31,25,28,22,16
"2018/01/08","´_¿³","O3",18,27,29,23,22,17,7.4,4.3,4.6,11,19,27,27,25,23,18,16,12,5.5,13,19,19,19,21
"2018/01/08","´_¿³","PM10",40,39,38,42,42,42,43,50,61,64,46,33,29,NA,NA,28,33,30,32,33,32,27,22,18
"2018/01/08","´_¿³","SO2",11,3.7,3,3.2,3.3,3.2,4.6,4.5,4.9,8.3,6.2,7.6,8.5,5.4,4.6,5.7,1.7,2,3.1,2.3,1.7,1.7,1.8,1.8
"2018/01/09","´_¿³","CO",0.37,0.24,0.35,0.42,0.35,0.41,0.48,1.05,1.27,1.11,1.15,0.9,NA,0.83,0.99,1,0.92,0.88,0.92,1.25,1.03,0.77,0.81,0.66
"2018/01/09","´_¿³","NOx",14,11,11,14,11,12,19,41,35,39,47,38,NA,NA,50,53,49,42,41,67,59,40,43,30
"2018/01/09","´_¿³","O3",23,23,20,16,24,24,24,15,5.9,4.9,7.5,NA,7.1,8.3,5.4,3.5,3.9,5.6,6.1,2,0.9,1.5,1.4,4
"2018/01/09","´_¿³","PM10",14,19,23,24,30,32,25,26,34,36,40,NA,39,39,47,56,45,37,38,41,46,45,47,48
"2018/01/09","´_¿³","SO2",1.3,1.8,1.6,1.8,1.4,1.6,2,2.2,2.6,2.7,2.8,2.5,NA,2.3,2.4,2.4,2.2,2,2,2.6,3.6,2.8,2.6,2
"2018/01/10","´_¿³","CO",0.57,0.46,0.42,0.31,0.28,0.35,0.5,0.89,0.93,0.89,0.87,0.83,0.74,0.77,0.67,0.8,0.91,0.98,0.8,0.91,0.63,0.73,0.63,0.53
"2018/01/10","´_¿³","NOx",23,15,15,11,12,13,21,40,36,52,51,48,34,35,33,43,45,40,39,47,34,43,38,34
"2018/01/10","´_¿³","O3",11,16,18,27,28,24,18,11,14,12,11,14,22,27,27,24,25,25,24,17,21,12,14,16
"2018/01/10","´_¿³","PM10",47,41,41,37,26,26,33,39,39,46,53,51,52,54,60,63,67,74,81,85,76,69,68,60
"2018/01/10","´_¿³","SO2",1.8,1.5,1.5,1.4,1.4,1.4,1.5,2.2,2.6,3,4,3.8,3.4,3,3.1,3.2,3.3,3.2,4.1,4.2,3.3,3.6,3.3,3.5
"2018/01/11","´_¿³","CO",0.42,0.35,0.33,0.3,0.28,0.34,0.53,0.74,1.07,1.26,1.15,0.98,0.78,0.65,0.59,0.8,0.97,1.22,1.25,0.77,0.62,0.66,0.52,0.45
"2018/01/11","´_¿³","NOx",28,21,17,14,13,16,30,33,53,81,78,55,42,39,34,50,55,54,57,41,32,35,28,25
"2018/01/11","´_¿³","O3",17,20,24,29,30,25,14,14,11,7,7.1,14,22,24,27,20,19,16,17,21,23,20,21,22
"2018/01/11","´_¿³","PM10",55,45,40,36,29,30,38,44,52,67,75,73,70,71,69,71,74,73,79,94,96,82,72,66
"2018/01/11","´_¿³","SO2",3.5,3,2.8,2.8,2.6,2.4,3.6,2.9,3.5,5.3,6.3,4,3.6,3.8,3.8,4.2,3.7,3.2,4.1,4.7,3.8,3.4,3.2,3.8
"2018/01/12","´_¿³","CO",0.41,0.37,0.33,0.31,0.27,0.33,0.53,1.07,1.02,0.8,0.82,0.75,0.75,0.51,0.44,0.44,0.58,0.69,1.14,0.92,0.84,0.8,0.73,0.77
"2018/01/12","´_¿³","NOx",22,16,15,12,10,12,25,53,43,44,49,41,38,37,26,26,24,32,54,50,44,43,39,39
"2018/01/12","´_¿³","O3",24,24,26,29,30,27,19,9.5,12,15,20,30,41,39,48,46,45,34,18,15,14,10,9.3,9.4
"2018/01/12","´_¿³","PM10",67,63,58,52,45,45,44,54,64,66,70,70,64,72,76,68,60,62,90,122,125,111,98,95
"2018/01/12","´_¿³","SO2",2.9,3.1,2.8,2.7,2.6,2.3,2.6,3.3,3.6,3.9,3.7,4.1,4.6,7.6,4.3,3.6,2.7,2.9,4.2,4.7,4.3,3.7,3.7,3.8
"2018/01/13","´_¿³","CO",0.6,0.6,0.46,0.43,0.46,0.54,0.81,1,1.47,1.4,1.26,0.91,0.55,0.43,0.41,0.37,0.4,0.57,0.63,0.7,0.89,0.92,0.96,0.83
"2018/01/13","´_¿³","NOx",33,34,26,24,25,29,46,58,73,67,61,35,26,25,21,21,19,23,28,31,44,50,51,51
"2018/01/13","´_¿³","O3",9.5,8.1,14,14,14,11,4.2,2.7,5.3,13,21,39,54,56,63,59,56,49,41,37,23,15,7.9,5.9
"2018/01/13","´_¿³","PM10",93,92,88,79,76,78,83,82,90,103,114,104,86,80,73,65,56,53,53,56,65,77,83,85
"2018/01/13","´_¿³","SO2",3.5,3.3,2.9,3,2.9,3.3,4.5,4.6,5.7,6.4,7.1,4.5,7.1,6.6,3.5,3,2.8,2.4,2.4,2.4,2.9,3,3.4,5.8
"2018/01/14","´_¿³","CO",0.71,0.54,0.6,0.57,0.62,0.62,0.72,1.06,1.28,1.03,0.76,0.7,0.5,0.48,0.39,0.39,0.42,0.49,0.56,0.53,0.85,0.76,0.76,0.72
"2018/01/14","´_¿³","NOx",56,34,42,32,33,36,45,67,78,51,32,30,22,20,18,17,18,22,32,29,43,41,42,41
"2018/01/14","´_¿³","O3",3.6,14,10,14,12,13,8.1,7.1,13,36,44,47,58,65,66,68,66,57,40,34,15,12,8.3,3.5
"2018/01/14","´_¿³","PM10",83,77,77,78,73,76,82,85,95,93,72,56,60,62,56,58,56,49,57,74,83,85,78,84
"2018/01/14","´_¿³","SO2",7.3,3.7,3.6,2.9,2.6,5.2,5.2,5.1,8.1,8.2,7.2,5.3,4.1,4.1,4,3.9,3.2,3.4,5.4,3.1,2.9,2.7,2.8,3.3
"2018/01/15","´_¿³","CO",0.57,0.44,0.42,0.41,0.33,0.42,0.68,0.96,1.05,1.01,0.93,0.82,0.71,0.58,0.56,0.51,0.63,0.79,1.09,1.34,1.88,1.75,1.59,0.97
"2018/01/15","´_¿³","NOx",37,31,18,15,13,23,30,38,41,39,41,36,34,39,27,25,33,29,39,56,72,67,61,44
"2018/01/15","´_¿³","O3",2.7,5,15,19,22,14,12,8.2,14,23,33,46,53,55,64,58,46,41,25,10,2.6,2.2,1.6,2.1
"2018/01/15","´_¿³","PM10",95,96,92,83,67,57,59,61,72,75,72,73,76,84,85,83,83,88,88,94,107,107,97,86
"2018/01/15","´_¿³","SO2",3.4,4.1,2.8,2.6,2.6,4.6,3.3,3.4,3.5,3.7,4.1,4.2,4.3,7.8,5.4,4.2,4.5,3.7,4.8,5.5,5.6,5.3,5.4,4.5
"2018/01/16","´_¿³","CO",0.88,0.67,0.56,0.44,0.41,0.49,0.75,1.49,1.97,1.39,1.17,0.76,0.8,0.68,0.55,0.63,0.72,0.97,1.16,1.01,0.99,1.11,1.21,1.09
"2018/01/16","´_¿³","NOx",46,35,39,24,19,21,32,61,70,64,56,33,40,32,29,33,33,41,51,50,53,56,60,58
"2018/01/16","´_¿³","O3",1.6,3.4,1.7,7.8,11,9.5,7.7,4.5,6.8,16,30,50,58,62,50,36,34,24,14,7.7,3.8,3.3,1.9,1.2
"2018/01/16","´_¿³","PM10",81,84,90,84,71,72,77,95,113,110,96,84,90,96,83,73,76,81,78,76,75,75,74,76
"2018/01/16","´_¿³","SO2",4.7,4.8,7.1,4.4,3.1,2.9,2.8,3.9,4.9,4.8,5.1,4.4,5.1,4.3,4,4.4,4.5,4.8,4.9,5.4,5.6,5.7,5.9,5.8
"2018/01/17","´_¿³","CO",0.82,0.84,0.65,0.48,0.46,0.61,0.8,1.26,1.76,1.27,0.93,0.9,0.81,0.61,0.53,0.51,0.65,0.88,1.37,1.04,1.07,1.84,1.48,0.98
"2018/01/17","´_¿³","NOx",48,46,34,24,31,36,45,56,59,58,47,44,58,57,43,36,49,52,54,37,39,67,68,67
"2018/01/17","´_¿³","O3",1.7,1.8,8.9,16,12,6.6,6.3,5.9,6.8,11,17,23,25,25,37,45,32,29,23,28,21,4.7,1.1,0.7
"2018/01/17","´_¿³","PM10",78,74,71,62,54,57,49,43,52,57,50,47,64,77,80,81,74,77,82,77,78,95,110,116
"2018/01/17","´_¿³","SO2",5.7,3.8,3.3,2.4,4,4.3,5.7,5.1,4.2,4.9,3.9,3.5,13,14,12,6.3,5.9,5,3.9,3.4,3.4,5.2,6.7,9.1
"2018/01/18","´_¿³","CO",0.87,0.77,0.76,0.62,0.62,0.7,1.14,2.07,2.09,1.7,1.58,1.27,0.89,0.67,0.58,0.59,0.68,1.22,1.92,1.65,1.21,1.19,1.08,0.76
"2018/01/18","´_¿³","NOx",53,44,56,36,54,57,63,71,72,66,69,60,51,53,47,43,40,46,63,64,49,50,47,38
"2018/01/18","´_¿³","O3",0.9,2.9,1,3.1,0.9,1.1,0.9,1.8,4.6,13,27,46,40,43,50,57,62,37,21,12,11,4.7,3.4,5.3
"2018/01/18","´_¿³","PM10",109,105,111,112,122,129,128,131,145,162,182,191,166,145,137,129,126,119,118,115,110,116,115,112
"2018/01/18","´_¿³","SO2",8.3,5,9.1,7.3,14,12,11,7.2,6.3,7.7,7.7,6.8,8.5,NA,9.6,9.8,9.3,4.9,4.8,4.3,3.8,3.5,3.3,3
"2018/01/19","´_¿³","CO",0.7,0.71,0.67,0.58,0.57,0.65,1.04,1.87,1.65,1.46,1.23,0.91,0.67,0.58,NA,0.55,0.72,1.03,1.06,0.7,1.2,0.72,0.67,1.01
"2018/01/19","´_¿³","NOx",34,32,30,27,23,25,37,56,50,50,49,52,25,25,NA,34,40,37,65,45,57,43,40,45
"2018/01/19","´_¿³","O3",5.8,4.9,3.8,5.3,5.4,4.6,2.8,1.6,3.7,8.3,31,48,65,NA,70,54,36,29,8.9,20,2.2,14,13,2.8
"2018/01/19","´_¿³","PM10",108,96,100,106,100,95,93,107,117,123,200,202,116,NA,100,94,90,86,82,78,85,83,69,81
"2018/01/19","´_¿³","SO2",3,3.4,3.6,3.3,3.3,2.9,3.4,4.7,4,3.9,7,17,9.5,7.8,NA,9.2,7.1,3.8,8.3,9.3,4.5,5.2,7.5,4.1
"2018/01/20","´_¿³","CO",0.99,0.81,0.69,0.53,0.44,0.47,0.71,0.96,1.07,1.02,0.7,0.57,0.48,0.39,0.43,0.5,0.6,0.6,0.67,0.71,0.9,1.02,1.02,0.86
"2018/01/20","´_¿³","NOx",47,42,34,29,27,21,34,35,40,40,36,21,22,15,20,26,21,21,21,24,36,39,38,33
"2018/01/20","´_¿³","O3",2.3,1.4,2.4,3.3,4.3,12,5.3,7.3,15,22,28,43,46,51,54,56,66,62,57,48,28,19,14,17
"2018/01/20","´_¿³","PM10",92,93,95,94,95,93,91,94,98,103,100,82,72,67,67,82,90,89,85,86,98,116,126,130
"2018/01/20","´_¿³","SO2",4.1,4.2,3.7,3.4,3.2,2.8,3.2,3.6,4.1,4.3,7.6,5.6,7.2,4.3,4.7,5.8,3.6,3.1,2.8,3.5,4,4.1,4,3.7
"2018/01/21","´_¿³","CO",0.77,0.72,0.73,0.79,0.81,0.81,1.03,1.08,1.21,1.47,1.43,1.2,1.08,0.91,0.87,0.73,0.69,0.81,0.8,1.25,1.19,1.01,0.82,0.7
"2018/01/21","´_¿³","NOx",28,24,22,22,22,22,24,31,29,NA,44,47,38,29,29,32,31,32,27,43,42,36,31,27
"2018/01/21","´_¿³","O3",16,14,12,7.9,6,6.6,6.8,6.5,10,12,26,28,35,47,54,51,49,45,47,28,21,23,21,20
"2018/01/21","´_¿³","PM10",129,130,129,133,153,158,155,162,159,151,147,145,149,140,127,118,103,95,81,79,90,99,105,97
"2018/01/21","´_¿³","SO2",4.1,3.2,3,2.9,2.1,2.1,2.1,2.3,2.5,3.2,4.7,9.8,8.6,5.1,5.2,8.3,6.7,4.4,3.4,3.4,3.8,3.3,3.3,3.2
