"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","­]®ß","CO",0.52,0.38,0.29,0.23,0.25,0.26,0.39,1.04,0.82,0.8,0.38,0.37,0.41,0.35,0.39,0.33,0.39,0.53,0.54,0.71,0.72,0.73,0.69,0.67
"2018/01/08","­]®ß","NOx",29,18,15,13,13,12,17,43,39,53,22,21,21,19,19,16,18,20,25,23,22,25,25,13
"2018/01/08","­]®ß","O3",1.4,6.6,11,14,13,13,11,2.6,3.5,1.7,13,17,17,18,18,21,18,17,13,9.5,10,5.6,4.9,13
"2018/01/08","­]®ß","PM10",18,27,35,11,12,14,11,17,22,23,24,9,11,17,14,20,18,14,11,13,17,14,20,12
"2018/01/08","­]®ß","SO2",2.5,1.9,2.1,1.1,0.9,0.8,0.7,1.3,1.8,2,1.7,1.2,1,0.8,0.9,0.8,0.8,0.8,1,1.5,1.2,1.4,2.4,1.1
"2018/01/09","­]®ß","CO",0.68,0.64,0.64,0.59,0.53,0.52,0.51,0.55,0.57,0.56,0.52,0.51,0.53,0.56,0.6,0.59,0.59,0.64,0.61,0.61,0.61,0.52,0.43,0.37
"2018/01/09","­]®ß","NOx",12,13,9.8,8.1,6.5,8.7,12,13,19,20,16,17,15,21,23,25,27,29,25,23,23,16,10,7.1
"2018/01/09","­]®ß","O3",13,12,15,18,23,26,26,28,23,24,27,27,28,25,22,21,21,20,20,19,18,24,29,33
"2018/01/09","­]®ß","PM10",14,11,11,11,14,22,27,28,37,35,25,42,37,44,49,54,59,52,50,56,52,41,32,27
"2018/01/09","­]®ß","SO2",0.8,2.1,1.9,1.6,1.5,2.1,2.3,1.8,2.4,2.1,2.3,2.6,2.4,3.2,3.2,3.4,3.4,2.8,2.5,2.2,2,2.1,1.7,1.9
"2018/01/10","­]®ß","CO",0.3,0.28,0.23,0.26,0.3,0.32,0.36,0.49,0.52,0.42,0.41,0.36,0.33,0.3,0.28,0.27,0.3,0.43,0.38,0.4,0.36,0.3,0.26,0.25
"2018/01/10","­]®ß","NOx",5.2,8,7.1,7.4,8.1,9.6,12,17,20,15,17,16,16,13,13,13,16,22,22,21,17,12,9.6,8.4
"2018/01/10","­]®ß","O3",35,32,34,34,38,36,35,31,30,36,38,40,42,45,47,47,43,36,33,32,35,40,41,43
"2018/01/10","­]®ß","PM10",24,28,22,26,36,37,48,43,46,45,41,31,46,42,36,37,29,33,37,35,34,30,37,26
"2018/01/10","­]®ß","SO2",2.1,2,1.6,2.5,2.2,2.2,2.1,2.3,2.8,2.6,2.9,2.8,2.7,2.6,2.3,2.3,2.3,2.3,2.3,2.3,1.8,1.9,2.1,2.2
"2018/01/11","­]®ß","CO",0.24,0.22,0.22,0.22,0.22,0.23,0.27,0.37,0.39,0.33,0.32,0.38,0.33,0.3,0.29,NA,0.31,0.37,0.37,0.38,0.35,0.33,0.3,0.23
