"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","¥j«F","CO",0.64,0.47,0.59,0.33,0.33,0.31,0.55,0.9,1.6,2.07,0.88,0.72,NA,NA,0.63,0.8,0.78,0.78,0.86,0.76,0.72,0.73,0.73,0.67
"2018/01/08","¥j«F","NOx",37,23,33,17,15,19,41,61,103,140,69,58,NA,NA,47,63,65,38,33,28,25,24,23,19
"2018/01/08","¥j«F","O3",6.9,16,7,20,17,13,3.9,2.5,2.1,2.1,4.9,NA,NA,9.9,8.7,5,2.8,7.3,11,13,13,14,13,16
"2018/01/08","¥j«F","PM10",NA,NA,NA,NA,NA,2,2,NA,3,5,10,NA,NA,13,50,53,60,22,13,5,4,5,6,5
"2018/01/08","¥j«F","SO2",1.2,1.2,1.2,1.3,1.3,1.2,1.4,2,3.2,4.5,3.4,2.9,NA,NA,3,2.9,3.3,2.2,1.8,1.5,1.5,1.3,1.2,1.2
"2018/01/09","¥j«F","CO",0.6,0.57,0.56,0.54,0.53,0.51,0.52,0.67,0.71,0.68,0.59,0.6,0.53,0.53,0.54,0.57,0.64,0.73,0.74,0.65,0.61,0.72,0.69,0.57
"2018/01/09","¥j«F","NOx",13,9.8,9.3,8.1,8.1,9.2,18,35,36,38,32,32,20,19,25,31,35,41,38,33,31,41,36,27
"2018/01/09","¥j«F","O3",22,23,24,26,33,32,27,19,20,19,22,22,32,34,31,26,22,15,15,19,18,11,13,17
"2018/01/09","¥j«F","PM10",10,13,12,8,14,17,15,15,20,30,33,33,38,45,53,58,57,51,46,41,39,37,29,31
"2018/01/09","¥j«F","SO2",0.9,1,0.9,0.9,1.1,0.9,1,1.2,1.5,2.2,3,2.4,2.1,2,2,1.7,1.6,1.6,1.7,1.6,2.3,3.2,3.1,2.3
"2018/01/10","¥j«F","CO",0.4,0.3,0.29,0.24,0.22,0.26,0.42,0.9,0.85,0.71,NA,0.35,0.31,NA,NA,0.32,0.36,0.42,0.58,0.58,0.57,0.54,0.7,0.55
"2018/01/10","¥j«F","NOx",12,7,6.7,6,5.5,9.1,28,66,49,42,NA,NA,NA,NA,NA,NA,NA,26,38,38,41,37,44,34
"2018/01/10","¥j«F","O3",34,38,38,37,35,29,18,5.8,11,18,NA,NA,NA,NA,42,40,NA,NA,26,20,15,17,9.2,16
"2018/01/10","¥j«F","PM10",26,26,21,13,8,1,6,14,24,27,31,NA,28,31,28,32,31,28,28,28,33,34,32,28
"2018/01/10","¥j«F","SO2",1.6,1.2,1.1,1.1,1.1,1,1.2,1.8,2.1,2.3,NA,2,1.8,NA,NA,1.7,1.5,1.7,1.9,1.8,2.2,1.9,1.8,2
"2018/01/11","¥j«F","CO",0.41,0.37,0.31,0.25,0.24,0.28,0.45,0.79,1.02,0.51,0.33,0.3,0.3,0.29,0.28,0.31,0.33,0.41,0.46,0.41,0.36,0.47,0.57,0.59
"2018/01/11","¥j«F","NOx",20,20,17,14,13,15,45,66,73,42,25,18,17,16,17,20,21,27,30,27,24,33,42,39
"2018/01/11","¥j«F","O3",24,24,25,26,25,21,11,7.4,8,23,33,37,40,43,44,41,41,36,34,33,35,25,18,12
"2018/01/11","¥j«F","PM10",30,28,25,15,14,16,24,31,36,38,45,48,46,36,42,44,57,40,38,31,41,37,32,27
"2018/01/11","¥j«F","SO2",1.2,1.5,1.4,1.4,1.3,1.4,1.7,2.2,2.7,4,2.5,2.2,2.1,1.9,1.9,1.8,1.9,2,2,2,1.8,2.3,3.1,1.8
"2018/01/12","¥j«F","CO",0.46,0.28,0.23,0.2,0.2,0.27,0.41,0.87,1,0.39,0.36,0.32,0.34,0.35,0.38,0.39,0.41,0.51,0.56,0.5,0.47,0.42,0.36,0.3
