"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","玡马","O3",23,27,30,25,22,18,9.1,5.8,6.5,14,21,29,28,NA,NA,19,18,17,11,16,23,23,22,22
"2018/01/08","玡马","PM10",46,43,35,40,42,39,47,52,58,60,41,31,33,27,NA,NA,27,26,26,29,25,19,20,21
"2018/01/08","玡马","SO2",10,3.5,3,3.2,3.3,3.1,4.6,4.5,5.4,9.9,6.7,8.9,10,5.6,NA,NA,1.6,1.4,1.9,1.6,1.4,1.4,1.6,1.9
"2018/01/09","玡马","CO",0.31,0.24,0.35,0.42,0.35,0.39,0.34,0.59,0.86,0.81,0.8,0.7,0.75,0.72,0.83,0.82,0.84,0.77,0.86,0.83,0.86,0.78,0.75,0.65
"2018/01/09","玡马","NOx",15,9.5,9.6,12,9.2,9.1,10,20,32,35,36,33,36,35,45,48,44,37,39,40,48,41,38,28
"2018/01/09","玡马","O3",24,24,21,17,25,27,29,22,7,6.3,8.5,12,9,10,7.1,4.5,4.5,7.3,6.2,4.7,1.9,2.4,2.8,5.3
"2018/01/09","玡马","PM10",19,20,22,23,24,25,25,25,31,35,36,33,37,43,50,57,49,45,45,47,52,50,52,57
"2018/01/09","玡马","SO2",1.8,1.2,1,1.2,0.9,0.9,1.1,1,1.3,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.2,1.2,1.3,1.3,2.3,2,1.7,1.2
"2018/01/10","玡马","CO",0.56,0.46,0.43,0.31,0.27,0.29,0.39,0.62,0.68,0.59,0.59,0.58,0.53,NA,0.59,0.6,0.64,0.78,0.72,0.67,0.62,0.62,0.56,0.48
"2018/01/10","玡马","NOx",20,15,14,10,10,9.4,16,28,35,34,40,40,31,NA,30,34,33,36,37,38,34,37,34,29
"2018/01/10","玡马","O3",13,18,21,29,30,27,21,14,14,17,15,18,24,NA,30,29,32,29,26,20,22,15,17,18
"2018/01/10","玡马","PM10",50,46,46,39,31,29,32,40,42,44,47,49,52,52,61,69,71,69,72,77,73,67,61,53
"2018/01/10","玡马","SO2",0.8,1.3,1.4,1.5,1.4,1.3,1.3,1.6,2,2.1,2.9,2.9,2.9,NA,2.6,2.7,2.6,2.6,3.4,3.6,3,3.1,3,3.3
"2018/01/11","玡马","CO",0.43,0.33,0.3,0.26,0.24,0.28,0.38,0.63,0.73,0.79,0.84,0.72,0.59,0.53,0.54,0.6,0.65,0.82,0.84,0.65,0.53,0.52,0.48,0.43
"2018/01/11","玡马","NOx",27,19,15,12,11,13,24,33,38,50,61,48,36,36,35,39,40,40,41,34,27,28,25,23
"2018/01/11","玡马","O3",18,23,27,30,32,28,16,13,14,12,11,17,28,25,26,23,22,21,22,24,26,24,24,23
"2018/01/11","玡马","PM10",53,47,39,37,33,37,41,44,50,55,62,67,66,66,68,71,74,72,76,93,97,88,77,70
"2018/01/11","玡马","SO2",3.2,2.6,2.5,2.6,2.4,2.2,2.8,2.5,2.7,3.2,3.9,2.9,2.9,3.1,3.5,3.5,3.1,2.3,2.9,3.7,3.2,2.8,2.8,3.1
"2018/01/12","玡马","CO",0.38,0.35,0.31,0.29,0.25,0.26,0.37,0.69,0.8,0.62,0.54,0.53,0.56,0.44,0.36,0.35,0.4,0.52,0.86,0.7,0.72,0.71,0.69,0.68
"2018/01/12","玡马","NOx",20,16,14,12,10,10,18,35,44,39,33,31,31,46,30,30,26,30,48,39,38,39,38,37
"2018/01/12","玡马","O3",26,26,29,31,32,30,22,13,12,17,27,37,47,36,46,44,44,37,18,20,16,13,11,8.7
"2018/01/12","玡马","PM10",68,62,57,53,47,44,45,51,61,64,62,62,62,67,69,69,67,67,84,113,120,108,102,99
"2018/01/12","玡马","SO2",2.8,3.1,2.8,2.7,2.6,2.4,2.4,2.6,3,3.3,3,3.9,4.5,6.1,4.5,5.6,3,2.7,3.6,4.2,3.8,3.4,3.5,3.3
"2018/01/13","玡马","CO",0.67,0.58,0.44,0.42,0.42,0.49,0.62,1.01,1.2,0.96,0.91,0.55,0.4,0.33,0.31,0.27,0.27,0.45,0.6,0.58,0.76,0.91,0.98,0.71
"2018/01/13","玡马","NOx",36,33,24,23,20,22,36,68,74,54,49,26,22,22,19,18,16,21,31,29,38,51,56,44
