"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/07","«í¬K","SO2",2,0.3,0,0.2,0,0.2,0.3,0.3,0,0.1,0.2,-0.1,0.1,-0.2,0,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0.1,0,-0.1
"2018/01/08","«í¬K","CO",0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.11
"2018/01/08","«í¬K","NOx",2.5,2.9,2.8,2.7,2.8,2.9,2.8,2.8,2.9,3.3,3.2,3.3,3.1,3,2.9,3.2,3.6,3.6,3.5,3.1,3,3.1,3,3.1
"2018/01/08","«í¬K","O3",42,42,42,40,36,36,37,38,36,39,42,42,41,37,38,39,35,35,33,34,36,37,37,37
"2018/01/08","«í¬K","PM10",12,14,14,14,18,19,13,16,19,21,20,18,21,23,24,26,26,25,24,21,20,15,15,14
"2018/01/08","«í¬K","SO2",1,1.4,1.6,1.7,1.4,1.5,1.8,1.3,1.4,1.5,1.6,1.5,1.7,1.5,1.7,1.8,1.8,1.6,1.5,1.3,1.1,1.3,1.8,1.6
"2018/01/09","«í¬K","CO",0.11,0.38,0.51,0.51,0.49,0.42,0.41,0.41,0.44,0.46,0.48,0.48,0.46,0.43,0.4,0.39,NA,NA,NA,0.38,0.38,0.38,0.38,0.38
"2018/01/09","«í¬K","NOx",3.1,3,4.2,4.1,4.1,3.6,3.3,3.5,3.3,3.4,3.7,3.7,3.6,3.5,3.2,3.3,NA,NA,NA,3,3,3.1,3.1,2.9
"2018/01/09","«í¬K","O3",37,32,28,28,30,34,35,35,36,37,39,43,43,41,42,42,NA,NA,NA,40,41,41,41,41
"2018/01/09","«í¬K","PM10",16,19,16,12,12,15,16,17,17,20,20,13,14,24,29,27,20,19,NA,22,18,16,17,19
"2018/01/09","«í¬K","SO2",1.9,1.8,2.2,2.2,2.5,2,1.6,1.9,1.7,1.7,1.8,1.9,1.6,1.5,1.4,1.5,NA,NA,NA,1.6,1.5,1.7,1.9,1.5
"2018/01/10","«í¬K","CO",0.37,0.32,0.31,0.3,0.3,0.3,0.24,0.23,0.21,0.2,0.2,0.19,0.19,0.19,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.17,0.16
"2018/01/10","«í¬K","NOx",2.9,3.4,3,2.8,2.8,2.8,2.7,2.8,2.9,2.9,3,2.9,2.9,3.2,3.1,3.3,3.6,3.6,3.4,3.3,3.4,3.2,3.2,3.1
"2018/01/10","«í¬K","O3",42,42,42,42,41,40,44,43,44,44,44,45,46,46,47,47,47,50,50,52,52,52,52,52
"2018/01/10","«í¬K","PM10",19,15,16,16,15,15,18,18,17,22,24,27,37,39,36,34,36,41,36,34,32,29,29,30
"2018/01/10","«í¬K","SO2",1.5,2.3,2.3,2.5,2.4,2.4,2.4,2.3,2.3,2.5,2.4,2.3,2.4,2.5,2.4,2.6,2.4,2.4,2.2,2.1,2.2,2.4,2.5,2.5
"2018/01/11","«í¬K","CO",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17
"2018/01/11","«í¬K","NOx",3,2.3,2.8,2.8,2.9,2.6,2.7,2.6,2.4,2.6,2.9,3,2.9,2.9,2.8,3,3.1,3.4,3.2,3.3,3.3,3,3,2.9
"2018/01/11","«í¬K","O3",51,51,50,50,49,50,50,49,48,48,48,48,49,50,48,47,47,46,46,46,47,49,50,51
"2018/01/11","«í¬K","PM10",26,24,27,30,28,29,30,28,26,29,33,35,33,33,37,34,33,32,31,30,30,29,28,24
"2018/01/11","«í¬K","SO2",2.6,1.5,1.4,1.5,1.5,1.6,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.4,1.2,1.2,1.4,1.3,1.1,1.5,1.5,1.2,1.1,0.8
"2018/01/12","«í¬K","CO",0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.15,0.16,0.17,0.17,0.17,0.17,0.18,0.19,0.19
"2018/01/12","«í¬K","NOx",2.9,2.9,2.9,3,2.8,2.8,2.9,2.6,2.7,2.7,2.7,2.7,2.6,2.7,2.8,2.7,2.8,3.1,3.2,3.2,3.1,3.1,3.3,3.3
"2018/01/12","«í¬K","O3",51,51,50,49,48,47,46,46,46,47,48,49,50,50,51,50,50,49,51,50,50,52,52,50
"2018/01/12","«í¬K","PM10",26,32,34,36,33,35,35,35,37,36,37,34,34,36,37,38,42,44,44,46,41,40,41,37
"2018/01/12","«í¬K","SO2",1.3,1.7,1.7,1.9,1.8,1.9,1.8,1.9,1.8,1.9,1.6,1.9,1.8,1.6,1.6,1.7,1.9,1.6,1.8,1.8,1.9,2,2,2.2
"2018/01/13","«í¬K","CO",0.2,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11
"2018/01/13","«í¬K","NOx",3.3,2.6,2.6,2.4,2.6,2.5,2.4,2.4,2.3,2.1,2,2,1.8,1.9,1.8,1.7,1.7,1.6,1.6,1.5,1.6,1.5,1.5,1.8
"2018/01/13","«í¬K","O3",49,48,47,46,45,43,43,43,43,44,45,46,47,47,48,48,47,47,47,47,48,47,47,44
