"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","到て","NOx",41,28,22,22,17,14,9.8,23,40,37,10,9.9,18,18,NA,NA,7.7,7.7,7.4,5.3,5.8,9.1,12,11
"2018/01/08","到て","O3",0.8,0.7,1.5,0.7,1.1,2.9,11,4.6,2.9,4.5,17,23,18,16,NA,23,24,23,24,28,27,22,19,18
"2018/01/08","到て","PM10",48,47,31,34,38,34,27,27,45,39,35,20,25,26,NA,NA,15,10,9,4,6,7,7,16
"2018/01/08","到て","SO2",3.5,2.4,2.8,2.7,1.9,2.1,2.2,3,4.5,5.3,2.8,4.4,4.6,5,NA,NA,0.8,0.8,1.4,0.9,1.1,1.4,1.5,1.2
"2018/01/09","到て","CO",0.33,0.54,0.49,0.54,0.57,0.56,0.59,0.6,0.57,0.54,0.52,0.56,0.54,0.52,0.46,0.46,0.5,0.52,0.55,0.59,0.58,0.52,0.48,0.43
"2018/01/09","到て","NOx",8,14,13,13,11,12,10,12,11,15,14,20,21,20,17,17,21,22,25,28,29,19,19,19
"2018/01/09","到て","O3",19,10,11,11,13,10,11,11,15,15,19,16,18,19,21,21,17,16,12,8,7.5,15,17,19
"2018/01/09","到て","PM10",19,23,17,10,9,5,4,NA,1,4,4,9,12,14,10,26,33,31,34,39,56,55,51,44
"2018/01/09","到て","SO2",1.6,1.7,1.7,1.1,1.3,1.3,1.2,1.4,1.1,1.5,1.4,2.1,1.6,1.4,1.6,1.7,2.1,2,2.2,2.4,2.2,1.9,2.4,2.3
"2018/01/10","到て","CO",0.37,0.3,0.23,0.2,0.21,0.22,0.22,0.29,0.32,0.35,0.37,0.38,0.38,0.34,0.32,0.36,0.34,0.34,0.28,0.29,0.34,0.31,0.3,0.3
"2018/01/10","到て","NOx",13,12,9.2,7.6,9.5,8.9,11,18,23,22,16,19,20,16,14,16,18,17,15,18,18,17,16,18
"2018/01/10","到て","O3",24,26,31,32,29,29,28,22,20,25,30,31,34,40,47,47,42,38,36,31,29,27,25,23
"2018/01/10","到て","PM10",30,24,15,18,22,17,16,16,26,31,32,37,29,39,37,61,64,69,65,56,53,46,46,33
"2018/01/10","到て","SO2",1.1,1.4,0.8,1.1,1.2,1,1.4,1.7,2.4,2.2,2.5,2.1,2.3,2.7,2.2,2.6,3.2,3.5,2.5,2.8,2.5,2.4,2.2,2.4
"2018/01/11","到て","CO",0.29,0.25,0.2,0.21,0.2,0.21,0.23,0.27,0.27,0.25,0.27,0.29,0.31,0.31,0.3,0.32,0.32,0.31,0.31,0.29,0.27,0.29,0.28,0.28
"2018/01/11","到て","NOx",13,11,8.4,9.5,8.6,13,13,18,20,20,18,18,21,19,18,17,16,16,16,15,13,15,13,11
"2018/01/11","到て","O3",29,31,36,34,34,28,28,26,26,28,28,29,29,32,39,43,45,39,36,34,34,29,31,32
"2018/01/11","到て","PM10",27,NA,20,25,28,27,25,32,38,38,42,39,35,28,26,35,47,67,80,74,59,43,33,36
"2018/01/11","到て","SO2",3.4,3.1,2.3,2.9,1.9,2.3,2.2,3,2.9,3.3,2.9,2.8,3.8,3.2,4.1,3,3.4,3.7,3.2,2.6,2.3,2.7,2,2.2
"2018/01/12","到て","CO",0.28,0.25,0.22,0.19,0.19,0.21,0.21,0.3,0.3,0.28,0.26,0.27,0.26,0.26,0.23,0.28,0.33,0.39,0.43,0.42,0.41,0.4,0.39,0.38
"2018/01/12","到て","NOx",12,11,7.7,6.8,9.8,12,15,24,23,21,15,17,15,14,12,15,19,22,22,20,20,19,18,18
"2018/01/12","到て","O3",30,33,36,36,32,27,22,16,23,25,29,32,39,44,48,48,43,34,29,27,24,23,22,22
"2018/01/12","到て","PM10",34,41,32,26,22,24,34,44,44,39,29,27,30,40,50,66,86,112,114,102,83,72,70,63
"2018/01/12","到て","SO2",2,1.4,1.3,1.4,2.3,1.8,1.4,2.7,2.7,2.9,2,2,2.3,2.1,2,2.3,3.7,4.2,3.7,2.6,2.2,2.2,2.5,2.4
"2018/01/13","到て","CO",0.35,0.32,0.31,0.32,0.35,0.34,0.44,0.54,0.48,0.46,0.36,0.31,0.27,0.26,0.25,0.25,0.26,0.37,0.44,0.34,0.4,0.41,0.49,0.47
"2018/01/13","到て","NOx",16,16,15,14,18,25,27,38,33,31,17,13,11,10,9.1,9.1,10,26,23,20,23,25,28,31
"2018/01/13","到て","O3",22,22,19,16,12,5.3,2.1,4.9,10,16,32,44,53,56,59,59,55,36,30,25,16,10,5.2,2.7
"2018/01/13","到て","PM10",56,45,41,44,45,49,42,46,51,59,52,47,45,51,51,48,53,51,55,53,62,59,56,50
"2018/01/13","到て","SO2",1.8,1.4,1.4,1.2,1.6,3.1,2.3,2.6,4.3,5,2.6,3,1.8,1.6,1.2,1.4,1.6,1.5,2.2,1.9,1.5,1.8,1.8,1.8
