"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","¦Á¤î","CO",0.29,0.24,0.23,0.23,0.24,0.3,0.57,1.31,1.54,1.21,0.47,0.65,0.55,0.65,0.55,0.52,0.52,0.71,0.69,0.66,0.65,0.65,0.63,0.6
"2018/01/08","¦Á¤î","NOx",11,8.8,9.7,9.1,10,15,39,84,105,107,39,66,43,51,43,39,22,17,15,13,15,12,10,8.3
"2018/01/08","¦Á¤î","O3",29,29,25,23,26,22,7.4,4.2,4.2,4.2,11,6.6,13,14,15,14,20,21,24,24,23,24,26,27
"2018/01/08","¦Á¤î","PM10",4,5,3,3,5,5,8,11,14,18,17,10,9,15,18,16,13,11,10,8,8,8,7,8
"2018/01/08","¦Á¤î","SO2",1.8,1.1,1.2,1.2,1.1,1.3,1.7,3,4,4.3,3.1,3.3,2.8,2.7,2.5,2.1,1.8,1.5,1.3,1.2,1.2,1,1.1,1
"2018/01/09","¦Á¤î","CO",0.58,0.53,0.5,0.52,0.49,0.46,0.49,0.6,0.63,0.67,0.62,0.51,0.47,0.47,0.45,0.48,0.5,0.57,0.54,0.61,0.61,0.68,0.63,0.62
"2018/01/09","¦Á¤î","NOx",7.3,5.3,5.4,5,6.4,7.9,14,32,30,38,50,25,15,13,13,17,17,25,22,37,38,43,34,32
"2018/01/09","¦Á¤î","O3",28,29,33,41,40,36,30,19,22,19,14,28,35,37,39,33,32,23,25,13,10,6.5,12,6.3
"2018/01/09","¦Á¤î","PM10",10,14,18,25,27,23,25,27,32,35,43,47,46,47,47,46,43,42,39,38,36,38,37,34
"2018/01/09","¦Á¤î","SO2",1,1.3,1.4,1.8,1.6,1.3,1.4,1.8,2.1,2.4,3.5,3,2.7,2.4,2.4,2.1,1.9,1.7,1.9,2.4,3.1,3,2.9,2.5
"2018/01/10","¦Á¤î","CO",0.53,0.52,0.48,0.4,0.39,0.44,0.67,1,1.11,0.62,NA,NA,0.23,0.21,0.21,0.21,0.31,0.34,0.62,1.09,0.74,0.68,0.84,0.55
"2018/01/10","¦Á¤î","NOx",22,24,21,14,15,22,55,83,89,46,NA,NA,9.9,7.9,9.1,8.7,13,22,52,97,71,63,84,45
"2018/01/10","¦Á¤î","O3",9.7,8.1,11,20,18,13,6.7,4.6,6.2,23,NA,43,45,51,53,54,50,38,16,4.5,3.4,3.9,3.7,5.7
"2018/01/10","¦Á¤î","PM10",37,36,34,35,32,29,28,33,42,44,NA,26,26,25,22,19,19,25,30,41,43,33,32,33
"2018/01/10","¦Á¤î","SO2",1.8,1.6,1.5,1.3,1.3,1.3,1.8,2.6,3.4,3,NA,NA,1.6,1,1,0.9,1,1.2,1.4,2.5,2.4,2.3,2.6,2.1
"2018/01/11","¦Á¤î","CO",0.74,0.59,0.48,0.46,0.48,0.49,0.86,1.08,0.84,0.31,0.29,0.28,0.28,0.27,0.24,0.25,0.28,0.29,0.31,0.32,0.32,0.31,0.25,0.24
"2018/01/11","¦Á¤î","NOx",57,44,36,37,49,49,108,141,96,23,14,19,16,12,11,13,14,12,13,14,15,17,13,12
"2018/01/11","¦Á¤î","O3",3.8,4.3,5.6,6.2,4.7,4.1,3.9,4.2,9.4,32,39,36,43,48,51,NA,NA,NA,48,46,43,38,40,41
"2018/01/11","¦Á¤î","PM10",32,33,33,30,32,32,32,38,46,52,51,45,41,39,40,42,40,37,35,30,29,32,30,24
"2018/01/11","¦Á¤î","SO2",1.9,2,1.5,1.6,1.8,1.9,2.6,3.5,3.9,5.3,2.3,4.5,2.9,1.1,1.1,1.1,0.9,1,0.9,0.9,0.9,2.4,1,0.8
"2018/01/12","¦Á¤î","CO",0.24,0.21,0.19,0.2,0.24,0.29,0.29,0.46,0.49,0.31,0.3,0.31,0.33,0.33,0.33,0.33,0.33,0.35,0.39,0.36,0.32,0.4,0.38,0.31
"2018/01/12","¦Á¤î","NOx",7.1,5.1,4.2,6.1,15,21,17,27,35,16,16,16,14,12,17,18,17,19,17,17,19,25,21,17
"2018/01/12","¦Á¤î","O3",45,46,46,44,36,24,33,26,23,35,37,37,42,46,44,44,43,38,35,31,28,22,26,29
"2018/01/12","¦Á¤î","PM10",23,25,24,25,24,23,26,30,34,39,43,45,49,50,53,55,46,38,37,35,28,26,27,23
"2018/01/12","¦Á¤î","SO2",1,2,1.6,1.7,1.9,2,4.6,3.3,4.7,2.8,2.8,2.8,2.7,2.5,2.5,2.4,2.2,1.8,1.8,1.9,5.7,2.5,2.5,1.5
"2018/01/13","¦Á¤î","CO",0.32,0.31,0.36,0.27,0.27,0.27,0.33,0.44,0.41,0.33,0.24,0.22,0.21,0.21,0.18,0.2,0.24,0.3,0.36,0.3,0.35,0.35,0.32,0.29
"2018/01/13","¦Á¤î","NOx",18,20,24,19,21,21,30,46,37,22,11,10,9.7,9.5,8.3,12,13,19,26,19,26,26,24,18
"2018/01/13","¦Á¤î","O3",24,19,15,17,18,19,12,8.5,19,29,38,39,41,41,41,39,36,28,19,25,18,17,21,26
"2018/01/13","¦Á¤î","PM10",18,19,16,14,18,17,16,23,27,29,26,19,15,13,12,12,15,15,15,15,13,13,12,13
"2018/01/13","¦Á¤î","SO2",1.5,2,4.5,6.5,2.5,3.5,5.5,5.6,5,2.2,1.8,1.8,1.7,1.6,1.7,1.8,1.5,1.6,2.3,2.5,2.6,2.9,2.8,2.6
"2018/01/14","¦Á¤î","CO",0.24,0.26,0.23,0.24,0.29,0.36,0.39,0.55,0.63,0.43,0.21,0.22,0.21,0.2,0.22,0.19,0.25,0.36,0.64,0.69,0.69,0.78,0.82,0.72
"2018/01/14","¦Á¤î","NOx",13,11,9.6,13,18,25,28,46,48,30,9.2,8.8,7.5,7.4,21,11,14,24,41,48,47,56,74,53
"2018/01/14","¦Á¤î","O3",29,30,28,16,9.3,6.6,6.5,5.3,9.7,24,42,44,45,46,35,43,36,24,9.1,4.5,4.5,4.1,3.2,3.5
"2018/01/14","¦Á¤î","PM10",12,13,10,8,7,11,14,13,13,16,15,13,13,11,11,14,15,14,18,22,19,19,21,19
"2018/01/14","¦Á¤î","SO2",1.9,1,1.5,2.1,2.7,5.6,4.1,5.3,5.5,3.2,1.4,0.7,1.1,1.8,23,6.4,3.4,2.4,1.6,2.3,2.7,2.9,4,4
"2018/01/15","¦Á¤î","CO",0.61,0.4,0.35,0.31,0.28,0.35,0.85,1.41,1.06,0.71,0.31,0.22,0.23,0.23,0.21,0.23,0.25,0.37,0.74,0.9,0.96,1.23,1.31,0.96
"2018/01/15","¦Á¤î","NOx",41,27,26,21,23,30,95,159,114,103,31,15,14,15,13,13,14,23,47,60,71,84,101,84
"2018/01/15","¦Á¤î","O3",5.2,9.5,12,12,11,7,3.4,3.6,5,7.4,28,40,41,41,40,39,37,27,10,4.6,3.6,3.5,3.2,3.2
"2018/01/15","¦Á¤î","PM10",16,13,11,13,14,14,19,27,30,37,34,18,14,17,19,18,16,20,27,32,26,27,32,30
"2018/01/15","¦Á¤î","SO2",3.1,4.6,4.4,3.4,3,2.5,3.1,4.8,5,5,4.2,2.2,2.1,1.9,1.3,1.2,1.1,1.3,2.7,3.2,3.6,3.7,3.8,3.8
"2018/01/16","¦Á¤î","CO",0.54,0.7,0.59,0.55,0.55,0.45,0.64,1.2,0.98,0.6,NA,0.61,0.73,0.67,0.45,0.42,0.41,0.46,0.66,0.89,0.96,1.23,1.06,1.08
"2018/01/16","¦Á¤î","NOx",44,47,49,44,36,34,46,97,63,35,NA,40,45,42,45,40,39,41,54,76,94,103,82,80
"2018/01/16","¦Á¤î","O3",3.8,3.2,3.1,3,3.7,4.9,4.2,4.2,12,24,NA,34,44,52,31,31,26,16,5.6,3.3,3,3.4,2.9,3
"2018/01/16","¦Á¤î","PM10",19,15,18,18,19,21,27,39,48,45,46,45,43,42,53,59,51,53,53,53,52,64,60,44
"2018/01/16","¦Á¤î","SO2",2.6,1.6,1.9,2.1,2.1,2,2,3.1,3.4,3.4,NA,2.9,3.4,3,8.3,7,6.8,5.1,5.3,5,4.9,4.3,4,3.7
"2018/01/17","¦Á¤î","CO",1.02,0.91,0.92,0.89,0.88,0.83,1.01,1.18,0.59,0.43,0.36,NA,0.28,0.24,0.28,NA,0.29,0.35,0.39,0.42,0.42,0.31,0.27,0.22
"2018/01/17","¦Á¤î","NOx",76,54,65,67,62,63,81,99,43,33,NA,NA,NA,11,14,NA,17,21,20,18,19,10,9.9,7.4
"2018/01/17","¦Á¤î","O3",2.9,2.8,3,2.9,3,3.1,3.3,4,11,19,25,38,NA,NA,NA,58,50,42,38,36,31,43,43,44
"2018/01/17","¦Á¤î","PM10",47,42,39,36,33,34,38,45,49,45,45,42,NA,NA,55,52,52,49,47,46,41,38,31,22
