"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","±[­I","CO",0.3,0.5,0.54,0.44,0.23,0.27,0.37,0.51,0.41,0.43,0.34,0.23,0.21,0.21,0.28,0.23,0.26,0.35,0.27,0.27,0.26,0.24,0.33,0.6
"2018/01/08","±[­I","NOx",16,26,32,23,12,16,22,28,22,23,16,9.8,9.3,10,14,12,13,16,14,13,12,9.5,8.5,13
"2018/01/08","±[­I","O3",2.6,1.7,1.5,4,11,5.2,2.8,0.1,4.8,11,18,22,26,26,23,27,26,23,25,25,22,22,22,14
"2018/01/08","±[­I","PM10",27,30,32,31,28,37,41,59,52,62,37,27,13,7,5,NA,NA,2,5,5,3,3,7,16
"2018/01/08","±[­I","SO2",1.9,2.2,2.3,2.2,2.6,2.4,2.4,2.6,2.9,3.2,2.9,2.2,1.7,1.7,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.9,2.1
"2018/01/09","±[­I","CO",0.73,0.59,0.67,0.65,0.58,0.55,0.62,0.51,0.52,0.57,0.51,0.44,NA,0.49,0.48,0.5,0.61,0.47,0.47,0.48,0.46,0.38,0.31,0.25
"2018/01/09","±[­I","NOx",16,13,15,13,9,8.9,15,13,15,23,18,15,NA,18,20,22,28,20,17,20,17,13,10,7.5
"2018/01/09","±[­I","O3",12,13,10,14,17,19,18,26,24,21,28,NA,NA,27,27,23,15,27,28,22,27,31,33,36
"2018/01/09","±[­I","PM10",14,8,8,8,4,1,6,11,11,19,19,21,33,NA,41,48,43,42,46,46,40,36,NA,NA
"2018/01/09","±[­I","SO2",2.8,1.4,1.8,1.9,1.4,1.4,2.5,1.5,1.6,3.7,2.8,1.7,NA,2.8,2.6,2.9,4.3,2.2,1.8,1.8,2.3,1.9,1.8,1.5
"2018/01/10","±[­I","CO",0.19,0.24,0.28,0.3,0.28,0.3,0.32,0.37,0.36,0.36,0.34,0.33,0.35,0.33,0.29,0.3,0.3,0.3,0.26,0.3,0.35,0.37,0.58,0.57
"2018/01/10","±[­I","NOx",6.6,4.3,4.3,4.8,5.6,7.1,7.9,11,12,11,13,14,16,16,16,19,17,16,15,16,19,22,33,26
"2018/01/10","±[­I","O3",38,39,40,41,40,41,40,39,40,40,39,43,45,42,48,45,45,42,40,36,31,27,15,21
"2018/01/10","±[­I","PM10",17,14,14,24,37,46,40,35,41,52,58,53,47,46,63,53,48,64,62,52,55,62,56,50
"2018/01/10","±[­I","SO2",2,2.3,2.7,3.1,3,3.2,3.1,3.4,3.6,3.8,4.8,4.1,4.1,5.3,6.4,6.9,5.4,3.9,3.8,4.2,5.4,6.8,10,9.2
"2018/01/11","±[­I","CO",0.43,0.22,0.24,0.22,0.22,0.22,0.24,0.28,0.28,0.29,0.29,0.31,0.29,0.31,0.3,0.3,0.3,0.36,0.28,0.34,0.29,0.31,0.3,0.28
"2018/01/11","±[­I","NOx",17,7.1,6.8,6.8,6.4,6.9,8.7,13,12,13,14,14,13,13,14,15,15,18,13,14,13,13,12,11
"2018/01/11","±[­I","O3",32,43,45,44,43,43,41,37,38,37,39,42,48,54,53,49,47,42,44,41,37,35,38,38
"2018/01/11","±[­I","PM10",29,30,17,17,16,20,25,33,42,52,50,62,59,68,87,117,137,129,109,89,70,58,46,43
"2018/01/11","±[­I","SO2",7.6,3.1,3.1,3.2,3.1,2.9,3,3.1,3.2,3,3.3,3.5,3.3,4.1,4.9,5.5,5.5,5.7,3,3.4,2.9,2.8,2.9,2.7
"2018/01/12","±[­I","CO",0.24,0.17,0.15,0.14,0.15,0.15,0.18,0.21,0.21,0.21,0.2,0.19,0.22,0.31,0.3,0.32,0.35,0.41,0.37,0.34,0.32,0.3,0.29,0.29
"2018/01/12","±[­I","NOx",8.6,7.2,6.6,6,5.9,6.2,8.7,11,12,12,12,12,13,17,17,19,21,20,18,17,16,14,13,13
"2018/01/12","±[­I","O3",41,42,41,42,42,40,38,37,38,38,41,44,46,48,49,47,42,38,36,35,31,35,32,29
"2018/01/12","±[­I","PM10",38,38,34,35,33,24,21,13,29,32,42,31,43,76,124,169,207,197,152,92,68,53,44,39
"2018/01/12","±[­I","SO2",2.4,2.2,2,1.9,1.7,1.7,1.8,2.2,2.2,2.3,2.5,2.4,2.8,4.6,5.5,5.8,5.6,3.9,3.1,2.8,2.8,2.8,2.5,2.1
"2018/01/13","±[­I","CO",0.26,0.26,0.25,0.25,0.24,0.22,0.23,0.26,0.24,0.28,0.29,0.28,0.3,0.31,0.25,0.23,0.23,0.24,0.33,0.37,0.46,0.55,0.36,0.3
"2018/01/13","±[­I","NOx",12,8.1,8.2,8.6,7.9,7.3,11,12,10,11,13,13,13,13,11,9.1,11,13,20,20,19,18,15,16
"2018/01/13","±[­I","O3",28,27,26,26,25,25,22,24,29,32,35,40,46,51,56,55,47,37,19,20,19,17,16,14
"2018/01/13","±[­I","PM10",42,41,40,43,43,36,27,25,32,41,43,35,39,44,55,58,56,55,61,67,69,75,69,58
"2018/01/13","±[­I","SO2",2.2,1.8,1.9,2,1.8,1.5,1.5,1.9,1.8,1.7,1.6,2,3.5,4.2,3.4,2.6,2.3,2.5,4,4.2,3.7,3.3,2.4,2
"2018/01/14","±[­I","CO",0.37,0.38,0.43,0.45,0.47,0.48,0.5,0.56,0.53,0.44,0.37,0.49,0.29,0.22,0.2,0.17,0.17,0.19,0.21,0.26,0.2,0.17,0.17,0.16
"2018/01/14","±[­I","NOx",21,21,27,29,28,25,27,32,28,22,15,13,15,11,8.7,9.1,9.8,11,14,12,13,10,12,9.5
"2018/01/14","±[­I","O3",7.5,10,4.2,2.4,0.8,3.7,3.7,8.8,17,28,45,56,51,50,61,49,44,39,33,33,30,30,25,25
"2018/01/14","±[­I","PM10",42,39,44,35,32,35,30,37,40,58,49,51,44,48,46,50,55,58,56,54,55,57,57,57
"2018/01/14","±[­I","SO2",1.7,1.3,1.4,1.4,1.4,1.5,1.9,2.6,2.7,3,3.5,4.7,5.2,3.7,2.5,2.4,2.3,2.5,3.4,2.7,2.9,2.5,2.6,1.9
"2018/01/15","±[­I","CO",0.16,0.16,0.27,0.35,0.31,0.32,0.37,0.63,0.5,0.41,0.29,0.29,0.18,0.18,NA,NA,0.19,0.23,0.26,0.27,0.27,0.28,0.24,0.24
