"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","キ马","O3",15,16,13,12,11,11,9,5.3,4.4,3.4,5,8.3,20,20,20,18,23,11,15,13,12,9,12,14
"2018/01/08","キ马","PM10",18,19,13,19,20,18,14,14,16,23,19,20,15,24,23,18,16,14,11,9,12,13,18,14
"2018/01/08","キ马","SO2",1.1,1.9,2.1,2.3,2,1.9,1.6,2.4,2.9,3.6,3,2.3,2.4,2.6,2.4,2.1,2.1,3,2.7,2.4,2.5,2.8,2.6,2.5
"2018/01/09","キ马","CO",0.63,0.61,0.56,0.52,0.52,0.52,0.58,0.74,0.81,0.74,0.7,0.79,0.74,0.57,NA,0.58,0.58,0.63,0.75,0.78,0.86,0.78,0.51,0.4
"2018/01/09","キ马","NOx",15,13,13,11,12,16,23,30,34,38,38,41,32,26,NA,37,37,36,38,36,44,39,22,14
"2018/01/09","キ马","O3",15,16,20,27,30,27,22,20,17,15,18,18,22,NA,23,20,17,18,15,13,5.3,8.1,22,30
"2018/01/09","キ马","PM10",13,8,12,18,20,23,28,31,27,26,33,47,56,NA,60,58,62,59,56,50,53,61,59,65
"2018/01/09","キ马","SO2",2.3,1.6,2.2,2.2,2.4,2.2,2.4,2.5,2.5,2.5,3.3,3.7,3.2,2.9,NA,3.1,2.7,2.5,2.9,2.8,4,3.1,3.1,3.2
"2018/01/10","キ马","CO",0.35,0.36,0.36,0.36,0.44,0.49,0.69,1.06,0.84,0.41,0.36,0.31,0.3,0.27,0.27,0.29,0.31,0.43,0.54,0.64,0.61,0.56,0.44,0.39
"2018/01/10","キ马","NOx",12,10,11,12,16,21,33,53,39,25,20,18,17,18,18,19,23,29,31,34,35,31,22,19
"2018/01/10","キ马","O3",32,35,34,32,29,26,22,12,22,32,38,40,42,43,44,42,39,33,30,25,23,26,32,32
"2018/01/10","キ马","PM10",52,57,38,37,38,53,54,56,55,56,51,44,40,53,49,46,34,36,48,45,61,53,45,29
"2018/01/10","キ马","SO2",3.7,4.1,3.9,4.6,5.3,4.7,4.1,4.8,5.2,3.7,3.2,3.3,3,3.1,2.8,2.6,2.5,3.1,3.2,3.5,4.7,5,4.4,3.9
"2018/01/11","キ马","CO",0.35,0.34,0.38,0.4,0.41,0.4,0.49,0.76,0.62,0.47,0.41,0.4,0.35,0.32,0.32,0.33,0.37,0.49,0.52,0.49,0.48,0.52,0.55,0.52
"2018/01/11","キ马","NOx",17,15,15,18,20,20,25,41,28,23,22,22,18,17,20,20,23,29,30,34,29,22,26,30
"2018/01/11","キ马","O3",35,36,33,27,27,26,25,18,28,33,35,35,37,40,41,41,38,33,32,27,30,34,29,22
"2018/01/11","キ马","PM10",29,31,29,31,39,43,39,40,40,50,43,39,39,55,60,58,49,37,42,46,59,54,51,46
"2018/01/11","キ马","SO2",3.1,2.5,2.4,2.6,3.8,4,4,4.9,3.3,3.2,2.8,2.5,2.1,2.3,2.4,2.6,2.3,2.6,2.7,3,2.7,2.4,3.6,5.6
"2018/01/12","キ马","CO",0.33,0.35,0.36,0.38,0.35,0.36,0.51,0.78,0.69,0.6,0.41,0.38,0.37,0.37,0.41,0.43,0.49,0.62,0.67,0.68,0.66,0.7,0.57,0.46
"2018/01/12","キ马","NOx",17,16,16,19,17,18,30,40,34,32,18,17,16,17,19,21,26,35,33,30,30,37,29,21
"2018/01/12","キ马","O3",31,30,27,25,26,27,20,17,22,27,35,37,39,41,39,38,33,25,25,25,20,13,17,22
"2018/01/12","キ马","PM10",40,43,44,45,39,42,43,43,48,48,57,52,58,52,47,57,60,66,56,48,48,50,52,50
"2018/01/12","キ马","SO2",3.2,4.7,4.6,5.7,6,4.8,5.6,3.9,4.6,3.4,2.9,2.5,2.7,3,2.9,2.7,2.7,2.9,2.5,2.6,2.8,3.6,4.2,4.7
"2018/01/13","キ马","CO",0.4,0.3,0.26,0.26,0.26,0.28,0.36,0.44,0.44,0.38,0.35,0.34,0.33,0.29,0.28,0.28,0.29,0.34,0.36,0.32,0.36,0.34,0.24,0.24
"2018/01/13","キ马","NOx",18,14,11,8.7,11,12,17,21,23,19,17,16,16,14,15,16,15,16,17,16,18,17,11,11
"2018/01/13","キ马","O3",24,27,30,30,27,25,24,23,25,29,33,35,36,36,36,34,34,32,31,31,28,29,35,35
"2018/01/13","キ马","PM10",38,31,27,21,26,20,32,25,31,25,35,37,38,33,36,38,38,34,31,28,22,14,14,21
"2018/01/13","キ马","SO2",3.9,1.5,1.4,1.4,2,2.4,2.1,1.8,1.3,0.7,0,0.4,0.7,0.1,0.2,0.5,0.4,-0.2,0,0.1,0.2,0.1,0.1,0.5
"2018/01/14","キ马","CO",0.24,0.23,0.2,0.24,0.24,0.23,0.34,0.47,0.58,0.48,0.43,0.33,0.33,0.3,0.23,0.22,0.25,0.35,0.5,0.62,0.61,0.61,0.7,0.52
"2018/01/14","キ马","NOx",11,11,8.4,12,11,12,19,28,30,22,18,13,13,12,13,12,14,20,34,44,36,35,40,28
"2018/01/14","キ马","O3",34,34,36,33,31,26,17,14,20,31,37,40,43,43,41,40,37,31,18,9.6,15,15,11,19
"2018/01/14","キ马","PM10",34,37,30,33,32,29,26,16,27,29,38,24,19,24,31,25,25,31,43,40,43,37,37,27
"2018/01/14","キ马","SO2",0.9,0.9,0.4,1.8,1,1,0.5,1,1.3,1.3,0.8,0.6,0.5,0.7,1.4,1.5,1.1,1.8,2.5,3.2,1.4,2,2,1.9
"2018/01/15","キ马","CO",0.6,0.6,0.44,0.41,0.36,0.35,0.54,1.06,1.02,1.01,0.78,0.52,0.48,0.3,0.3,0.33,0.46,0.87,1.06,1.07,1.26,1,0.59,0.62
"2018/01/15","キ马","NOx",29,29,22,20,21,22,36,73,61,58,58,28,30,22,25,32,45,69,49,51,71,74,40,51
"2018/01/15","キ马","O3",14,8.3,12,11,8,7.9,4.7,3.4,6.3,14,20,34,37,35,33,27,16,4.7,10,5.8,2.4,1.9,4.8,1.4
"2018/01/15","キ马","PM10",18,14,20,28,32,25,25,27,34,40,36,30,33,41,47,42,44,44,45,41,46,56,57,70
"2018/01/15","キ马","SO2",1.5,2.1,1.8,1.6,1.7,1.6,1.9,2.6,2.6,5.7,7.9,4.2,4.2,3.8,3.1,4.2,5.5,5.6,4.2,4.7,4.1,4.1,5.1,8.7
"2018/01/16","キ马","CO",0.59,0.51,0.36,0.21,0.22,0.25,0.4,1.08,0.58,0.34,0.4,0.49,0.46,0.41,0.37,0.42,0.46,1.01,1.42,1.86,1.33,0.9,0.64,0.67
"2018/01/16","キ马","NOx",34,38,22,11,14,14,24,62,37,29,34,34,38,32,41,42,46,85,127,126,103,55,43,42
"2018/01/16","キ马","O3",1.6,1.7,11,26,20,18,12,3.6,15,22,24,33,35,30,18,16,11,2.3,2.4,2.6,2.5,3.3,5.4,4.1
"2018/01/16","キ马","PM10",61,59,39,37,39,44,53,56,52,48,49,50,47,50,69,76,86,90,102,106,106,92,79,58
"2018/01/16","キ马","SO2",3.1,5,3.2,2.3,2.3,2.4,2.6,3.8,3.7,3.3,3.5,4.2,4,3.7,7.8,6.8,6.8,7.2,6.4,7.4,7.5,3.9,7.1,4.5
"2018/01/17","キ马","CO",0.42,0.53,0.27,0.35,0.38,0.45,0.42,0.57,0.58,0.48,0.57,0.79,0.63,0.41,0.34,0.38,0.5,0.6,0.65,0.58,0.47,0.4,0.34,0.33
"2018/01/17","キ马","NOx",23,55,23,27,29,30,29,36,35,42,39,47,40,29,24,27,30,27,28,25,19,16,13,13
"2018/01/17","キ马","O3",17,6.2,18,13,11,9.9,12,11,14,15,22,31,35,47,53,46,38,38,34,33,35,36,36,34
"2018/01/17","キ马","PM10",47,41,61,75,92,79,85,67,63,48,43,43,52,64,68,70,65,67,69,67,55,43,38,46
