ค้ดม,ด๚ฏธ,ด๚ถต,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/8,จFณภ,NOx,45,17,23,11,11,12,16,50,68,55,55,20,9.9,14,14,25,22,22,27,30,29,20,20,13
2018/1/8,จFณภ,O3,1.7,12,8.1,17,16,10,13,3.1,2.7,5.6,4.1,19,29,26,26,18,17,16,12,10,9.7,9.3,9.5,15
2018/1/8,จFณภ,PM10,23,22,28,38,39,34,27,32,49,53,50,32,8,NA,4,8,11,15,11,8,11,17,16,8
2018/1/8,จFณภ,SO2,2.1,1.7,3.4,1.3,0.5,0.2,0.4,0.8,1.7,2.5,3.6,1.7,0.6,0.2,0,0,0.2,0.5,0.4,0.4,0.8,0.6,0.5,0.1
2018/1/9,จFณภ,CO,0.67,0.57,0.57,0.54,0.5,0.46,0.45,0.49,0.46,0.42,0.39,0.38,0.38,0.4,0.43,0.47,0.44,0.45,0.46,0.44,0.4,0.42,0.27,0.17
2018/1/9,จFณภ,NOx,11,13,11,8.8,7.7,8,9.9,16,16,16,15,14,13,17,20,22,20,22,22,20,15,16,9.3,6
2018/1/9,จFณภ,O3,14,13,16,17,21,24,26,23,25,28,30,30,31,27,25,24,28,26,23,24,27,25,34,40
2018/1/9,จFณภ,PM10,6,8,8,7,6,4,4,7,11,16,23,25,26,30,34,41,44,47,48,46,42,37,27,18
2018/1/9,จFณภ,SO2,1.2,0.9,0.9,0.7,0.6,0.5,0.6,0.6,0.7,0.8,0.8,1,1,1.4,1.3,1.5,1.4,1.5,1.3,0.9,0.9,1,0.6,0.4
2018/1/10,จFณภ,CO,0.16,0.2,0.19,0.22,0.27,0.29,0.31,0.4,0.38,0.36,0.35,0.34,0.29,0.24,0.24,0.22,0.23,0.26,0.28,0.29,0.28,0.27,0.22,0.19
2018/1/10,จFณภ,NOx,5,2.4,2.4,4.1,6.7,7.5,9.1,13,13,12,12,16,12,10,9.8,9.7,11,15,16,17,15,12,8.6,6.2
2018/1/10,จFณภ,O3,40,40,40,38,38,40,36,34,36,38,40,40,46,48,50,50,47,40,37,34,35,36,40,44
2018/1/10,จFณภ,PM10,12,11,11,11,20,27,30,36,37,40,38,32,32,35,34,33,33,NA,25,25,24,21,21,21
2018/1/10,จFณภ,SO2,1.1,1.1,1.2,2.2,2.7,2.2,2.3,2.4,2.6,2.7,3,3.1,2.8,2.6,2.4,2.3,2.2,2.2,2,2.1,1.8,1.6,2.1,1.8
2018/1/11,จFณภ,CO,0.19,0.18,0.18,0.18,0.17,0.17,0.2,0.25,0.23,0.25,0.25,0.25,0.27,0.22,0.21,0.22,0.22,0.24,0.27,0.27,0.27,0.27,0.24,0.19
2018/1/11,จFณภ,NOx,4.7,5.3,6.7,6.4,6.7,7.2,8.4,13,13,15,14,12,12,10,10,11,11,12,15,NA,14,13,12,7
2018/1/11,จFณภ,O3,45,46,44,44,43,43,40,37,37,36,40,44,49,51,50,50,48,44,40,39,39,40,40,45
2018/1/11,จFณภ,PM10,19,21,23,22,20,22,25,23,25,29,35,39,36,44,51,51,51,48,41,40,40,34,33,30
2018/1/11,จFณภ,SO2,2.1,2.7,3.2,3.2,2.8,2.9,3.1,2.8,2.6,3.1,3.6,3.3,3.1,2.9,2.8,2.8,2.8,2.7,2.8,2.4,2.2,3.1,3,2.8
2018/1/12,จFณภ,CO,0.15,0.17,0.16,0.15,0.17,0.17,0.19,0.24,0.21,0.21,0.21,0.21,0.27,0.28,NA,0.3,0.33,0.38,0.36,0.33,0.33,0.31,0.3,0.27
2018/1/12,จFณภ,NOx,4.8,4.1,3.7,3.6,3.6,4.2,5.9,11,9.6,8.7,8.4,8.8,11,11,NA,NA,14,17,15,12,12,10,10,8.6
2018/1/12,จFณภ,O3,44,43,43,43,43,42,39,36,38,39,42,44,46,50,NA,46,42,36,37,40,38,36,33,33
2018/1/12,จFณภ,PM10,25,22,18,21,20,17,17,24,26,21,NA,NA,39,46,NA,61,63,59,53,46,43,42,34,31
2018/1/12,จFณภ,SO2,2.7,2.4,2.2,2.1,2.1,2.3,2.5,2.6,2.9,2.6,2.6,2.8,2.9,3,NA,3.2,3.2,3.1,3,3.2,3.4,3.1,2.8,2.3
2018/1/13,จFณภ,CO,0.26,0.24,0.22,0.2,0.19,0.18,0.2,0.25,0.24,0.23,0.23,0.24,0.24,0.23,0.23,0.22,0.24,0.29,0.32,0.36,0.35,0.33,0.36,0.43
2018/1/13,จFณภ,NOx,7.2,7,6.5,4,4.3,4.9,7.2,11,11,9.6,9.3,11,8.6,7.5,8.4,9.7,11,15,17,22,26,23,23,28
2018/1/13,จFณภ,O3,33,33,33,35,34,33,30,27,30,32,35,39,45,46,46,42,37,30,24,17,14,15,12,5.7
2018/1/13,จFณภ,PM10,31,27,24,21,18,18,17,13,17,20,NA,NA,23,28,32,29,29,27,17,13,15,16,17,21
2018/1/13,จFณภ,SO2,1.8,1.9,1.8,1.6,1.5,1.5,2.1,1.5,1.7,1.7,1.6,1.9,1.9,1.9,2,2.1,2.1,2,2.1,2.1,2.3,2.3,3.5,3.2
2018/1/14,จFณภ,CO,0.6,0.95,0.9,0.5,0.31,0.27,0.28,0.67,0.87,0.49,0.33,0.31,0.27,0.23,0.18,0.17,0.19,0.21,0.22,0.23,0.24,0.29,0.35,0.38
2018/1/14,จFณภ,NOx,34,57,58,41,17,15,15,41,48,27,14,14,11,9.3,7.3,7.3,8.8,9.5,11,12,12,17,24,25
2018/1/14,จFณภ,O3,2.5,2.2,2.2,5.7,21,25,26,7.4,12,26,41,44,48,59,56,46,42,40,36,33,31,25,15,12
2018/1/14,จFณภ,PM10,26,26,31,35,35,32,26,27,35,39,37,39,38,30,32,40,54,54,42,37,30,26,25,29
2018/1/14,จFณภ,SO2,2.7,2.2,2.7,2.8,3.5,3.5,2.6,2.1,2.8,3.2,3,2.5,2,1.7,1.9,1.3,1.2,1.1,1.1,1.1,1,1.7,2,2.3
2018/1/15,จFณภ,CO,0.31,0.33,0.38,0.42,0.41,0.4,0.33,0.49,0.51,0.38,0.25,0.25,0.25,0.19,0.18,0.18,0.19,0.23,0.23,0.23,0.22,0.24,0.24,0.22
2018/1/15,จFณภ,NOx,21,18,20,24,28,29,21,27,36,27,17,15,17,11,8.8,7.9,8.6,11,13,14,14,13,13,12
2018/1/15,จFณภ,O3,16,18,11,5.9,5,9.1,16,15,15,24,32,35,38,45,48,44,42,37,33,29,29,28,27,29
2018/1/15,จFณภ,PM10,29,23,23,25,28,38,37,25,30,39,43,42,37,40,42,42,42,44,50,49,45,42,43,48
2018/1/15,จFณภ,SO2,3.3,2.3,1.7,1.8,2.4,2.1,2.3,3.7,4.7,4.9,3.6,3.1,3.4,2.5,1.8,1.4,1.2,1.4,1.6,1.8,1.6,1.6,1.6,1.4
2018/1/16,จFณภ,CO,0.26,0.26,0.32,0.29,0.27,0.28,0.31,0.6,0.39,0.27,0.31,0.3,0.28,0.26,0.24,0.29,0.39,0.47,0.6,0.94,1.06,0.67,1.14,1.57
2018/1/16,จFณภ,NOx,18,17,18,20,18,16,21,40,26,24,28,25,19,16,19,18,21,25,36,57,62,40,80,98
2018/1/16,จFณภ,O3,23,22,17,13,16,17,11,5.1,15,19,20,25,29,36,31,34,29,22,9.6,2.9,3.6,11,2.2,2.4
2018/1/16,จFณภ,PM10,50,54,60,67,68,66,65,65,62,53,55,62,58,52,49,54,68,78,84,85,76,56,54,68
2018/1/16,จFณภ,SO2,1.1,1.3,1.5,1.8,1.6,1.8,2,2.3,2.7,3.1,3.3,3.3,2.4,2.2,2.6,2.3,2.7,2.6,3.1,3.6,4.2,4.9,5.8,7
2018/1/17,จFณภ,CO,1.52,0.73,0.63,0.24,0.25,0.28,0.39,0.49,0.39,0.38,0.38,NA,NA,0.32,0.25,0.34,0.35,0.46,0.53,0.45,0.41,0.41,0.46,0.43
2018/1/17,จFณภ,NOx,93,52,51,19,19,23,32,41,38,42,39,NA,NA,22,14,13,15,17,21,17,17,17,21,19
2018/1/17,จFณภ,O3,2.2,3.1,3.2,13,11,6.8,5.6,3.9,10,12,16,NA,31,37,55,69,59,51,45,43,38,33,24,23
2018/1/17,จFณภ,PM10,72,57,49,61,60,47,36,40,56,69,NA,72,72,68,58,73,89,94,97,90,82,83,81,75
2018/1/17,จFณภ,SO2,4,2.5,2.8,1.6,0.8,1.1,0.7,0.2,1.2,1.3,0.6,NA,NA,2.6,2.3,1.8,1.7,1.5,1.7,2,2,1.9,2,2.1
2018/1/18,จFณภ,CO,0.37,0.34,0.3,0.33,0.34,0.32,0.27,0.34,0.35,0.3,0.31,0.31,0.3,0.27,0.25,0.25,0.29,0.37,0.35,0.32,0.3,0.31,0.29,0.25
2018/1/18,จFณภ,NOx,16,17,16,18,21,19,16,16,17,18,17,16,16,13,11,13,15,18,17,15,13,14,12,11
2018/1/18,จFณภ,O3,22,19,19,12,9.7,16,25,31,32,33,37,43,48,53,52,47,42,36,37,38,37,32,32,35
2018/1/18,จFณภ,PM10,72,74,73,71,73,64,56,64,76,76,77,74,61,57,53,52,58,65,70,74,76,76,76,66
2018/1/18,จFณภ,SO2,4.8,2.3,2.1,2.1,2.5,2.8,2.2,1.5,1.8,NA,2,2,2,1.9,1.6,1.7,1.8,1.8,1.9,1.8,1.6,1.7,1.6,1.8
