ค้ดม,ด๚ฏธ,ด๚ถต,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/4/2,จFณภ,O3,20,27,31,42,38,33,32,30,42,44,47,51,48,49,51,48,48,46,45,18,16,5.7,7.1,14
2018/4/2,จFณภ,PM10,94,107,115,104,97,96,90,95,92,92,103,100,89,81,79,72,64,58,62,63,71,83,75,72
2018/4/2,จFณภ,SO2,3.3,3,2.4,2.7,2.5,2.3,3.2,3.1,2.3,2,6,8,11,12,12,11,4.9,2.3,1.1,4.8,6.9,9.4,5.6,3.5
2018/4/3,จFณภ,CO,0.48,0.38,0.34,0.26,0.24,0.26,0.39,0.48,0.28,0.3,0.33,0.33,0.33,NA,0.18,0.22,0.25,0.28,0.3,0.31,0.36,0.44,0.46,0.36
2018/4/3,จFณภ,NOx,25,21,18,15,15,16,22,28,12,14,16,22,17,NA,7.1,9,14,16,16,15,21,28,33,22
2018/4/3,จFณภ,O3,16,17,19,21,23,21,18,21,41,45,48,37,39,NA,43,42,37,33,32,31,25,16,9.7,19
2018/4/3,จFณภ,PM10,71,69,68,66,59,53,54,60,66,64,68,58,46,NA,59,59,60,61,62,67,72,74,75,76
2018/4/3,จFณภ,SO2,2.8,2.4,2,1.7,1.5,1.4,1.6,2.8,2.6,2.9,4.4,8,6,NA,0.9,1.6,3.5,3.9,1.8,1.2,1.2,1.3,1.8,3.2
2018/4/4,จFณภ,CO,0.29,0.28,0.24,0.21,0.24,0.32,0.56,0.59,0.24,0.24,0.21,0.19,0.17,0.14,0.14,0.13,0.14,0.19,0.23,0.32,0.42,0.36,0.31,0.3
2018/4/4,จFณภ,NOx,15,15,15,13,17,24,31,31,13,12,12,9.1,12,9.1,10,9,7.3,8.2,12,20,31,22,18,17
2018/4/4,จFณภ,O3,28,25,24,25,19,8.7,7.2,15,36,41,48,54,53,45,42,39,42,42,34,22,12,19,28,30
2018/4/4,จFณภ,PM10,73,68,62,58,56,57,60,61,65,66,66,66,62,55,50,45,44,51,52,56,66,72,77,81
2018/4/4,จFณภ,SO2,3,2.2,2.3,2.3,2.3,2.2,2.7,3.1,3.5,3.6,3.8,3,4.6,2.7,3,2.8,1.3,1.6,1.9,2,2.4,2.6,3,3.3
2018/4/5,จFณภ,CO,0.28,0.34,0.36,0.32,0.3,0.33,0.4,0.36,0.26,0.27,0.28,0.27,0.22,0.25,0.29,0.2,0.21,0.23,0.32,0.4,0.46,0.62,0.58,0.64
2018/4/5,จFณภ,NOx,15,13,15,14,11,12,13,13,8.8,9,9.3,8,6.5,6.8,8,6.1,7.1,7.2,12,18,19,24,22,25
2018/4/5,จFณภ,O3,28,26,22,26,28,25,26,33,41,49,53,58,58,51,40,39,39,37,28,23,23,19,18,14
2018/4/5,จFณภ,PM10,80,80,82,77,74,72,74,77,66,57,65,72,63,58,72,64,48,54,57,55,51,51,54,56
2018/4/5,จFณภ,SO2,3.2,2.3,2.2,2.9,2.7,2.7,3.8,3.8,3.2,2.9,3.1,3.3,2.6,2.8,2.6,1.5,1.3,1.3,1.4,1.7,2.3,5,5.2,3.8
2018/4/6,จFณภ,CO,0.54,0.47,0.36,0.28,0.33,0.34,0.37,0.31,0.46,0.65,0.28,0.26,0.35,0.35,0.35,0.33,0.32,0.37,0.34,0.33,0.26,0.25,0.25,0.24
2018/4/6,จFณภ,NOx,22,17,14,10,12,13,15,13,17,27,19,10,11,11,11,11,10,11,11,11,8.9,7.3,6.8,5.8
2018/4/6,จFณภ,O3,15,19,28,35,29,23,23,30,29,26,38,44,34,35,37,40,43,38,40,39,45,50,52,55
2018/4/6,จFณภ,PM10,62,59,55,54,56,58,53,57,57,53,58,59,74,82,71,88,97,69,47,39,96,179,166,133
2018/4/6,จFณภ,SO2,3.8,3.9,3.4,2.7,2.6,2.4,2.3,2.4,6.4,12,8.5,3.3,0.9,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.2,0.2,0.2
2018/4/7,จFณภ,CO,0.21,0.3,0.28,0.26,0.26,0.25,0.3,0.31,0.34,0.38,0.42,0.43,0.41,0.41,0.42,0.44,0.43,0.43,0.42,0.4,0.37,0.32,0.28,0.28
2018/4/7,จFณภ,NOx,5.5,2.6,2.4,2.1,1.8,2.2,3,4.2,5.2,6.8,6.3,5.9,5.7,4.9,5.6,7.3,8.2,10,11,8.2,8.2,5.7,3.7,3.5
2018/4/7,จFณภ,O3,56,56,58,58,59,58,56,54,52,49,50,52,53,55,54,52,54,54,54,56,53,55,56,56
2018/4/7,จFณภ,PM10,142,134,96,65,78,89,68,55,45,36,55,94,114,119,121,129,130,123,123,120,111,98,80,58
2018/4/7,จFณภ,SO2,1.2,1.3,1.1,0.9,0.9,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.2,1.4,1.4,1.6,2,2,1.9,1.9,1.7,1.2,1
2018/4/8,จFณภ,CO,0.28,0.18,0.19,0.19,0.19,0.21,0.26,0.34,0.38,0.36,0.43,0.41,0.27,0.24,0.34,0.3,0.22,0.25,0.3,0.3,0.54,0.65,0.62,0.53
2018/4/8,จFณภ,NOx,3.6,5.4,5,5.6,5.1,7,11,20,23,17,13,12,7.9,16,19,11,8.2,8.7,12,14,26,32,34,30
2018/4/8,จFณภ,O3,54,51,52,51,49,42,35,27,29,41,54,57,65,61,64,74,74,72,67,63,41,31,26,30
2018/4/8,จFณภ,PM10,50,45,46,54,51,48,49,47,47,55,63,62,53,48,52,59,56,54,58,62,67,71,67,64
2018/4/8,จFณภ,SO2,1.1,1.3,1.4,1.3,1.7,1.7,1.6,1.9,2.1,2.9,4.2,5.9,4.3,8.1,9.3,4.6,3.4,2.9,3,3.9,3.4,3.2,3.5,3.6
2018/4/9,จFณภ,CO,0.47,0.33,0.35,0.25,0.24,0.25,0.35,0.47,0.36,0.4,0.41,0.44,0.53,0.36,NA,0.23,0.26,0.25,0.26,0.3,0.35,0.42,0.37,0.38
2018/4/9,จFณภ,NOx,26,27,24,11,12,11,18,34,20,25,33,33,31,20,12,7.9,8,8,8.4,12,20,23,19,20
2018/4/9,จFณภ,O3,28,29,25,35,37,31,28,27,48,48,46,51,58,70,65,71,73,75,71,64,52,50,51,44
2018/4/9,จFณภ,PM10,64,63,60,55,45,43,46,48,52,51,48,67,86,72,NA,48,52,53,56,58,59,67,72,76
2018/4/9,จFณภ,SO2,2.9,2.3,1.9,1.7,1.6,2.3,1.5,1.8,2.8,4.8,11,12,14,9.4,3.7,2,2,1.8,1.6,1.3,1.7,1.9,3.1,2.8
2018/4/10,จFณภ,CO,0.55,0.51,0.41,0.34,0.32,0.34,0.43,0.46,0.46,0.54,0.52,0.41,0.39,0.46,0.52,NA,0.4,0.45,0.47,0.51,0.67,0.55,0.61,0.47
2018/4/10,จFณภ,NOx,34,20,11,8.9,9.3,13,19,22,17,23,29,24,17,20,22,NA,23,27,28,23,34,25,28,21
2018/4/10,จFณภ,O3,25,29,46,52,53,47,40,45,54,54,52,60,62,NA,NA,NA,67,53,45,47,33,38,35,41
2018/4/10,จFณภ,PM10,86,85,76,74,63,56,56,52,51,58,57,59,57,50,NA,62,62,52,44,50,53,52,60,70
2018/4/10,จFณภ,SO2,3.2,2.4,3.5,2.9,2.4,1.9,1.7,1.9,2.9,8.1,12,9.4,8.5,8.3,11,NA,NA,6,9,3.3,4.6,4.1,5.1,4.9
2018/4/11,จFณภ,CO,0.56,0.42,0.34,0.3,0.28,0.3,0.44,0.65,0.43,0.31,0.3,0.56,0.51,0.57,0.42,0.35,0.69,0.6,0.41,0.5,0.58,0.47,0.51,0.51
2018/4/11,จFณภ,NOx,26,21,17,11,9.3,12,21,37,22,16,11,25,18,20,24,19,30,28,21,23,28,22,24,25
2018/4/11,จFณภ,O3,34,37,45,50,53,43,35,28,37,42,52,70,52,53,41,33,27,26,29,23,20,22,16,14
2018/4/11,จFณภ,PM10,72,74,66,50,43,42,39,43,45,44,46,68,80,72,71,59,53,58,52,48,51,53,59,66
2018/4/11,จFณภ,SO2,4.5,4.6,3.3,1.5,1.4,1,0.9,2.6,3.7,4,4.1,12,8.7,10,10,7.8,14,12,5,4.8,4.5,4.6,4.7,6.7
2018/4/12,จFณภ,CO,0.37,0.19,0.23,0.26,0.25,0.25,0.3,0.44,0.31,0.21,0.14,0.15,0.45,0.45,0.76,0.46,0.2,0.3,0.45,0.51,0.69,0.6,0.47,0.38
2018/4/12,จFณภ,NOx,16,8.4,9,10,12,14,16,20,16,13,9.4,9.1,24,22,40,45,12,15,24,27,32,29,23,19
2018/4/12,จFณภ,O3,22,26,31,27,18,14,13,14,20,20,27,29,21,22,13,13,27,32,24,20,14,13,15,15
2018/4/12,จFณภ,PM10,68,49,38,45,53,51,39,36,37,38,30,25,28,28,31,31,26,25,23,22,25,28,24,17
2018/4/12,จFณภ,SO2,3.6,2.5,2.9,3.2,3.7,3.9,3.6,4.3,3.2,2.7,3.6,4.1,11,10,19,19,3.1,1.8,2,2.2,3.4,4.4,4.3,4
2018/4/13,จFณภ,CO,0.24,0.26,0.25,0.24,0.29,0.23,0.29,0.38,0.49,0.35,0.31,0.3,0.33,0.6,0.52,0.54,0.46,0.41,0.37,0.39,0.47,0.44,0.36,0.37
2018/4/13,จFณภ,NOx,11,11,10,13,19,15,17,21,28,16,16,NA,15,29,30,27,25,22,15,12,16,16,14,17
2018/4/13,จFณภ,O3,19,17,16,13,5.8,9.5,10,12,12,24,33,50,38,25,29,30,33,31,32,31,22,18,16,14
2018/4/13,จFณภ,PM10,17,22,21,19,22,22,21,24,32,42,49,47,44,42,45,49,53,53,45,42,42,44,40,32
2018/4/13,จFณภ,SO2,2.2,1.5,1.1,0.8,1.4,2,2.1,1.7,2.1,2.6,2.5,3.2,4.2,11,11,9.3,8.6,5.4,2.8,2.2,3.1,2.4,2.2,2.1
2018/4/14,จFณภ,CO,0.28,0.28,0.33,0.22,0.23,0.32,0.43,0.5,0.35,0.33,0.24,0.17,0.12,0.1,0.09,0.15,0.14,0.18,0.23,0.16,0.22,0.19,0.27,0.26
2018/4/14,จFณภ,NOx,11,16,14,14,14,16,21,23,17,16,12,9.2,6.1,5,5.5,6.7,7.1,7.2,11,9.4,12,12,16,17
2018/4/14,จFณภ,O3,15,11,10,8.3,7.8,5.4,4.3,6.1,13,20,28,35,29,25,25,23,22,21,17,18,15,13,7.8,6.2
2018/4/14,จFณภ,PM10,30,27,29,30,35,34,34,57,66,51,45,45,39,30,24,29,33,30,26,28,26,26,31,33
2018/4/14,จFณภ,SO2,2.5,2.7,2.5,2.3,2.5,2.7,3.5,8.9,5.5,3.4,3,3,2.1,1.5,1.8,1.5,1.6,1.8,2.1,2.9,3.1,2.3,2.6,2.7
2018/4/15,จFณภ,CO,0.25,0.2,0.15,0.1,0.27,0.3,0.25,0.23,0.24,0.23,0.23,0.22,0.22,0.24,0.23,0.23,0.24,0.25,0.27,0.28,0.28,0.27,0.28,0.27
2018/4/15,จFณภ,NOx,14,13,9.8,11,8.9,9.7,8.3,7.4,7.7,8.4,8.4,6.8,7.3,8.2,7.8,7.7,7.4,7.9,8.6,9.1,8.6,8.1,8,6.9
2018/4/15,จFณภ,O3,6.7,8,11,13,21,17,28,35,39,41,44,52,58,59,57,54,51,49,49,50,50,48,47,50
2018/4/15,จFณภ,PM10,34,33,28,30,35,30,23,18,16,13,15,23,23,26,30,24,22,34,59,87,101,96,91,87
2018/4/15,จFณภ,SO2,2.8,2,3.1,3.8,1.4,1.1,1.1,0.9,0.8,0.8,0.7,1,1.1,1,1,1,0.9,0.9,1,1.2,0.9,0.6,0.5,0.5
2018/4/16,จFณภ,CO,0.28,0.33,0.34,0.36,0.36,0.3,0.33,0.38,0.36,0.33,0.33,0.35,0.34,0.33,0.3,0.32,0.34,0.38,0.38,0.33,0.33,0.33,0.3,0.31
2018/4/16,จFณภ,NOx,6.9,6.2,6.3,6.1,7.9,8.9,10,14,15,13,14,16,14,13,13,17,18,21,21,19,18,16,13,13
2018/4/16,จFณภ,O3,52,54,52,53,52,49,47,43,44,49,52,56,67,79,76,62,55,45,39,37,37,37,43,42
2018/4/16,จFณภ,PM10,85,97,106,108,100,78,59,55,52,53,60,70,76,82,90,91,90,89,82,70,58,48,39,34
2018/4/16,จFณภ,SO2,1.3,1.3,1.3,1.3,1.6,1.7,1.5,1.5,1.7,2.2,2.4,2.5,2.5,2.4,2.4,2.5,2.7,2.8,3.1,2.7,2.4,2,2,1.9
2018/4/17,จFณภ,CO,0.31,0.26,0.26,0.27,0.27,0.26,0.28,0.31,0.29,0.26,0.26,0.28,0.28,0.27,0.29,0.31,0.33,0.36,0.34,0.28,0.27,0.3,0.29,0.26
2018/4/17,จFณภ,NOx,13,11,11,11,10,12,14,16,15,13,13,14,13,12,13,14,15,17,16,14,13,15,15,14
2018/4/17,จFณภ,O3,39,40,37,36,36,35,34,38,41,44,46,50,55,62,70,71,64,54,46,46,43,40,37,37
2018/4/17,จFณภ,PM10,34,32,30,29,30,27,21,17,13,13,16,17,19,25,28,31,39,45,45,42,38,36,39,37
2018/4/17,จFณภ,SO2,1.6,1.7,1.7,1.8,1.9,2,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.9,2.1,2,1.9,1.9,1.8,1.7,1.7,1.9,1.9,2
2018/4/18,จFณภ,CO,0.24,0.27,0.29,0.28,0.27,0.28,0.31,0.45,0.42,0.33,0.36,0.35,0.35,0.34,0.3,NA,0.28,0.29,0.36,0.39,0.45,0.47,0.63,0.8
2018/4/18,จFณภ,NOx,10,7.6,9.9,10,13,13,16,25,23,17,19,16,13,11,9.5,NA,8.8,10,15,18,24,26,27,35
2018/4/18,จFณภ,O3,39,42,40,41,36,36,36,29,36,45,52,69,76,85,88,79,82,72,59,49,37,31,35,21
2018/4/18,จFณภ,PM10,35,31,29,34,32,29,31,34,34,41,48,53,54,51,50,NA,52,55,58,62,70,73,75,77
2018/4/18,จFณภ,SO2,1.9,1.6,2.3,2.2,2,1.8,1.9,2,2.7,3.2,3.4,3.3,3.9,3.8,3.2,NA,2.3,2.3,2.8,3.1,3.7,4.6,3.9,4
2018/4/19,จFณภ,CO,0.92,0.64,0.65,0.63,0.56,0.5,0.63,0.75,0.63,0.52,0.52,0.54,0.47,0.38,0.39,0.35,0.4,0.49,0.47,0.55,0.59,0.68,0.67,0.78
2018/4/19,จFณภ,NOx,45,39,45,40,36,34,42,38,26,18,23,27,21,13,12,11,12,16,16,20,23,28,30,40
2018/4/19,จFณภ,O3,11,8.3,3.6,6.4,7.4,5.9,7.8,22,51,70,69,72,86,98,96,81,77,75,76,61,49,38,32,18
2018/4/19,จFณภ,PM10,77,78,85,91,84,81,78,81,96,98,92,92,83,67,58,59,57,56,60,61,63,68,71,78
2018/4/19,จFณภ,SO2,4.2,3.4,5.3,6.8,5,4.1,4.1,4.7,5.4,4.8,8.1,10,8.3,4.6,5.6,5.2,4.4,4.7,2.4,2.3,2.5,2.9,2.8,3.1
2018/4/20,จFณภ,CO,0.8,0.56,0.5,0.52,0.49,0.44,0.6,0.69,0.45,0.44,0.33,0.34,0.4,0.49,0.47,0.56,0.5,0.49,0.56,0.43,0.47,0.57,0.55,0.58
2018/4/20,จFณภ,NOx,40,21,18,21,20,17,26,30,17,18,13,17,19,20,22,27,24,21,22,15,16,22,18,22
2018/4/20,จFณภ,O3,19,32,35,25,25,24,20,25,45,58,71,78,84,83,77,72,72,74,72,81,70,62,67,58
2018/4/20,จFณภ,PM10,92,100,95,87,84,85,82,85,81,75,68,68,82,77,73,78,82,80,84,79,64,63,76,99
2018/4/20,จFณภ,SO2,5.5,6.5,5.4,4.2,3.9,3,1.8,2.6,2.9,3.8,2.2,4.8,8.1,9.6,9.8,13,7.6,3.5,3,4.1,5.3,4.6,4.4,4.3
2018/4/21,จFณภ,CO,0.65,0.68,0.61,0.59,0.57,0.62,0.62,0.64,0.44,0.44,0.44,0.46,0.42,0.28,0.26,0.24,0.26,0.31,0.35,0.32,0.39,0.58,0.72,0.81
2018/4/21,จFณภ,NOx,27,25,21,21,19,27,31,32,16,17,19,17,15,10,8.9,6.9,8.3,9,13,13,17,26,30,32
2018/4/21,จFณภ,O3,41,32,30,29,28,10,9.7,18,49,62,72,75,66,59,61,61,56,55,44,44,34,22,15,9.7
2018/4/21,จFณภ,PM10,107,105,122,134,133,131,131,120,104,95,85,92,96,76,66,63,59,54,56,62,61,67,75,84
2018/4/21,จFณภ,SO2,4.4,4.7,6.6,5.8,5.3,4.4,4,4.6,5.8,6.2,6.7,9.5,7.6,5,4.1,3,2.8,2.1,2.6,2.9,3.4,3.8,4.1,4
2018/4/22,จFณภ,CO,0.8,0.76,0.69,0.87,0.88,0.74,0.67,0.75,0.84,0.61,0.61,0.44,0.4,0.37,0.29,0.22,0.24,0.26,0.36,0.45,0.7,0.88,0.64,0.76
2018/4/22,จFณภ,NOx,36,38,42,40,41,35,30,31,37,32,34,20,9.2,8.4,7.1,5.4,6.6,7.3,13,19,32,45,32,40
2018/4/22,จFณภ,O3,5.1,4.4,4.8,2.2,1.7,6,9.2,15,22,38,37,55,83,85,75,62,64,59,49,38,18,5.6,8.2,6
2018/4/22,จFณภ,PM10,85,78,71,76,87,89,88,83,83,80,93,100,80,68,57,43,44,48,51,59,63,53,35,37
2018/4/22,จFณภ,SO2,3.5,3.4,3.3,3.2,3.4,3.6,3.5,3.4,3.5,4.2,12,6.1,2.4,2.7,2.2,1.4,1.8,2.1,1.7,1.8,1.8,2.7,2.6,2.7
2018/4/23,จFณภ,CO,0.55,0.65,0.47,0.45,0.36,0.38,0.65,0.69,0.37,0.35,0.46,0.44,0.56,0.5,0.22,0.24,0.21,0.26,0.34,0.38,0.29,0.26,0.27,0.25
2018/4/23,จFณภ,NOx,21,24,16,14,12,13,33,32,15,12,17,19,19,22,8,NA,10,12,16,17,13,12,15,15
2018/4/23,จFณภ,O3,21,18,27,25,27,23,10,20,31,40,47,50,54,50,NA,52,40,42,37,31,34,34,26,20
2018/4/23,จFณภ,PM10,45,44,40,32,34,32,36,48,47,41,46,63,62,NA,NA,46,45,42,35,28,28,25,27,31
2018/4/23,จFณภ,SO2,3.3,3.9,3.5,3.2,3.3,2.9,2.9,3.2,3.2,4.5,8,8.3,9.7,10,2,3.3,2.9,1.2,0.6,1,1.4,1.6,2.5,2.6
2018/4/24,จFณภ,CO,0.22,0.18,0.17,0.15,0.14,0.16,0.21,0.32,0.36,0.23,0.17,0.31,0.16,0.15,0.13,0.14,0.2,0.31,0.38,0.41,0.41,0.44,0.37,0.33
2018/4/24,จFณภ,NOx,13,11,11,12,9.9,11,14,21,22,13,12,16,9.3,12,9,9.9,11,16,18,18,19,20,16,15
2018/4/24,จFณภ,O3,17,18,17,15,17,16,14,10,15,24,26,22,23,20,21,25,28,24,23,20,17,15,20,20
2018/4/24,จFณภ,PM10,31,33,30,28,30,32,31,32,33,33,36,34,29,28,24,21,20,17,18,18,18,19,20,19
2018/4/24,จFณภ,SO2,3.4,2.1,2.3,2.2,1.6,1.4,1.7,2.3,3,1.8,2.2,3.9,2,2.1,1.4,1,1.1,1.2,1.1,1.3,1.5,1.6,1.6,2.1
2018/4/25,จFณภ,CO,0.29,0.26,0.26,0.26,0.27,0.28,0.3,0.33,0.33,0.31,0.31,0.3,0.31,0.29,0.27,0.28,0.3,0.39,0.42,0.41,0.42,0.45,0.39,0.37
2018/4/25,จFณภ,NOx,12,8.6,7.8,7.7,7.8,8.2,9.9,12,12,12,13,12,12,12,12,12,13,19,23,23,23,23,21,21
2018/4/25,จFณภ,O3,32,46,50,49,45,42,38,37,41,44,50,62,71,70,66,68,67,65,55,46,38,36,36,33
2018/4/25,จFณภ,PM10,15,21,29,28,27,28,26,27,28,29,38,46,43,40,38,36,43,58,67,59,50,51,53,52
2018/4/25,จFณภ,SO2,2.1,1.4,1.1,1,0.8,0.8,0.8,0.8,1,1.3,1.5,1.8,1.7,1.6,1.4,1.6,1.8,2.1,2.5,2.7,2.5,2.7,2.9,3.1
2018/4/26,จFณภ,CO,0.36,0.35,0.36,0.33,0.33,0.41,0.38,0.46,0.47,0.4,0.46,0.45,0.43,0.37,0.35,0.35,0.34,0.36,0.4,0.44,0.44,0.47,0.56,0.54
2018/4/26,จFณภ,NOx,18,16,16,15,14,19,19,25,23,23,22,18,15,13,12,14,14,15,18,18,19,27,31,27
2018/4/26,จFณภ,O3,33,30,26,24,29,26,22,27,39,45,64,80,100,105,101,93,85,77,70,64,55,41,34,33
2018/4/26,จFณภ,PM10,43,35,43,45,35,44,45,39,53,59,62,66,64,66,63,57,55,53,54,54,57,65,74,73
2018/4/26,จFณภ,SO2,2.4,2.2,2,1.8,1.8,2.8,2.1,2.6,3.8,3.5,3.4,2.7,2.7,3.1,3.1,2.8,2.3,2.1,2.2,2.4,3,3.6,3.9,4.2
2018/4/27,จFณภ,CO,0.58,0.63,0.68,0.58,0.43,0.37,0.51,0.74,0.69,0.88,0.6,0.41,0.38,0.3,0.31,0.35,0.37,0.4,0.43,0.42,0.5,0.53,0.61,0.61
2018/4/27,จFณภ,NOx,27,33,35,30,21,18,22,27,31,41,28,13,11,9,8.5,9.1,12,13,17,18,23,26,27,29
2018/4/27,จFณภ,O3,24,16,13,20,36,33,30,31,36,49,67,76,76,70,64,65,68,61,52,49,40,27,20,15
2018/4/27,จFณภ,PM10,67,71,73,74,69,60,65,83,86,91,94,73,53,44,40,42,46,48,46,45,51,61,63,59
2018/4/27,จFณภ,SO2,4,3.1,3.1,3.7,3.5,3.2,4.5,5.1,4.8,14,10,3.6,3.5,2.1,1.4,1.5,2.4,1.6,1.4,1.3,3,3.7,3.3,3.5
2018/4/28,จFณภ,CO,0.56,0.49,0.44,0.44,0.44,0.46,0.53,0.66,0.73,0.69,0.7,0.55,0.48,0.47,0.56,0.55,0.64,0.59,0.54,0.5,0.54,0.59,0.6,0.72
2018/4/28,จFณภ,NOx,26,26,22,24,22,22,27,32,39,34,31,26,16,14,15,14,16,15,13,13,16,20,20,26
2018/4/28,จFณภ,O3,17,15,18,13,15,12,10,15,17,28,51,60,78,89,102,104,108,110,107,96,84,69,60,50
2018/4/28,จFณภ,PM10,56,51,46,46,49,58,59,66,79,91,100,89,75,72,76,74,71,73,67,65,70,74,70,76
2018/4/28,จFณภ,SO2,2.8,3.1,2.6,3.2,2.9,3.2,3.6,4.1,4.5,4.9,5.2,7.5,5.2,4.2,4.7,4.7,5.9,5.8,4.1,2.9,2.6,2.3,3.4,3.7
2018/4/29,จFณภ,CO,0.74,0.75,0.78,0.62,0.55,0.56,0.58,0.54,0.46,0.46,0.41,0.44,0.62,0.6,0.5,0.45,0.41,0.37,0.44,0.47,0.51,0.4,0.36,0.35
2018/4/29,จFณภ,NOx,29,22,22,14,13,14,15,13,11,9.5,7.8,9.2,17,19,14,13,14,8,10,12,19,12,10,7.9
2018/4/29,จFณภ,O3,40,40,36,49,46,36,40,48,63,67,72,75,74,70,74,73,61,62,62,59,49,59,64,66
2018/4/29,จFณภ,PM10,92,102,113,115,117,113,107,101,86,75,67,69,81,76,69,67,55,40,34,36,52,66,61,57
2018/4/29,จFณภ,SO2,3.6,4.8,4.9,4.8,4.3,4.4,4.6,4.7,4.8,3.9,2.6,4.5,11,13,11,6.5,5.7,1.9,1.7,2.2,4.9,5,4.3,3.4
2018/4/30,จFณภ,CO,0.34,0.42,0.44,0.51,0.47,0.48,0.58,0.71,0.5,0.68,0.57,0.5,0.54,0.63,0.44,0.31,0.31,0.36,0.38,0.36,0.41,0.44,0.43,0.43
2018/4/30,จFณภ,NOx,7.3,9.1,12,15,15,14,23,27,15,34,28,23,21,27,17,11,9.5,13,14,16,17,16,16,17
2018/4/30,จFณภ,O3,66,70,56,46,43,38,28,32,57,47,52,59,69,65,62,49,42,35,31,26,23,24,25,21
2018/4/30,จFณภ,PM10,59,57,59,63,62,64,68,78,72,61,68,76,75,61,50,44,39,36,38,41,45,51,47,37
2018/4/30,จFณภ,SO2,3.2,3.1,5.7,4.4,4.4,4.1,4.8,4.7,5.1,14,11,9,11,14,8.5,4.2,2.9,3,3.6,5.8,4.4,4.2,3.7,3.4
2018/5/1,จFณภ,CO,0.47,0.43,0.4,0.36,0.32,0.39,0.51,0.45,0.3,0.32,0.28,0.26,0.2,0.17,0.17,0.17,0.22,0.26,0.36,0.33,0.33,0.31,0.26,0.23
2018/5/1,จFณภ,NOx,18,19,15,14,11,14,22,17,11,11,8.5,9,7.4,5.7,5.5,6,6.7,8.1,11,10,14,13,11,9.2
2018/5/1,จFณภ,O3,21,16,19,22,28,20,16,22,28,35,44,44,41,35,34,30,27,26,20,18,14,14,16,17
2018/5/1,จFณภ,PM10,38,49,57,55,53,50,51,53,42,38,42,47,44,32,26,24,25,29,32,31,32,31,23,23
2018/5/1,จFณภ,SO2,2.5,3.9,3.2,3.2,2.5,2.7,3.2,3.3,2.8,2.3,2.2,2.5,2.6,2.1,2.1,1.8,1.4,1.5,1.6,2.2,3.1,2.2,1.7,1.6
2018/5/2,จFณภ,CO,0.2,0.19,0.18,0.16,0.16,0.23,0.3,0.44,0.3,0.23,0.21,0.17,0.15,0.15,NA,0.15,0.17,0.26,0.38,0.36,0.35,0.24,0.2,0.16
2018/5/2,จFณภ,NOx,8.3,8.5,8.9,8.5,9.1,12,17,20,13,12,11,8.8,6.4,5.8,NA,6.3,7.5,13,21,19,19,24,19,11
2018/5/2,จFณภ,O3,17,16,15,15,13,8.7,8.7,14,21,26,31,31,30,NA,21,27,26,20,12,12,9.9,4.9,6.3,12
2018/5/2,จFณภ,PM10,24,24,31,27,21,27,35,36,32,34,35,34,35,30,NA,31,30,26,27,33,35,34,30,28
2018/5/2,จFณภ,SO2,1.9,2.1,2.4,2.1,2.2,2.4,2.9,3.7,2.8,2.8,3.1,3.3,2.1,1.9,NA,1.8,1.3,3.6,2.6,3.6,6.4,8.4,6.2,3.4
2018/5/3,จFณภ,CO,0.14,0.12,0.13,0.14,0.16,0.2,0.36,0.54,0.43,0.44,0.45,0.45,0.4,0.38,0.36,0.34,0.34,0.46,0.5,0.52,0.44,0.42,0.42,0.4
2018/5/3,จFณภ,NOx,6,5.4,7.7,10,13,17,17,17,11,11,10,11,9.5,8.9,9.8,8.8,9.3,17,23,25,17,14,14,12
2018/5/3,จFณภ,O3,15,14,11,8.1,5.4,3.7,21,43,58,65,75,79,78,78,72,63,60,54,43,34,39,40,40,39
2018/5/3,จFณภ,PM10,26,21,20,24,27,29,39,58,61,58,63,75,77,68,62,51,39,44,54,52,50,45,38,41
2018/5/3,จFณภ,SO2,2.6,2.3,2.2,2.4,3.1,3.8,3,2.4,1.9,2.1,2.3,2.1,2,1.9,1.4,1.1,1.1,2,2.8,3,2.2,2.4,2.4,1.9
2018/5/4,จFณภ,CO,0.38,0.36,0.33,0.32,0.32,0.33,0.39,0.57,0.7,0.6,0.6,0.49,NA,NA,0.44,0.46,0.44,0.42,0.43,0.52,0.68,0.49,0.81,0.61
2018/5/4,จFณภ,NOx,11,13,12,12,13,16,18,31,40,37,36,20,NA,NA,14,15,14,15,18,24,30,23,42,26
2018/5/4,จFณภ,O3,38,38,38,33,29,25,26,15,15,20,37,73,NA,NA,90,98,98,84,70,58,45,41,20,46
2018/5/4,จFณภ,PM10,46,44,40,39,37,35,39,48,52,56,65,75,NA,NA,56,60,67,59,48,50,53,53,57,76
2018/5/4,จFณภ,SO2,1.9,2.4,1.9,1.9,2.2,2.1,2.6,2.9,3.5,3.6,4,4.8,NA,NA,5.7,6.1,4.8,4.7,2.8,2.8,3,3.1,3.7,5.5
2018/5/5,จFณภ,CO,0.39,0.35,0.33,0.3,0.3,0.32,0.39,0.39,0.38,0.35,0.51,0.49,0.43,0.3,0.3,0.29,0.31,0.37,0.37,0.4,0.44,0.78,0.58,0.56
