"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/07","¤¯ªZ","SO2",2.3,3.8,5.7,3.5,1.7,2.6,2,1.4,3.9,1.6,1.8,5.2,4.8,6.3,3.4,3,2.7,2.4,2.2,2.6,2.2,2.3,3.8,3.6
"2018/01/08","¤¯ªZ","CO",0.94,0.56,0.42,0.39,0.36,0.35,0.43,0.75,1.16,0.81,0.55,0.46,0.3,0.26,0.26,0.29,0.28,0.34,0.35,0.3,0.27,0.32,0.28,0.27
"2018/01/08","¤¯ªZ","NOx",43,25,18,16,22,22,23,34,54,46,27,23,18,15,19,25,23,27,24,18,13,15,12,11
"2018/01/08","¤¯ªZ","O3",7.5,17,23,19,13,11,12,7.3,6.6,15,30,28,31,31,22,19,19,17,16,21,28,25,26,25
"2018/01/08","¤¯ªZ","PM10",71,69,60,63,60,50,44,41,56,74,71,63,40,33,36,40,40,24,19,19,24,25,18,13
"2018/01/08","¤¯ªZ","SO2",4.5,3.4,5,3.6,4.6,4.7,4.4,3.7,3.8,4.1,5.6,8,4.4,4.2,3.6,5.2,2.7,4.7,4.4,3.3,3.3,2.7,2.1,2.1
"2018/01/09","¤¯ªZ","CO",0.26,0.25,0.42,0.46,0.43,0.41,0.37,0.66,0.73,0.69,0.67,0.63,0.64,0.64,0.68,0.63,0.66,0.69,0.64,0.71,0.68,0.68,0.64,0.59
"2018/01/09","¤¯ªZ","NOx",11,10,11,14,11,18,23,30,31,35,43,37,35,37,42,41,44,44,34,41,42,38,33,25
"2018/01/09","¤¯ªZ","O3",25,25,18,17,23,19,19,9.5,7.4,6.9,7.2,11,11,11,9.3,8.5,7,5.9,8.7,4.9,4.3,3.8,4.6,7.8
"2018/01/09","¤¯ªZ","PM10",21,27,36,28,27,15,18,12,17,16,21,27,20,29,28,36,35,44,50,45,33,33,39,48
"2018/01/09","¤¯ªZ","SO2",1.8,1.8,1.4,1.5,1.5,3.5,4.1,2.3,1.9,1.9,2,2.1,1.8,2,1.8,1.7,1.7,1.9,1.8,2.2,2.3,2,1.8,1.6
"2018/01/10","¤¯ªZ","CO",0.57,0.44,0.39,0.28,0.24,0.25,0.3,0.49,0.42,0.41,0.4,0.38,0.4,0.38,0.39,0.4,0.43,0.53,0.45,0.45,0.41,0.38,0.37,0.36
