"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/07","´I¶Q¨¤","NOx",1.9,2.5,1,1,0.8,0.9,0.7,0.6,0.7,0.9,1,0.8,0.6,1,1.1,1.4,0.9,0.5,0.6,0.5,0.5,0.6,0.6,0.8
"2018/01/07","´I¶Q¨¤","O3",42,42,42,42,41,42,43,44,44,44,44,45,44,42,42,41,41,41,41,42,42,41,40,39
"2018/01/07","´I¶Q¨¤","PM10",20,28,11,9,18,20,26,22,18,12,9,16,NA,5,9,5,6,6,4,5,4,NA,2,5
"2018/01/07","´I¶Q¨¤","SO2",0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1
"2018/01/08","´I¶Q¨¤","CO",0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.11,0.12,0.11,0.12,0.13,0.3,0.21,0.17,0.32,0.51,0.5,0.5,0.52,0.52,0.54,0.52,0.51
"2018/01/08","´I¶Q¨¤","NOx",0.9,1,1,1.1,0.9,1.1,0.8,2.6,2.8,1.6,1.6,3,17,12,8.7,7.1,5.6,6,6.1,6,5.9,5.7,5.3,4.4
"2018/01/08","´I¶Q¨¤","O3",37,37,34,35,31,38,38,35,32,33,32,30,21,24,29,28,29,29,27,26,25,23,25,25
"2018/01/08","´I¶Q¨¤","PM10",4,29,4,4,3,3,2,NA,NA,NA,1,5,5,5,8,12,32,36,39,31,36,43,57,49
"2018/01/08","´I¶Q¨¤","SO2",0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
"2018/01/09","´I¶Q¨¤","CO",0.5,0.43,0.43,0.41,0.39,0.36,0.34,0.34,0.34,0.36,0.36,0.37,0.36,0.35,0.36,0.34,0.32,0.3,0.3,0.3,0.29,0.29,0.27,0.26
"2018/01/09","´I¶Q¨¤","NOx",3.9,2.9,2.7,2.5,2.3,2.2,2.1,2.6,2.4,2.5,2.3,2.2,2.2,2.1,2.2,2.8,2.5,2.5,2.5,2.1,1.8,1.8,1.6,1.6
