"дщ┤┴","┤·п╕","┤·╢╡","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/03/28","оч╢щ","NOx",19,12,11,12,15,25,53,37,26,24,19,12,12,9.7,13,18,17,25,30,24,23,22,19,16
"2018/03/28","оч╢щ","O3",24,28,28,25,16,7.9,3.9,14,27,35,37,41,41,41,38,34,33,24,17,18,19,19,20,22
"2018/03/28","оч╢щ","PM10",45,44,37,34,37,46,47,46,36,38,39,47,51,52,50,45,45,41,38,38,37,31,25,27
"2018/03/28","оч╢щ","SO2",6.8,3.9,2.5,2.2,1.8,4,4.9,6.4,6,5.3,2.8,1.8,1.6,0.9,2.1,2.7,0.9,1.9,5.3,5.1,4.8,5,4.9,4.6
"2018/03/29","оч╢щ","CO",0.29,0.23,0.2,0.2,0.38,0.38,0.53,0.63,0.53,0.55,0.32,0.27,0.28,0.26,0.24,0.21,0.24,0.33,0.47,0.43,0.35,0.37,0.36,0.3
"2018/03/29","оч╢щ","NOx",12,8.3,7.3,7.5,25,28,33,34,25,27,16,11,15,21,12,7.7,8.9,12,19,18,13,14,14,13
"2018/03/29","оч╢щ","O3",26,28,29,28,13,5.7,6.4,14,25,35,42,46,47,43,26,36,35,30,22,21,25,24,24,24
"2018/03/29","оч╢щ","PM10",35,31,21,23,32,41,40,41,49,52,47,37,34,37,NA,39,34,24,20,25,30,34,32,30
"2018/03/29","оч╢щ","SO2",2.2,2.9,3.2,3.6,7.4,8,8.6,9.7,5.6,5.2,3.7,3,4.5,4.3,2.5,2.3,2.2,2.5,4.4,4.8,4.7,4.9,4.9,4.6
"2018/03/30","оч╢щ","CO",0.26,0.2,0.18,0.17,0.18,0.22,0.31,0.49,0.48,0.31,0.19,0.22,0.21,0.23,0.27,0.26,0.3,0.42,0.34,0.27,0.27,0.27,0.36,0.35
"2018/03/30","оч╢щ","NOx",9.9,8.6,7.2,7.2,8.1,11,18,27,27,17,7.9,9.1,8.4,11,16,16,17,24,16,9.9,10,9.5,16,15
"2018/03/30","оч╢щ","O3",26,27,28,28,26,23,19,19,22,31,40,40,41,42,40,38,35,29,34,38,38,38,31,31
"2018/03/30","оч╢щ","PM10",25,24,24,24,28,22,29,34,38,41,30,29,20,28,38,43,48,42,42,40,40,38,31,30
"2018/03/30","оч╢щ","SO2",4.8,3.7,3.3,4.2,3.8,4.1,3.7,3.2,2,2,1.4,1,1.3,1,1.8,1.9,2.5,3,2.3,2,1.9,2.1,2.9,4.3
"2018/03/31","оч╢щ","CO",0.28,0.25,0.22,0.23,0.24,0.26,0.36,0.45,0.45,0.25,0.23,0.21,NA,0.2,0.19,0.2,0.23,0.27,0.32,0.34,0.29,0.27,0.28,0.25
"2018/03/31","оч╢щ","NOx",11,9.4,7.9,8.3,9.2,13,20,23,22,8,7.9,5.7,NA,5.6,5,6.5,6.9,7.9,11,12,9.8,8.2,8.9,7.6
"2018/03/31","оч╢щ","O3",34,34,35,34,33,29,27,28,32,43,46,NA,45,45,45,43,41,39,34,32,34,35,34,37
"2018/03/31","оч╢щ","PM10",29,31,29,30,34,34,34,34,39,46,41,NA,40,43,60,75,82,71,67,60,58,53,50,58
"2018/03/31","оч╢щ","SO2",4.6,4.9,3.6,5,4.2,4.4,3.5,2.7,2.9,2.5,2,1.9,NA,1.4,1.4,1.3,1.6,1.8,2.6,3.9,3.8,3.5,3.8,4.4
"2018/04/01","оч╢щ","CO",0.21,0.2,0.2,0.2,0.19,0.19,0.23,0.31,0.3,0.34,0.31,0.34,0.33,0.36,0.34,0.28,0.29,0.32,0.44,0.39,0.41,0.38,0.37,0.36
"2018/04/01","оч╢щ","NOx",6.2,6.2,6.2,6.7,6,7.3,9.3,12,12,12,11,10,9.6,17,16,14,15,14,19,15,16,15,16,17
"2018/04/01","оч╢щ","O3",41,42,41,41,41,40,38,36,39,41,49,59,71,69,71,63,58,55,33,33,33,33,31,29
"2018/04/01","оч╢щ","PM10",52,59,59,66,60,56,59,65,72,64,66,63,77,81,87,84,74,68,67,73,80,74,77,73
"2018/04/01","оч╢щ","SO2",3,5.2,5.4,3.4,2.8,2.8,2.8,3,3.8,2.9,3.7,4.2,4,6.8,5.5,5.4,5.2,4.9,6.4,7.5,7.9,4.9,4.6,4.4
"2018/04/02","оч╢щ","CO",0.32,0.38,0.45,0.35,0.33,0.35,0.5,0.89,0.72,0.47,0.54,0.39,0.39,0.33,0.34,0.32,0.39,0.55,0.6,0.55,0.85,0.54,0.61,0.6
"2018/04/02","оч╢щ","NOx",14,16,24,15,16,18,31,42,31,22,27,16,18,17,18,16,25,30,33,29,41,24,26,26
"2018/04/02","оч╢щ","O3",31,27,19,22,23,14,8.3,12,30,47,55,71,66,58,58,57,48,43,37,33,15,22,17,15
"2018/04/02","оч╢щ","PM10",76,71,74,77,74,64,57,64,68,83,83,84,84,80,86,86,102,108,111,108,110,98,90,76
"2018/04/02","оч╢щ","SO2",3.3,11,8.2,7.7,8.8,5.5,11,24,12,7.6,6,4.7,5.5,5.3,5.5,5,7,7.2,7.8,8,18,13,15,13
"2018/04/03","оч╢щ","CO",0.61,0.51,0.58,0.45,0.4,0.42,0.6,0.91,0.55,0.47,0.58,0.41,0.36,0.35,0.31,0.28,0.29,0.41,0.54,0.58,0.62,0.5,0.56,0.57
"2018/04/03","оч╢щ","NOx",26,22,28,22,20,23,36,46,27,21,32,24,21,18,20,18,21,27,30,26,28,22,24,31
"2018/04/03","оч╢щ","O3",12,13,6,7.4,8.6,5.3,4.6,11,26,39,45,50,48,54,42,37,34,26,20,21,14,16,12,7.8
"2018/04/03","оч╢щ","PM10",79,67,63,56,58,59,59,64,63,59,60,80,93,98,85,75,58,58,54,59,53,51,52,55
"2018/04/03","оч╢щ","SO2",11,7.1,7.3,4.2,5.9,8.5,8.3,12,6.9,3.9,4.8,5.4,4.8,3.6,2.8,2.2,1.5,2.8,3.5,6,5.9,3.1,16,7.3
"2018/04/04","оч╢щ","CO",0.75,0.73,0.67,0.6,0.55,0.56,0.72,0.68,0.57,0.56,0.43,0.41,0.36,0.38,0.39,0.37,0.35,0.33,0.31,0.34,0.33,0.43,0.64,0.7
"2018/04/04","оч╢щ","NOx",38,36,36,30,27,27,35,33,23,24,18,23,18,18,16,17,23,18,10,10,12,15,25,26
"2018/04/04","оч╢щ","O3",1.9,1.5,1.5,1.5,2.1,2.5,3.7,11,21,30,40,43,52,54,65,59,41,39,46,53,49,40,25,16
"2018/04/04","оч╢щ","PM10",62,60,56,52,52,60,73,75,73,59,55,57,61,62,63,63,68,62,55,54,54,62,61,65
"2018/04/04","оч╢щ","SO2",6.1,6.5,6.2,5.8,18,18,10,11,12,4.6,3.6,5.1,6.3,7.5,5.6,6,9.1,5.7,2.9,3.5,3.5,3.4,6.3,8.8
"2018/04/05","оч╢щ","CO",0.6,0.52,0.44,0.48,0.49,0.52,0.6,0.51,0.42,0.47,0.38,NA,0.28,0.27,0.27,0.29,0.29,0.3,0.33,0.52,0.75,0.75,0.74,0.68
"2018/04/05","оч╢щ","NOx",23,20,16,19,20,23,25,17,12,15,16,NA,13,10,9.2,10,11,17,18,25,33,35,33,29
"2018/04/05","оч╢щ","O3",16,14,14,7.1,4.7,3.8,5.3,16,30,41,NA,38,37,44,42,39,34,26,21,13,5.3,5,3.2,4
"2018/04/05","оч╢щ","PM10",59,56,42,39,31,36,45,52,56,50,NA,49,50,51,52,51,51,51,53,55,55,59,60,63
"2018/04/05","оч╢щ","SO2",8.2,4.8,3.6,3.5,3.5,4.9,5.5,6.1,3.9,4.1,5.1,NA,NA,3.1,2.7,2.9,2.5,2.8,2.4,3.2,3.5,5.3,5.3,7
"2018/04/06","оч╢щ","CO",0.74,0.46,0.45,0.39,0.42,0.5,0.48,0.45,0.37,0.38,0.39,0.37,0.37,0.35,0.31,0.36,0.37,0.42,0.35,0.33,0.4,0.34,0.34,0.31
"2018/04/06","оч╢щ","NOx",29,20,21,20,19,27,30,23,17,17,9.2,9.8,10,9.3,9.1,9.7,9.3,14,9.9,9.3,13,8.9,9.3,8.8
"2018/04/06","оч╢щ","O3",3.9,6.9,7.8,13,9,3.8,7.9,19,28,27,25,28,29,33,38,36,37,32,38,42,36,40,40,39
"2018/04/06","оч╢щ","PM10",58,59,51,45,39,48,52,55,54,55,44,31,18,18,15,18,20,22,41,89,136,153,143,129
"2018/04/06","оч╢щ","SO2",8.1,7.3,5.6,4.4,3.8,3.8,4.6,3.9,4.5,3.9,1.6,1.5,1.3,0.9,1,0.8,0.6,0.8,0.8,0.7,3.5,0.8,0.9,0.9
"2018/04/07","оч╢щ","CO",0.27,0.27,0.26,0.26,0.27,0.28,0.3,0.35,0.38,0.44,0.46,0.51,0.5,0.44,0.37,0.33,0.33,0.37,0.44,0.47,0.38,0.32,0.3,0.34
"2018/04/07","оч╢щ","NOx",6.6,7,6.5,5.7,6.4,7.5,8.8,11,12,17,15,32,22,17,13,11,13,14,23,23,15,11,9,11
"2018/04/07","оч╢щ","O3",41,42,44,44,42,43,41,38,37,33,35,30,32,36,47,51,52,49,39,39,44,49,52,47
"2018/04/07","оч╢щ","PM10",132,130,129,124,119,126,124,120,112,113,118,120,128,129,132,129,125,121,115,108,107,102,102,102
"2018/04/07","оч╢щ","SO2",2.6,1.9,1.3,1,1.6,0.9,0.9,0.9,1.5,2.5,2.2,2.6,2.7,2.4,1.7,1.3,1.1,1.7,3.8,4.4,2.4,1.8,1.6,4.1
"2018/04/08","оч╢щ","CO",0.33,0.28,0.27,0.25,0.23,0.24,0.27,0.31,0.3,0.34,0.32,0.32,0.28,0.29,0.31,0.39,0.41,0.42,0.47,0.43,0.4,0.45,0.53,0.65
"2018/04/08","оч╢щ","NOx",10,7.2,6.9,5.9,4.3,5.4,8.1,9.8,9.2,10,9.5,9,7.2,8.1,8.9,14,14,16,18,16,14,17,20,26
"2018/04/08","оч╢щ","O3",48,49,50,51,52,50,51,49,50,49,50,52,54,56,59,52,49,45,40,39,40,34,28,17
"2018/04/08","оч╢щ","PM10",105,104,98,94,89,81,67,61,58,65,56,53,40,37,39,43,50,48,48,52,52,49,50,50
"2018/04/08","оч╢щ","SO2",4.9,3.3,5.1,5.6,3.5,4.3,5.4,5.3,4.4,3.2,3.4,3.3,2.4,2.7,3.2,3.4,4.5,4.9,4.3,3.3,4.1,6.8,16,11
"2018/04/09","оч╢щ","CO",0.58,0.51,0.48,0.45,0.45,0.44,0.56,0.67,0.57,0.44,0.47,0.39,0.39,0.33,0.33,0.33,0.35,0.48,0.54,0.96,1,0.84,0.71,0.78
"2018/04/09","оч╢щ","NOx",24,21,18,17,19,19,28,36,33,17,19,16,17,14,18,17,21,24,28,46,50,43,37,40
"2018/04/09","оч╢щ","O3",15,15,16,15,11,9.9,10,19,32,50,59,60,62,65,61,61,55,50,46,21,8.9,9.3,12,5.1
"2018/04/09","оч╢щ","PM10",53,47,48,47,47,41,33,40,49,52,54,44,58,55,68,63,57,53,49,51,47,53,53,54
"2018/04/09","оч╢щ","SO2",8.5,3.5,2.8,4.9,7.2,6.7,7.7,8.3,7.4,5.6,3.1,2.2,4.6,4.3,6.1,6,5.2,5.2,5.2,4.7,5.4,7.4,8.9,10
"2018/04/10","оч╢щ","CO",0.88,0.72,0.65,0.58,0.5,0.52,0.71,1.11,0.64,0.44,0.36,0.34,0.39,0.37,0.33,0.36,0.42,0.61,0.87,0.93,0.98,1.33,1.01,0.94
"2018/04/10","оч╢щ","NOx",45,33,31,27,24,27,37,60,32,22,16,14,17,16,18,22,26,32,44,51,52,65,48,43
"2018/04/10","оч╢щ","O3",1.8,3.5,3.4,5.5,6.5,4.4,5,8.3,36,52,64,73,77,73,64,63,59,53,33,13,11,2.9,18,17
"2018/04/10","оч╢щ","PM10",54,51,50,47,53,54,53,67,78,80,67,49,53,52,65,63,72,65,64,61,76,85,78,73
"2018/04/10","оч╢щ","SO2",8.3,9.3,7.8,6.8,7.5,11,12,26,18,6.5,4.1,3.5,4.7,3.4,3.3,4.2,4.3,4.1,5.4,9.2,18,15,13,15
"2018/04/11","оч╢щ","CO",0.92,0.74,0.71,0.73,0.76,0.84,1.01,1.04,0.9,0.63,0.5,0.47,0.5,0.39,0.37,0.37,0.39,0.49,0.58,0.75,0.73,1.39,0.95,0.76
"2018/04/11","оч╢щ","NOx",42,44,33,32,32,39,55,67,44,33,27,26,30,22,22,24,28,24,25,36,34,66,55,49
"2018/04/11","оч╢щ","O3",15,14,12,10,6.9,2.6,4.3,10,24,27,31,37,40,44,44,42,27,29,21,9.6,15,1.7,4.7,6.8
"2018/04/11","оч╢щ","PM10",64,72,66,61,59,60,76,89,88,82,80,89,91,79,67,61,56,52,46,45,51,58,64,70
"2018/04/11","оч╢щ","SO2",27,17,20,29,28,21,37,18,7.9,6.8,5.9,5.4,5.5,3.7,3.6,4,6.9,4.1,2.3,3,3,4,14,15
"2018/04/12","оч╢щ","CO",0.76,0.72,0.68,0.65,0.59,0.65,0.74,1.05,1.21,0.87,0.39,0.48,0.45,0.39,0.33,0.38,0.49,0.62,0.52,0.52,0.68,1.04,1.02,1.01
"2018/04/12","оч╢щ","NOx",48,44,43,42,37,41,47,64,56,47,30,37,25,21,NA,NA,31,34,25,25,29,46,50,49
"2018/04/12","оч╢щ","O3",7.7,5.7,1.7,1.8,2.5,1.8,2.5,3,4.9,4.5,9.3,17,30,NA,35,26,18,22,24,21,12,2,2.4,1.6
"2018/04/12","оч╢щ","PM10",68,65,56,65,75,78,67,63,72,82,62,39,25,NA,31,41,37,46,39,37,30,35,41,44
"2018/04/12","оч╢щ","SO2",13,7.6,8.1,20,26,18,12,17,24,9.9,3.4,2.4,2.6,0.7,-0.3,NA,2.6,4.5,3,2.8,9.5,15,11,12
"2018/04/13","оч╢щ","CO",0.79,0.63,0.55,0.7,0.61,0.68,0.73,1.09,1.88,1.19,0.78,0.5,0.51,0.45,0.4,0.39,0.45,0.58,0.65,0.86,1.01,1.15,1.25,1.07
"2018/04/13","оч╢щ","NOx",36,30,24,41,37,38,50,55,90,50,34,25,27,21,22,19,23,29,31,38,49,53,55,54
"2018/04/13","оч╢щ","O3",1.7,1.5,1.9,1.5,1.6,1.6,1.9,3.6,NA,NA,NA,NA,57,57,55,53,46,36,27,13,4.4,2.4,1.6,1.5
"2018/04/13","оч╢щ","PM10",39,43,44,49,49,43,46,48,72,72,73,53,56,62,72,69,63,52,50,45,57,70,76,76
"2018/04/13","оч╢щ","SO2",15,5.7,8.7,9.3,19,9,12,17,19,11,6.7,3.8,7.1,6.8,6.2,4.6,4.6,5.2,5,4.8,7.3,10,9.9,15
"2018/04/14","оч╢щ","CO",1,0.86,0.61,0.65,0.63,0.64,0.77,0.85,0.75,0.51,0.61,0.47,0.53,0.27,0.25,0.29,0.34,0.34,0.33,0.43,0.94,1.1,1.17,1.05
"2018/04/14","оч╢щ","NOx",47,44,35,26,28,26,35,45,41,26,30,22,23,12,11,13,17,16,15,19,49,57,61,58
"2018/04/14","оч╢щ","O3",1.5,1.5,2.2,2.5,2.5,2.2,2.4,2.9,5.7,5.5,7.4,15,24,25,21,17,12,12,11,7.7,1.4,1.4,1.4,1.4
"2018/04/14","оч╢щ","PM10",75,78,72,65,60,67,70,71,66,59,48,40,46,53,57,48,47,42,40,44,46,46,40,43
"2018/04/14","оч╢щ","SO2",19,18,10,11,22,20,14,10,11,4.6,3.6,4.4,4.7,3.1,2.3,2.1,2.3,1.7,1.5,2.5,5.5,4.3,12,6.9
"2018/04/15","оч╢щ","CO",0.36,0.37,0.32,0.26,0.24,0.24,0.33,0.29,0.35,0.36,0.37,0.35,0.33,0.3,0.34,0.36,0.38,0.43,0.4,0.41,0.45,0.43,0.46,0.45
"2018/04/15","оч╢щ","NOx",15,10,7.9,6.6,5.6,6.2,11,10,13,16,16,13,12,11,11,13,14,16,15,16,18,15,14,12
"2018/04/15","оч╢щ","O3",17,20,25,32,35,38,35,37,34,34,36,40,40,43,45,44,45,44,45,44,40,44,44,50
"2018/04/15","оч╢щ","PM10",41,33,17,10,11,15,16,16,12,9,4,7,12,17,29,59,104,130,142,132,129,122,133,137
"2018/04/15","оч╢щ","SO2",3.7,3.2,2.3,4.1,2.8,2.2,2.7,2.5,2.4,3.3,3.5,2.6,3.3,3,2.5,3.2,1.9,1.9,2.3,2.9,5.2,4.4,4.5,3.5
"2018/04/16","оч╢щ","CO",0.45,0.28,0.25,0.21,0.2,0.21,0.26,0.37,0.35,0.32,0.27,0.28,0.27,0.27,0.24,0.28,0.29,0.4,0.42,0.37,0.37,0.33,0.29,0.29
"2018/04/16","оч╢щ","NOx",12,8.5,6.5,6.2,6.1,9.5,13,18,17,19,15,16,14,16,11,15,16,20,21,18,18,14,10,12
"2018/04/16","оч╢щ","O3",51,53,53,52,52,48,45,42,43,42,47,45,47,47,51,49,49,49,49,51,49,53,56,50
"2018/04/16","оч╢щ","PM10",139,117,98,84,81,79,86,90,105,105,111,108,116,109,105,83,79,68,75,66,64,57,59,53
"2018/04/16","оч╢щ","SO2",7,3.8,3.4,3,2.5,3.1,2.3,2.6,2.8,3.2,2.7,2.8,2.5,2.7,2.7,2.6,3.1,3.4,4.4,4.5,4.2,4.1,3.6,3.5
"2018/04/17","оч╢щ","CO",0.26,0.24,0.22,0.21,0.21,0.23,0.31,0.52,0.65,0.52,0.48,NA,0.36,0.3,0.39,0.45,0.48,0.53,0.55,0.62,0.59,0.65,0.53,0.42
"2018/04/17","оч╢щ","NOx",10,8.5,7.4,7.5,6.7,9.1,15,29,42,33,31,NA,20,15,19,29,31,27,27,32,29,33,24,18
"2018/04/17","оч╢щ","O3",52,52,51,50,50,48,41,29,27,33,NA,34,31,41,38,31,31,36,35,29,28,25,36,42
"2018/04/17","оч╢щ","PM10",54,56,58,50,45,43,39,30,18,14,NA,15,28,39,50,48,45,42,44,51,49,47,43,40
"2018/04/17","оч╢щ","SO2",3.2,3.4,3.2,3.1,2.8,2.3,2.1,2.6,5.1,5,5.6,NA,2.8,2.5,3.5,6,6.5,4.2,4.9,6.2,10,6.3,4.7,4.5
"2018/04/18","оч╢щ","CO",0.3,0.3,0.26,0.25,0.25,0.28,0.34,0.52,0.49,0.51,0.38,0.33,0.36,0.31,0.34,0.35,0.38,0.5,0.58,0.54,0.46,0.41,0.36,0.42
"2018/04/18","оч╢щ","NOx",12,11,9.9,9.6,9,13,18,25,24,28,21,18,21,18,21,24,26,27,27,26,21,18,15,17
"2018/04/18","оч╢щ","O3",50,50,52,50,50,46,42,37,42,40,45,49,47,47,46,43,40,40,37,37,40,40,42,36
"2018/04/18","оч╢щ","PM10",43,47,45,40,30,31,41,50,56,49,49,44,47,45,53,54,51,53,53,58,59,59,57,55
"2018/04/18","оч╢щ","SO2",3.7,2.1,2,2.6,3.7,5.6,4.6,4.3,3.4,2.5,2.3,3.3,4.6,4.7,4.7,4.7,5.1,4.9,4,3.3,3.5,3.4,2.8,4
"2018/04/19","оч╢щ","CO",0.34,0.33,0.31,0.35,0.29,0.3,0.48,0.64,0.64,0.59,0.46,0.57,0.48,0.36,0.35,0.4,0.38,0.39,0.45,0.47,0.43,0.4,0.36,0.31
"2018/04/19","оч╢щ","NOx",15,10,9.7,12,10,9.7,20,25,23,22,17,28,20,16,16,16,18,14,16,16,15,14,11,9.5
"2018/04/19","оч╢щ","O3",38,38,38,32,34,31,24,24,32,43,55,54,64,62,54,51,40,38,34,32,33,33,35,35
"2018/04/19","оч╢щ","PM10",51,50,44,55,57,62,54,55,52,45,37,42,48,55,51,54,46,54,54,64,58,54,51,48
"2018/04/19","оч╢щ","SO2",4,5.1,5.6,11,4,6.9,9.9,7.3,6.1,4.4,2.7,6.1,5.9,6.2,4.7,3.2,2.8,2.7,4.1,5,3.5,3.2,4.2,3.8
"2018/04/20","оч╢щ","CO",0.25,0.2,0.17,0.17,0.17,0.19,0.26,0.45,0.56,0.41,0.33,0.33,0.35,0.34,0.34,0.36,0.43,0.52,0.75,0.57,0.46,0.38,0.42,0.54
"2018/04/20","оч╢щ","NOx",7.1,NA,5.7,6.3,6.8,8.2,12,19,30,20,16,17,16,18,23,20,22,27,32,23,18,15,16,23
"2018/04/20","оч╢щ","O3",38,39,39,38,36,34,31,30,30,39,46,46,49,43,39,41,37,38,18,22,26,28,25,17
"2018/04/20","оч╢щ","PM10",47,40,39,36,36,39,39,41,35,40,46,57,54,84,84,87,59,60,66,58,50,39,42,45
"2018/04/20","оч╢щ","SO2",3.1,2.9,2.6,3.1,3.5,3.4,3.2,3.3,4.4,4.5,3.8,3.4,3.5,3.4,3.6,4,4.1,6.5,10,5.6,5.3,4.7,6.7,14
"2018/04/21","оч╢щ","CO",0.57,0.44,0.34,0.38,0.31,0.35,0.58,0.8,0.68,0.57,0.6,0.62,0.64,0.5,0.52,0.53,0.57,0.66,0.74,0.78,1.19,1.04,1.08,1.05
"2018/04/21","оч╢щ","NOx",26,17,10,13,11,13,27,35,31,19,19,15,24,20,22,24,27,28,29,29,50,39,38,37
"2018/04/21","оч╢щ","O3",12,17,23,20,21,15,8,11,27,51,67,80,77,70,72,74,62,60,57,53,NA,19,12,13
"2018/04/21","оч╢щ","PM10",52,49,45,39,41,38,37,44,60,78,94,102,108,111,111,113,107,110,107,106,107,105,109,107
"2018/04/21","оч╢щ","SO2",25,14,6.7,16,6.8,4.6,11,23,9.5,6,5.4,5.9,8.8,9.8,9.4,11,9.8,10,8.4,7.1,6.8,7.4,8.5,13
"2018/04/22","оч╢щ","CO",1.14,1.06,0.96,0.87,0.84,0.86,1.06,1.03,0.77,0.92,0.63,0.47,0.42,0.48,0.48,0.43,0.41,0.48,0.57,0.82,0.97,0.88,0.77,0.9
"2018/04/22","оч╢щ","NOx",39,34,34,32,31,34,45,37,22,29,17,11,10,14,16,15,13,17,21,34,41,36,35,36
"2018/04/22","оч╢щ","O3",8.6,4.5,2.3,1.9,1.9,2.1,5.2,14,28,28,41,57,68,84,74,61,46,41,31,16,5.6,4.3,6.5,3.8
"2018/04/22","оч╢щ","PM10",112,103,92,74,67,66,85,108,121,108,88,61,45,39,53,54,49,37,34,37,41,51,54,60
"2018/04/22","оч╢щ","SO2",11,7,8.4,9.2,7.4,8.4,23,22,9.1,6,5.2,4.1,2.4,4.3,5.7,5.3,2.9,2.6,2.9,4.1,5.7,8,15,16
"2018/04/23","оч╢щ","CO",0.78,0.65,0.48,0.55,0.74,0.75,0.65,0.76,0.69,0.47,0.49,0.52,0.44,0.33,0.34,0.36,0.5,0.58,0.87,0.89,0.98,1.12,1.3,0.89
"2018/04/23","оч╢щ","NOx",34,23,17,21,27,31,29,29,25,17,24,26,17,14,18,18,24,25,33,39,39,50,57,41
"2018/04/23","оч╢щ","O3",8.6,15,22,14,3.8,2.7,4.9,10,20,35,43,49,63,52,48,49,41,41,27,20,14,4.6,1.9,4.7
"2018/04/23","оч╢щ","PM10",54,50,40,35,38,43,41,36,35,35,36,34,40,41,46,43,41,35,39,37,37,38,45,48
"2018/04/23","оч╢щ","SO2",14,21,9.2,28,12,8,7.5,6.1,3.9,3.1,3.2,4.6,4.7,3.2,4.3,5.2,4.8,4.8,3.4,8.4,4.4,13,13,18
"2018/04/24","оч╢щ","CO",0.73,0.64,0.52,0.27,0.44,0.35,0.34,0.48,0.49,0.33,0.26,0.25,0.34,0.49,NA,NA,0.54,0.52,0.52,0.52,0.45,0.38,0.43,0.39
"2018/04/24","оч╢щ","NOx",45,30,35,14,29,22,20,23,23,20,17,18,11,19,16,NA,28,19,17,19,15,11,13,11
"2018/04/24","оч╢щ","O3",2.7,3,2.5,15,4.2,7.1,8.2,7.9,9.7,13,15,18,27,21,NA,18,21,28,34,35,40,45,43,43
"2018/04/24","оч╢щ","PM10",48,41,46,44,50,50,45,47,39,41,56,62,56,26,NA,17,14,16,11,15,14,22,25,31
"2018/04/24","оч╢щ","SO2",13,13,13,4.4,8.9,8.2,4.4,2.9,2.7,2.5,1.9,2,1.3,1.5,1,NA,2,0.9,0.7,1.1,1.5,1.1,2.6,2
"2018/04/25","оч╢щ","CO",0.35,0.32,0.31,0.33,0.33,0.35,0.42,0.52,0.46,0.39,0.35,0.35,0.36,0.33,0.35,0.42,0.44,0.61,0.61,0.51,0.47,0.48,0.41,0.35
"2018/04/25","оч╢щ","NOx",9,7.5,6.8,8.4,9.2,12,20,22,21,17,15,15,13,11,12,20,21,28,31,21,16,17,13,9.3
"2018/04/25","оч╢щ","O3",44,40,38,34,33,29,26,30,35,40,45,48,55,59,60,54,52,48,44,53,58,58,62,65
"2018/04/25","оч╢щ","PM10",32,37,41,40,34,34,40,44,46,39,39,33,42,43,48,45,50,53,59,60,60,59,60,63
"2018/04/25","оч╢щ","SO2",4.9,4,3.8,4.9,6.5,5,5.4,3.9,3,3,3.1,3.3,3.3,3.3,3.2,3.9,3.6,5,9.9,7.1,4.8,5.4,6.8,4.7
"2018/04/26","оч╢щ","CO",0.32,0.28,0.27,0.26,0.26,0.29,0.35,0.52,0.55,0.46,0.41,0.39,0.38,0.37,0.43,0.46,0.55,0.52,0.63,0.74,0.73,0.66,0.53,0.54
"2018/04/26","оч╢щ","NOx",8.8,7.2,8.1,7.5,7.8,9.3,14,21,26,29,26,20,16,15,20,26,39,30,34,37,33,29,21,21
"2018/04/26","оч╢щ","O3",65,65,64,63,62,60,55,50,52,54,57,61,70,80,72,59,39,39,33,25,24,26,30,29
"2018/04/26","оч╢щ","PM10",63,62,52,52,45,51,45,48,45,45,44,44,43,35,38,42,47,45,46,47,50,52,54,49
"2018/04/26","оч╢щ","SO2",7.1,4.3,5.1,5.8,4.3,4.9,4.9,4,3.1,3.1,3.8,4.8,4.8,4.2,6.1,8.4,11,11,8.6,10,12,16,9.6,12
"2018/04/27","оч╢щ","CO",0.52,0.53,0.45,0.44,0.38,0.68,0.7,0.95,1.17,0.94,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/04/27","оч╢щ","NOx",22,20,16,16,15,41,39,46,55,59,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/04/27","оч╢щ","O3",28,26,25,22,20,3.8,7,15,22,27,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/04/27","оч╢щ","PM10",39,35,44,53,54,53,53,59,59,75,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/04/27","оч╢щ","SO2",4.5,11,8,13,5,19,16,31,17,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/04/30","оч╢щ","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.53,NA,0.36,0.36,0.36,0.38,0.4,0.47,0.56,0.72,1.07,1.21,1
"2018/04/30","оч╢щ","NOx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,12,13,14,15,19,28,46,56,52
"2018/04/30","оч╢щ","O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,73,NA,43,38,35,34,32,25,19,7,2.4,2.6
"2018/04/30","оч╢щ","PM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,66,58,53,53,50,47,50,59,65,71
"2018/04/30","оч╢щ","SO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,6.1,NA,4.1,4,3.6,3.6,4,4,4.3,6.3,10,15,14
"2018/05/01","оч╢щ","CO",0.81,0.88,0.71,0.55,0.56,0.72,1.04,0.97,0.62,0.46,0.36,0.37,0.32,0.29,0.26,0.29,0.3,0.36,0.42,0.37,0.34,0.39,0.42,0.57
"2018/05/01","оч╢щ","NOx",43,44,38,28,27,39,57,52,26,20,13,12,9,8.1,8,9.9,12,14,16,13,14,15,18,25
