"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","³Á¼d","CO",0.41,0.39,0.4,0.3,0.2,0.23,0.34,0.79,0.55,0.5,0.39,0.34,0.21,0.21,0.24,0.25,0.25,0.31,0.23,0.22,0.24,0.24,0.37,0.61
"2018/01/08","³Á¼d","NOx",22,20,20,15,13,14,16,39,29,19,15,13,9.4,11,12,12,10,12,7.6,6.8,7.1,8.3,6,5.7
"2018/01/08","³Á¼d","O3",4.2,2.7,2.1,7.4,10,7,4.5,3.1,4.7,14,18,20,23,21,21,23,25,23,27,26,24,20,22,18
"2018/01/08","³Á¼d","PM10",47,43,47,46,52,63,61,79,76,71,58,43,30,19,19,33,17,22,17,10,11,26,25,15
"2018/01/08","³Á¼d","SO2",1.1,1.5,1.7,1.8,2.4,1.8,1.6,2.2,2.1,2.9,2.4,2.1,1.6,1.1,1.2,1.3,1.1,1.1,1.1,1.1,1.1,1.1,1.2,0.6
"2018/01/09","³Á¼d","CO",0.66,0.6,0.66,0.64,0.7,0.61,0.5,0.57,0.71,0.44,0.43,0.46,0.47,0.43,0.47,0.57,0.46,0.6,0.53,0.57,0.46,0.31,0.33,0.27
"2018/01/09","³Á¼d","NOx",9.7,11,14,10,16,14,9.6,17,25,10,14,15,21,17,18,27,14,20,21,22,19,9.7,11,9.4
"2018/01/09","³Á¼d","O3",14,13,11,13,8,12,22,19,14,30,28,27,22,27,25,19,29,25,22,19,23,33,31,32
"2018/01/09","³Á¼d","PM10",22,17,12,18,22,25,21,24,23,34,42,43,47,50,55,60,61,62,58,58,58,45,41,32
"2018/01/09","³Á¼d","SO2",1.9,1.1,1.5,1.5,3.1,3.1,1.7,3.2,5.2,1.7,2.3,3,5.3,3.1,3.3,5.1,2,2.9,3.9,4.5,3.6,1.9,3.4,3.6
"2018/01/10","³Á¼d","CO",0.24,0.31,0.33,0.37,0.33,0.49,0.44,0.51,0.36,0.34,0.31,0.29,NA,0.25,0.21,0.22,0.21,0.31,0.35,0.26,0.26,0.24,0.21,0.18
"2018/01/10","³Á¼d","NOx",8.3,10,9.2,10,9.3,11,16,22,13,12,9,11,NA,8.1,7.8,7.5,8.9,19,21,15,15,13,8.8,5.7
