"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","µæ¼d","CO",0.48,0.39,0.26,0.18,0.23,0.34,0.51,1.08,1.76,1.6,1.79,1.3,0.67,0.56,0.55,0.71,0.66,0.8,0.98,0.83,0.79,0.8,0.71,0.6
"2018/01/08","µæ¼d","NOx",25,24,15,11,12,16,29,67,99,102,113,102,54,45,42,65,51,26,38,27,26,26,21,12
"2018/01/08","µæ¼d","O3",14,14,22,25,21,15,6.1,2.7,2.9,2.6,3.1,3.7,8.9,12,11,6.2,6.5,12,8.5,10,11,11,13,20
"2018/01/08","µæ¼d","PM10",11,15,13,9,8,7,9,12,16,23,26,27,23,15,17,25,27,18,11,5,3,8,7,11
"2018/01/08","µæ¼d","SO2",0.8,0.9,0.9,1.1,0.9,0.9,1,1.9,3,3.3,3.2,3.9,2.8,2.6,2.7,3.2,2.2,1.4,1.6,1.2,1,0.9,1,0.8
"2018/01/09","µæ¼d","CO",0.58,0.55,0.48,0.46,0.46,0.47,0.51,0.78,0.75,0.86,0.75,0.75,0.63,0.53,0.51,0.51,0.57,0.68,0.79,0.67,0.83,0.73,0.72,0.61
"2018/01/09","µæ¼d","NOx",11,7.4,5,4.4,5.1,9.2,18,32,27,42,35,41,21,13,14,17,19,30,31,27,44,37,36,28
"2018/01/09","µæ¼d","O3",20,21,29,36,36,31,23,16,22,15,19,18,27,33,34,24,33,18,15,16,6.2,10,11,15
"2018/01/09","µæ¼d","PM10",18,18,20,26,27,24,21,23,29,30,30,38,46,46,47,47,44,41,42,38,35,38,38,39
"2018/01/09","µæ¼d","SO2",0.7,1,1,1.3,1.2,1.2,1.2,1.4,1.5,1.8,2.3,2.9,2.2,2.2,2.2,2.1,2,1.8,1.6,1.5,1.7,1.8,2.6,2.8
"2018/01/10","µæ¼d","CO",0.47,0.37,0.32,0.32,0.31,0.4,0.58,1.33,1.37,0.75,0.31,0.27,0.24,0.22,0.23,0.25,0.33,0.5,0.54,0.54,0.7,0.76,0.84,0.9
"2018/01/10","µæ¼d","NOx",15,10,8.5,9.8,11,17,37,90,80,48,15,13,11,10,12,14,18,27,27,28,42,51,50,63
"2018/01/10","µæ¼d","O3",27,32,35,33,29,21,5.9,4.3,7.9,24,39,43,45,47,47,46,41,31,30,30,16,7.8,12,4.7
"2018/01/10","µæ¼d","PM10",40,32,26,25,21,21,26,34,35,39,41,34,33,32,31,26,21,26,29,33,37,39,36,34
"2018/01/10","µæ¼d","SO2",1.4,1.3,1.3,1.5,1.3,1.5,2.3,2.9,3.2,3.4,2.5,2.1,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,2,2.2,2,2.5
"2018/01/11","µæ¼d","CO",0.76,0.79,0.7,0.62,0.62,0.56,0.75,1.21,1.14,0.59,0.36,NA,NA,NA,NA,NA,NA,0.42,0.4,0.39,0.41,0.42,0.41,0.36
"2018/01/11","µæ¼d","NOx",55,58,55,47,50,43,74,83,72,47,NA,NA,NA,NA,NA,NA,NA,20,16,17,22,22,22,19
"2018/01/11","µæ¼d","O3",3.2,2.6,4.1,4.6,3.2,5.6,3.4,5.3,9.5,21,25,NA,NA,42,45,NA,40,37,40,37,33,31,28,29
"2018/01/11","µæ¼d","PM10",36,38,39,40,41,37,37,42,43,47,49,NA,56,53,51,51,50,50,45,40,37,35,34,30
"2018/01/11","µæ¼d","SO2",2.4,2.3,2.5,2.3,2.5,2.1,2.6,2.8,3.2,2.9,NA,1.8,1.7,NA,NA,NA,NA,2,1.9,1.8,1.9,1.7,1.7,1.6
"2018/01/12","µæ¼d","CO",NA,0.4,0.49,0.46,0.41,0.43,0.54,1.28,1.19,0.4,0.37,0.34,0.35,0.35,0.35,0.4,0.43,0.49,0.54,0.51,0.45,0.48,0.48,0.43
"2018/01/12","µæ¼d","NOx",NA,21,34,46,37,39,47,122,77,24,NA,NA,15,16,15,21,21,23,27,26,21,27,27,25
"2018/01/12","µæ¼d","O3",32,24,9.6,3.8,5,NA,5.3,3.5,11,28,32,36,39,39,41,37,36,32,25,22,23,18,18,18
