"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","¼é¦{","CO",0.5,0.54,0.56,0.51,0.46,0.45,0.54,0.52,0.43,0.33,0.24,0.16,0.16,0.15,0.17,0.17,0.23,0.25,0.25,0.33,0.34,0.24,0.23,0.23
"2018/01/08","¼é¦{","NOx",13,13,12,12,12,12,13,15,15,13,8.3,4.1,4.6,5.3,7,6.6,9.8,10,9.9,14,15,8.2,6.4,6.8
"2018/01/08","¼é¦{","O3",13,15,15,17,12,9.8,9.4,7.4,8.6,18,33,32,33,33,34,31,23,22,21,14,11,19,20,20
"2018/01/08","¼é¦{","PM10",79,71,83,82,80,72,74,74,70,63,59,54,47,42,40,43,51,40,37,30,34,35,24,21
"2018/01/08","¼é¦{","SO2",2.6,3,3,3.3,2.5,2.3,2.3,2.5,2.6,3.4,7.6,2.9,1.8,2,2.2,2.2,1.9,1.8,1.8,2,1.8,1.8,1.8,1.8
"2018/01/09","¼é¦{","CO",0.23,0.21,0.2,0.23,0.29,0.37,0.39,0.36,0.4,0.44,0.64,0.6,0.57,0.54,0.55,0.44,0.46,0.68,0.64,0.63,0.63,0.62,0.59,0.56
"2018/01/09","¼é¦{","NOx",7.1,7.9,7.5,8.1,7.6,8,8.4,8.8,16,21,32,25,24,NA,23,17,17,42,36,27,27,28,30,23
"2018/01/09","¼é¦{","O3",17,15,16,19,20,18,17,16,12,15,7.9,13,15,13,11,13,12,1.5,2,1.8,1.7,1.6,1.5,2.4
"2018/01/09","¼é¦{","PM10",12,13,10,13,20,18,12,12,23,29,35,30,39,37,29,22,16,39,45,47,32,28,35,42
"2018/01/09","¼é¦{","SO2",1.6,1.9,1.9,2,1.8,1.7,1.7,1.6,1.8,2.5,3.3,2.5,2.4,2.5,2.2,1.8,1.7,2,2,1.9,1.9,1.9,2.1,1.8
"2018/01/10","¼é¦{","CO",0.55,0.55,0.55,0.51,0.47,0.43,0.44,0.5,0.51,0.52,0.52,0.49,0.45,0.43,0.39,0.37,0.34,0.32,0.36,0.41,0.46,0.36,0.38,0.37
"2018/01/10","¼é¦{","NOx",20,19,18,15,13,11,11,17,NA,24,21,18,16,17,12,12,11,8.9,13,17,22,15,16,19
"2018/01/10","¼é¦{","O3",3.5,4,3.7,6.7,9.5,12,9.2,6.6,5.8,6.2,8.9,12,24,32,43,46,38,28,22,26,25,28,24,18
"2018/01/10","¼é¦{","PM10",41,35,24,28,36,47,38,37,39,55,50,48,44,51,54,58,49,44,37,57,71,80,82,78
"2018/01/10","¼é¦{","SO2",2,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.6,1.5,1.5,1.5,1.9,2.1,2.4,2.2,1.9,1.3,1.2,2,2.5,2,2.1,2.3
"2018/01/11","¼é¦{","CO",0.36,0.36,0.37,0.35,0.34,0.34,0.35,0.42,0.41,0.41,0.42,0.51,0.47,0.44,0.44,0.42,0.38,0.4,0.45,0.5,0.52,0.47,0.39,0.34
"2018/01/11","¼é¦{","NOx",20,19,17,15,14,13,14,20,22,23,21,25,22,20,21,23,18,19,23,26,27,23,19,14
"2018/01/11","¼é¦{","O3",15,13,12,13,12,13,12,9.7,11,17,26,29,35,43,49,43,36,33,25,15,13,19,22,24
"2018/01/11","¼é¦{","PM10",83,72,81,74,74,70,64,55,44,54,61,68,61,59,64,74,77,75,78,78,80,79,89,90
"2018/01/11","¼é¦{","SO2",2.8,1.8,1.5,1.4,1.3,1.4,1.5,1.6,2.3,5.4,6.2,6.4,4.8,4.3,4.2,7.1,2.5,2.3,2.3,2,1.7,2.4,2.1,1.8
"2018/01/12","¼é¦{","CO",0.33,0.31,0.31,0.31,0.31,0.31,0.31,0.33,0.41,0.46,0.45,NA,0.3,0.34,0.38,0.32,0.29,0.24,0.24,0.35,0.47,0.46,0.49,0.41
"2018/01/12","¼é¦{","NOx",14,14,14,13,13,12,12,15,22,24,23,NA,12,13,17,14,14,11,12,19,29,26,28,21
"2018/01/12","¼é¦{","O3",23,21,20,19,19,18,16,15,16,22,36,NA,50,60,75,71,65,46,36,27,19,21,11,10
"2018/01/12","¼é¦{","PM10",85,78,75,80,77,77,125,125,124,73,77,NA,69,80,85,86,83,68,63,60,84,98,108,96
"2018/01/12","¼é¦{","SO2",1.4,1.6,1.6,1.5,1.4,1.4,1.4,1.6,1.9,2.1,2.6,NA,1.9,2.4,3.8,3.4,2.7,1.3,1.1,1.5,2.2,1.9,1.7,1.3
"2018/01/13","¼é¦{","CO",0.41,0.48,0.49,0.44,0.4,0.4,0.42,0.43,0.44,0.39,0.41,0.41,0.32,0.29,0.39,0.47,0.38,0.36,0.39,0.44,0.37,0.35,0.34,0.33
"2018/01/13","¼é¦{","NOx",20,23,22,18,13,12,13,15,18,15,13,12,9.6,9.1,16,25,17,17,25,25,15,11,11,10
"2018/01/13","¼é¦{","O3",6.8,3,2.8,3.4,6.7,4.9,3.5,5.8,12,24,45,54,62,66,73,69,69,61,44,31,34,31,27,24
"2018/01/13","¼é¦{","PM10",86,75,78,82,85,80,73,72,70,72,69,40,40,57,65,81,85,83,72,81,82,81,72,68
"2018/01/13","¼é¦{","SO2",1.3,2,1.8,1.7,1.6,1.6,1.6,1.9,3.1,2.5,5.3,5,3.4,3,5.5,7.9,5.2,4.4,4.2,3.1,2.1,1.8,1.8,2.1
"2018/01/14","¼é¦{","CO",0.36,0.37,0.39,0.4,0.37,0.33,0.33,0.39,0.39,0.33,0.28,0.27,0.28,0.27,0.3,0.36,0.36,0.44,0.49,0.5,0.5,0.4,0.37,0.36
"2018/01/14","¼é¦{","NOx",12,12,12,15,11,9.6,10,12,12,10,6.2,6.2,7.4,7.6,9,13,15,20,24,25,16,12,10,10
"2018/01/14","¼é¦{","O3",14,15,15,7.3,6.8,9.2,10,9,21,38,56,61,64,70,81,80,74,65,49,34,32,34,28,24
"2018/01/14","¼é¦{","PM10",53,43,29,40,40,48,38,34,23,30,45,60,53,45,48,70,83,92,80,99,127,133,115,80
"2018/01/14","¼é¦{","SO2",1.7,1.6,1.8,2.1,1.8,1.6,1.6,1.8,2.3,2.5,2.7,2.7,3.2,3.4,3.3,3.6,3.9,4.9,4.6,3.4,2.1,2,1.8,1.8
"2018/01/15","¼é¦{","CO",0.37,0.36,0.39,0.38,0.34,0.32,0.31,0.46,0.46,0.44,0.37,0.28,0.29,0.41,0.54,0.45,0.37,0.46,0.43,0.47,0.4,0.38,0.44,0.47
"2018/01/15","¼é¦{","NOx",11,11,15,13,12,11,11,21,20,20,18,14,12,18,27,22,19,21,21,16,13,12,16,17
"2018/01/15","¼é¦{","O3",16,16,7.6,6.6,6.9,7.3,9,5.8,15,29,40,47,64,85,117,99,77,62,53,57,61,59,38,29
"2018/01/15","¼é¦{","PM10",72,61,46,35,28,31,31,37,41,44,46,36,40,54,92,109,101,93,99,107,89,69,58,63
"2018/01/15","¼é¦{","SO2",1.7,1.3,1.4,1.3,1.4,1.4,1.4,1.7,1.9,2.1,2,2.2,2.4,4.3,6.6,6.2,5.3,4.4,3,2.4,2.2,2.5,2.1,1.9
"2018/01/16","¼é¦{","CO",0.51,0.47,0.45,0.42,0.41,0.4,0.41,0.47,0.42,0.33,0.32,0.37,0.3,0.27,0.22,0.21,0.3,0.42,0.41,0.46,0.41,0.35,0.28,0.27
"2018/01/16","¼é¦{","NOx",17,17,15,15,15,15,14,21,22,17,16,17,13,11,8.5,9.4,19,21,23,24,21,15,12,11
"2018/01/16","¼é¦{","O3",29,16,17,14,13,7.4,7.8,6.5,14,28,41,63,73,73,65,66,67,73,61,49,37,37,35,31
"2018/01/16","¼é¦{","PM10",68,70,70,58,57,49,55,54,50,39,39,50,63,67,58,49,44,71,100,125,123,106,76,47
"2018/01/16","¼é¦{","SO2",1.8,1.1,1,0.9,0.9,0.8,0.9,1.4,2.1,1.8,2,2,1.8,1.6,1.2,1.2,1.6,2.9,3.6,2.8,1.7,1.4,1.2,1.1
"2018/01/17","¼é¦{","CO",0.27,0.29,0.35,0.29,0.27,0.26,0.2,0.27,0.3,0.28,0.21,0.16,0.16,0.22,0.16,0.19,0.25,0.32,0.5,0.61,0.63,0.74,0.66,0.51
"2018/01/17","¼é¦{","NOx",12,13,15,12,11,12,6.9,11,20,27,12,7.2,7.1,14,8.6,11,14,17,31,36,35,36,36,24
"2018/01/17","¼é¦{","O3",29,23,16,25,22,17,32,24,18,20,32,36,38,41,36,34,33,24,13,13,12,5.2,1.7,9.7
"2018/01/17","¼é¦{","PM10",35,33,39,46,50,43,27,19,25,33,34,25,18,25,27,40,36,45,52,68,88,103,108,104
"2018/01/17","¼é¦{","SO2",1,2.1,2.2,2.2,2.1,2,1.9,2,5.1,13,4.3,2.1,2.2,2.8,2.3,2.6,3.3,4,4.4,3.9,3.2,3.2,2.6,2.8
"2018/01/18","¼é¦{","CO",0.5,0.52,0.45,0.33,0.25,0.22,0.22,0.4,0.65,0.47,0.39,0.38,0.39,NA,0.46,0.48,0.43,0.44,0.47,0.48,0.48,0.48,0.44,0.44
"2018/01/18","¼é¦{","NOx",21,24,25,15,11,9.1,10,21,43,27,16,12,14,NA,16,16,15,17,19,20,20,16,14,13
"2018/01/18","¼é¦{","O3",7.2,2.4,1.1,4.4,5.5,7.7,5.4,2.8,5,16,36,57,63,NA,80,86,82,71,58,49,45,37,35,31
"2018/01/18","¼é¦{","PM10",91,99,95,89,69,55,42,41,68,96,108,88,88,116,143,148,133,131,139,144,152,150,149,139
"2018/01/18","¼é¦{","SO2",2.5,2.2,8.2,2.9,2.1,1.9,2.2,2.6,7.1,4.3,4.5,4.6,4.9,NA,4.8,4.8,4.1,4,3.9,3.8,3.4,2.4,2.1,2.1
"2018/01/19","¼é¦{","CO",0.43,0.44,0.44,0.48,0.49,0.51,0.49,0.51,0.66,0.64,0.56,0.38,0.42,0.41,0.51,0.5,0.38,0.36,0.42,0.46,0.46,0.46,0.43,0.45
"2018/01/19","¼é¦{","NOx",11,10,13,20,21,22,23,21,26,26,16,11,13,12,16,20,13,11,15,15,16,16,13,11
"2018/01/19","¼é¦{","O3",28,23,15,5.5,2.3,2,1.4,3,9.3,29,56,61,82,102,92,71,67,63,54,47,37,27,22,22
"2018/01/19","¼é¦{","PM10",131,123,114,114,114,110,100,84,78,91,124,129,130,116,128,124,110,95,95,115,121,115,101,101
"2018/01/19","¼é¦{","SO2",2.2,1.5,1.3,1.5,1.5,1.6,1.4,1.4,2.1,3.2,5.2,3.8,4.3,4.4,6.9,7.3,3.3,2.5,3,4,2.8,2,1.2,1.5
"2018/01/20","¼é¦{","CO",0.42,0.39,0.37,0.34,0.35,0.36,0.68,0.62,0.53,0.55,0.59,0.55,0.43,0.4,0.43,0.36,0.39,0.4,0.42,0.4,0.53,0.55,0.66,0.54
