"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","ªO¾ô","CO",0.67,0.71,0.45,0.26,0.29,0.37,0.65,1.25,1.86,2.05,1.71,1.02,0.57,0.49,0.49,0.54,0.86,0.9,1.05,0.91,0.79,0.8,0.8,0.68
"2018/01/08","ªO¾ô","NOx",30,36,21,10,12,18,48,67,92,115,106,75,40,33,38,38,58,32,35,33,30,28,25,13
"2018/01/08","ªO¾ô","O3",8.6,7.3,15,24,20,11,3.3,2.3,2.3,2.3,2.6,4.3,12,14,11,10,4,9,7,8.4,10,11,11,18
"2018/01/08","ªO¾ô","PM10",12,16,15,11,6,4,9,11,15,21,23,21,16,11,16,17,20,21,16,11,9,10,7,9
"2018/01/08","ªO¾ô","SO2",2.2,1.4,1.3,1.1,1.1,1.1,1.6,2.4,3,3.4,3.5,3.6,2.5,2.5,3.2,3.1,3.3,1.7,1.4,1.3,1,1.1,1.1,0.9
"2018/01/09","ªO¾ô","CO",0.64,0.6,0.5,0.48,0.48,0.5,0.52,0.78,0.85,0.62,0.6,0.64,0.62,0.55,NA,0.55,0.69,0.74,0.87,0.83,0.73,0.68,0.57,0.44
"2018/01/09","ªO¾ô","NOx",11,9.4,6.5,4.8,5.2,8.1,20,34,40,28,32,27,24,18,NA,20,34,35,42,41,36,33,24,14
"2018/01/09","ªO¾ô","O3",20,20,29,36,37,31,24,13,14,20,19,23,26,33,NA,27,17,13,11,10,12,13,20,30
"2018/01/09","ªO¾ô","PM10",11,8,12,24,27,23,22,25,32,32,32,36,45,NA,50,48,52,54,50,45,50,49,37,35
"2018/01/09","ªO¾ô","SO2",0.9,1.7,1.7,2.1,2,1.6,1.8,1.8,2.3,2.3,4,3.1,2.7,2.5,NA,2.4,2.4,2.4,2.3,2.2,2.2,3.2,4.1,2.8
"2018/01/10","ªO¾ô","CO",0.39,0.34,0.34,0.36,0.44,0.48,0.63,1.23,1.7,0.96,0.39,0.35,0.31,0.29,0.29,0.28,0.37,0.51,0.67,0.75,0.59,0.56,0.47,0.44
"2018/01/10","ªO¾ô","NOx",10,NA,NA,NA,NA,NA,34,67,98,NA,13,12,8.4,8.6,9.2,9.6,16,24,32,43,35,32,25,23
"2018/01/10","ªO¾ô","O3",35,37,34,28,22,12,4.6,4.1,5.4,20,39,42,46,48,48,48,41,34,27,16,17,16,19,18
"2018/01/10","ªO¾ô","PM10",32,30,32,28,26,36,43,37,40,49,44,36,33,31,28,30,32,33,35,34,34,30,26,24
"2018/01/10","ªO¾ô","SO2",2.1,1.2,1.1,1.1,1.4,2.9,4.2,2.4,3.8,2.9,2,1.7,1.5,1.4,1.4,1.5,1.5,1.7,1.7,1.6,1.6,1.6,1.5,1.2
"2018/01/11","ªO¾ô","CO",0.4,0.38,0.3,0.26,0.26,0.28,0.42,0.72,1.05,0.83,0.36,0.33,0.31,0.32,0.31,0.33,0.38,0.46,0.51,0.47,0.42,0.56,0.65,0.48
"2018/01/11","ªO¾ô","NOx",17,NA,NA,NA,NA,NA,32,49,NA,NA,19,16,15,18,15,18,20,23,24,25,22,34,41,28
"2018/01/11","ªO¾ô","O3",21,21,26,29,27,24,11,8,10,19,36,38,41,42,46,44,41,39,36,35,37,24,15,22
