"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","¤g«°","CO",0.53,0.54,0.44,0.3,0.26,0.39,0.53,1.17,1.82,2,1.2,0.75,0.45,0.33,0.36,0.39,0.51,0.82,0.9,0.79,0.71,0.72,0.73,0.68
"2018/01/08","¤g«°","NOx",31,30,24,15,13,21,38,55,78,107,87,67,41,29,37,41,42,38,26,21,16,17,17,14
"2018/01/08","¤g«°","O3",3,3,5.4,16,18,8.9,4.3,3,3.2,3.3,3.4,4.9,11,16,11,9.2,6.9,8.2,11,14,18,17,16,17
"2018/01/08","¤g«°","PM10",11,14,11,8,5,5,9,13,14,20,19,16,19,17,16,17,18,19,12,5,5,10,14,13
"2018/01/08","¤g«°","SO2",2.2,1.6,1.6,1.8,1.3,1.3,1.6,2.3,3.3,4.1,4.2,4.6,3.3,3.5,3.6,3.7,3.1,2.2,1.6,1.5,1.2,1.3,1.2,1.1
"2018/01/09","¤g«°","CO",0.63,0.59,0.54,0.5,0.5,0.52,0.55,0.68,0.61,0.54,NA,NA,0.54,0.51,0.51,0.53,0.58,0.64,0.64,0.57,0.51,0.5,0.46,0.35
"2018/01/09","¤g«°","NOx",12,7.6,6.9,5.3,5.6,7.8,24,26,20,25,NA,NA,18,12,16,19,28,28,27,21,16,18,17,10
"2018/01/09","¤g«°","O3",20,23,27,35,37,32,23,18,25,23,NA,16,25,33,33,31,21,19,18,22,26,25,26,36
"2018/01/09","¤g«°","PM10",11,13,18,21,28,31,28,26,27,37,NA,51,57,58,53,53,54,53,51,50,45,45,42,33
"2018/01/09","¤g«°","SO2",1.1,1.6,1.6,1.9,1.7,1.7,1.8,1.8,1.8,2.2,NA,NA,2.5,2.5,2.6,2.6,2.2,2.1,2,2.1,2.1,3.1,3.6,3.2
"2018/01/10","¤g«°","CO",0.32,0.35,0.35,0.33,0.33,0.4,0.5,1.32,1.3,1.06,0.48,0.38,0.35,0.3,0.29,0.31,0.33,0.42,0.57,0.46,0.43,0.46,0.41,0.38
"2018/01/10","¤g«°","NOx",6.2,6.3,8.9,9.2,11,24,44,103,92,66,20,15,12,11,11,13,16,24,32,25,22,20,17,15
"2018/01/10","¤g«°","O3",41,40,33,27,22,8.9,4.8,3.4,5.7,17,37,41,44,47,47,45,41,34,25,29,31,31,34,33
"2018/01/10","¤g«°","PM10",30,28,30,32,28,28,32,41,47,53,52,42,40,33,29,30,30,31,33,33,31,30,31,28
"2018/01/10","¤g«°","SO2",2.4,2,1.8,1.5,1.6,1.7,1.8,3.1,3.6,3.5,2.8,2.5,2.2,2.1,2.2,1.9,2,2.2,2.3,2.3,2.8,2.1,2.1,1.7
"2018/01/11","¤g«°","CO",0.35,0.27,0.25,0.23,0.24,0.29,0.62,1.01,0.64,0.64,0.38,0.33,0.34,0.3,0.29,0.3,0.33,0.41,0.49,0.5,0.54,0.4,0.36,0.3
"2018/01/11","¤g«°","NOx",13,9.2,7.6,7.1,7.4,11,50,79,28,37,20,14,13,11,12,12,14,16,21,23,28,21,16,13
"2018/01/11","¤g«°","O3",35,35,36,34,33,29,14,9.8,22,22,34,38,41,45,47,47,45,43,38,34,27,33,36,36
"2018/01/11","¤g«°","PM10",27,27,25,23,21,25,32,38,37,40,46,49,48,46,47,48,48,48,49,49,43,38,36,34
"2018/01/11","¤g«°","SO2",1.5,1.8,1.6,1.5,1.6,1.7,2.8,3,2.5,3.6,3.1,2.6,2.1,2.3,2.2,2.3,2.2,2.3,2.1,2.3,2.5,3.3,2.8,2.5
"2018/01/12","¤g«°","CO",0.25,0.23,0.25,0.3,0.25,0.41,0.4,0.67,0.49,0.33,0.31,0.32,0.35,0.33,0.34,0.36,0.36,0.47,0.59,0.48,0.46,0.45,0.45,0.32
"2018/01/12","¤g«°","NOx",12,8.5,14,26,20,44,29,30,23,17,12,13,13,11,12,13,13,18,28,26,21,19,21,14
"2018/01/12","¤g«°","O3",37,36,26,15,17,4.9,16,17,26,31,40,40,42,44,46,45,46,38,26,25,27,24,23,27
"2018/01/12","¤g«°","PM10",29,28,26,26,28,25,25,29,31,39,49,54,55,57,55,53,56,56,55,53,51,45,39,32
"2018/01/12","¤g«°","SO2",2.5,2.1,2,1.8,1.9,2.3,2.7,2.2,2.8,3.1,2.5,2.6,2.6,2.7,2.5,2.7,2.5,2.2,2.1,3.5,2.5,1.8,1.7,1.6
"2018/01/13","¤g«°","CO",0.28,0.22,0.21,0.2,0.2,0.21,0.25,0.27,0.26,0.29,0.29,0.27,0.25,0.25,NA,0.24,0.28,0.31,0.4,0.37,0.32,0.24,0.28,0.35
