"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","获","O3",4.3,15,17,19,16,13,10,6.6,5.8,11,23,18,17,18,16,17,17,20,13,11,26,26,19,17
"2018/01/08","获","PM10",70,63,61,60,55,49,46,46,65,79,83,82,64,58,39,52,54,47,38,36,39,33,21,19
"2018/01/08","获","SO2",5,3.6,3.5,3.8,4,4.1,2.8,2.7,3.1,3.9,6.9,12,5.2,4.3,3,1.8,1.4,0.7,1.3,2.2,0.8,0.6,2,2.1
"2018/01/09","获","CO",0.28,0.21,0.33,0.46,0.37,0.42,0.31,0.49,0.82,0.78,0.72,NA,NA,NA,0.78,0.75,0.77,0.78,0.77,0.69,0.71,0.81,0.69,0.6
"2018/01/09","获","NOx",16,11,13,18,13,13,8.5,18,40,NA,NA,NA,NA,NA,68,65,NA,47,47,39,36,47,39,28
"2018/01/09","获","O3",18,19,15,9.8,19,20,27,20,3.5,4.1,5.8,7.5,NA,NA,NA,NA,NA,3.2,2.7,2.7,2.7,1.9,2.6,4
"2018/01/09","获","PM10",16,20,22,28,34,27,22,19,22,25,26,33,37,37,41,NA,NA,NA,59,55,45,39,40,37
"2018/01/09","获","SO2",3.1,2.6,2.7,2.9,2.3,2.3,1.8,2.4,3.6,3.5,4.8,4.2,NA,NA,NA,NA,2.6,2.3,2.9,2.6,2.4,2.5,2.7,2
"2018/01/10","获","CO",0.58,0.48,0.43,0.33,0.29,0.3,0.35,0.58,0.62,0.5,0.48,0.45,0.51,NA,NA,0.51,0.55,NA,0.57,0.49,0.54,0.48,0.44,0.41
"2018/01/10","获","NOx",29,21,20,18,14,18,28,44,48,48,41,41,37,NA,NA,NA,NA,40,37,34,40,40,33,35
"2018/01/10","获","O3",4,9.1,11,17,20,14,6.7,3.9,6.5,NA,NA,NA,21,27,23,NA,NA,21,22,20,12,11,15,11
"2018/01/10","获","PM10",43,48,53,44,35,31,30,27,36,48,60,57,NA,NA,74,68,69,72,84,88,88,80,75,70
"2018/01/10","获","SO2",2.9,2.4,3,3.3,2.6,2.9,3.7,4.6,4.8,4.9,4.3,4.5,4,NA,NA,5.1,4.1,5,5.8,NA,4.9,4.8,3.4,4.3
"2018/01/11","获","CO",0.38,0.34,0.29,0.24,0.23,0.26,0.34,0.54,0.59,0.51,0.52,0.51,0.46,0.47,NA,0.44,0.46,0.56,0.62,0.43,0.41,0.41,0.36,0.35
"2018/01/11","获","NOx",31,30,25,18,18,17,22,36,47,39,48,64,47,37,NA,37,30,26,33,28,28,31,25,26
"2018/01/11","获","O3",12,11,16,22,22,22,14,9.5,NA,14,14,12,20,24,16,21,23,25,22,24,21,17,19,17
"2018/01/11","获","PM10",66,59,56,51,45,36,42,48,61,61,72,79,85,47,NA,53,83,85,73,76,83,82,72,67
"2018/01/11","获","SO2",3.7,4.2,4.4,3.5,3.4,2.8,2.6,3.3,5.4,3.4,5.4,7,5.9,4,NA,4.8,3.8,3.1,4,5.2,4.8,4.9,4.4,4.6
"2018/01/12","获","CO",0.33,0.33,0.31,0.28,0.27,0.28,0.34,0.57,0.67,0.49,0.4,0.46,0.58,0.51,0.53,0.49,0.57,0.76,0.59,0.6,0.66,0.64,0.58,0.52
"2018/01/12","获","NOx",24,24,21,20,21,16,26,46,55,43,26,22,25,25,33,27,30,38,37,38,48,47,45,40
"2018/01/12","获","O3",17,17,19,20,19,22,14,5.7,8.3,14,27,35,38,43,38,39,36,27,23,18,7.4,6.1,4.7,5.1
"2018/01/12","获","PM10",75,75,72,61,54,53,46,50,59,71,69,60,53,57,61,69,71,77,102,120,134,126,118,110
"2018/01/12","获","SO2",4,4.3,4.3,4.9,4.9,3.4,4,5.3,5.8,5.8,4.2,5.4,4.7,4.7,5.7,3.5,3.2,3.6,5.7,5.4,6,6.1,6.4,7.3
"2018/01/13","获","CO",0.5,0.5,0.49,0.47,0.47,0.49,0.57,1.03,0.94,0.92,0.73,0.54,0.52,0.48,0.44,0.42,0.45,0.54,0.65,0.68,0.59,0.64,0.6,0.51
"2018/01/13","获","NOx",40,38,34,32,32,36,39,63,68,94,45,31,21,18,15,15,16,19,24,32,30,41,36,24
"2018/01/13","获","O3",6.1,4.3,3.4,3.9,3.7,2.2,1.8,3.2,5.7,10,22,34,45,53,57,53,49,46,38,31,31,15,14,19
"2018/01/13","获","PM10",105,102,95,86,80,86,91,99,102,120,118,116,96,94,79,77,70,68,72,74,76,72,76,83
"2018/01/13","获","SO2",8.2,7.6,4.7,7.4,8,9.3,12,8.9,7.2,14,8,5.2,3.2,3.9,3.1,2.4,2.4,2.5,2.5,2.8,3.2,4.4,3.9,3.5
"2018/01/14","获","CO",0.6,0.56,0.61,0.38,0.39,0.4,0.53,0.77,0.69,0.47,0.42,0.41,0.41,0.43,0.39,0.4,0.43,0.5,0.52,0.47,0.5,0.5,0.47,0.4
"2018/01/14","获","NOx",29,28,29,15,14,14,20,28,24,20,19,19,15,16,16,16,20,25,29,31,35,35,31,30
