"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/08","窾地","NOx",52,44,29,14,15,17,35,78,117,135,97,96,53,41,64,66,85,49,40,39,32,28,26,21
"2018/01/08","窾地","O3",2.3,3.9,9.5,21,17,12,3.4,0.5,NA,0.6,1.3,1.1,5.6,10,4.3,3.6,1,2.5,3.3,4.1,7.3,8,8.1,8.6
"2018/01/08","窾地","PM10",11,16,18,22,19,17,14,9,12,17,21,20,23,26,31,26,26,17,10,8,8,15,16,14
"2018/01/08","窾地","SO2",2.8,1.2,1.1,1.1,1,0.8,0.9,2,3.4,5,5,5.1,4.8,4.4,3.9,4.1,4.1,2.9,2.1,2.1,1.6,1.4,1.1,1
"2018/01/09","窾地","CO",0.65,0.62,0.58,0.54,0.54,0.51,0.55,0.61,0.79,0.76,0.65,0.74,0.58,0.56,NA,NA,NA,0.7,0.69,0.8,0.76,0.72,0.73,0.6
"2018/01/09","窾地","NOx",16,11,11,9.8,8.7,8.6,21,34,44,44,36,44,28,24,NA,NA,NA,41,43,54,54,48,43,32
"2018/01/09","窾地","O3",13,16,18,24,26,28,18,12,9.5,10,14,12,21,NA,NA,NA,17,9.7,9.4,3.8,3.6,5.6,6.4,10
"2018/01/09","窾地","PM10",7,10,11,24,16,23,11,18,14,32,34,33,39,40,NA,49,50,46,37,27,34,34,31,NA
"2018/01/09","窾地","SO2",-0.4,1.6,1.5,1.6,1.7,1.5,1.3,1.6,2,2,3.1,3.3,2.7,2.6,NA,2.1,2.1,2,2.1,2.5,2.7,3,3.7,3.6
"2018/01/10","窾地","CO",0.48,0.37,0.31,0.28,0.26,0.3,0.36,0.69,1.09,0.98,0.55,0.44,0.36,0.33,0.31,0.31,0.37,0.41,0.54,0.57,0.66,0.67,0.78,0.69
"2018/01/10","窾地","NOx",18,8.8,6.6,6.6,6.7,10,20,47,58,50,32,25,18,18,15,21,27,30,39,42,49,48,52,50
"2018/01/10","窾地","O3",23,28,32,32,30,24,18,5.2,6.3,14,24,28,34,36,38,35,30,28,20,16,8.2,8.2,4.2,4
"2018/01/10","窾地","PM10",25,NA,28,23,26,17,13,17,17,29,34,45,41,33,23,24,26,36,32,33,33,39,44,37
"2018/01/10","窾地","SO2",2.1,0.9,0.7,0.4,0.5,0.5,0.5,0.8,1.7,2.4,2.6,2.1,1.6,1.3,1.3,1.1,1.1,1.2,1.2,1.3,1.9,1.6,1.8,1.7
"2018/01/11","窾地","CO",0.49,0.51,0.45,0.37,0.33,0.32,0.46,0.67,1.13,0.57,0.39,0.36,0.37,0.35,0.36,0.39,0.39,0.46,0.49,0.41,0.42,0.45,0.42,0.46
"2018/01/11","窾地","NOx",28,22,22,16,14,14,35,49,89,47,27,22,23,21,23,25,26,32,31,27,27,31,28,30
"2018/01/11","窾地","O3",16,19,18,20,19,19,7.3,4.4,4.1,16,26,30,31,34,34,32,32,27,27,28,28,22,22,18
"2018/01/11","窾地","PM10",31,15,13,7,8,12,15,15,14,26,43,53,46,31,42,65,82,64,43,41,42,46,45,41
