"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/03/23","竹山","CO",0.39,0.35,0.35,0.33,0.35,0.41,0.5,0.49,0.37,0.31,0.3,0.32,0.35,0.28,0.24,0.24,0.28,0.32,0.45,0.57,0.4,0.49,0.42,0.37
"2018/03/23","竹山","NOx",19,14,14,11,13,17,20,20,12,8.7,7.2,7.5,9.8,8.7,6.2,6.9,9.9,12,20,31,18,24,21,19
"2018/03/23","竹山","O3",14,16,15,17,16,9.8,11,22,37,51,74,83,90,80,72,70,73,67,49,27,34,22,22,21
"2018/03/23","竹山","PM10",59,54,48,50,53,52,50,55,61,62,59,67,78,88,90,77,72,80,87,85,73,68,73,67
"2018/03/23","竹山","SO2",1.9,2.1,1.9,1.9,1.9,1.7,1.8,3.4,2.7,2,2.2,2.7,2.8,2.4,1.8,1.7,2.7,2.6,2.2,2.3,2.3,2.7,2,2.3
"2018/03/24","竹山","CO",0.33,0.32,0.31,0.3,0.3,0.39,0.56,0.62,0.45,0.31,0.29,0.29,0.28,0.3,0.34,0.36,0.37,0.4,0.58,0.59,0.68,0.51,0.47,0.47
"2018/03/24","竹山","NOx",17,16,13,13,13,17,24,22,19,13,7.7,8.8,9.2,10,11,12,13,16,21,25,28,19,17,18
"2018/03/24","竹山","O3",22,24,27,24,24,23,18,28,41,56,74,83,89,93,105,103,84,66,58,39,26,31,32,29
"2018/03/24","竹山","PM10",63,64,59,51,50,56,60,62,68,69,71,76,68,68,81,86,81,75,74,80,82,72,65,58
"2018/03/24","竹山","SO2",1.4,1.3,1.4,1.1,0.9,1.2,1.4,1.6,2.6,1.9,1.8,2.2,2.1,2.2,2.5,3.9,4.8,5.8,6.1,4.8,2.8,2.1,1.8,1.5
"2018/03/25","竹山","CO",0.4,0.35,0.38,0.36,0.34,0.4,0.48,0.47,0.48,0.43,0.35,0.38,0.34,0.29,0.31,0.3,0.3,0.31,0.31,0.36,0.36,0.4,0.36,0.31
"2018/03/25","竹山","NOx",15,13,15,13,16,19,23,19,13,10,8.3,11,11,11,11,11,12,11,12,12,11,16,15,11
"2018/03/25","竹山","O3",30,32,32,29,27,22,20,34,54,74,85,92,94,89,83,86,86,76,71,60,57,41,40,37
"2018/03/25","竹山","PM10",55,51,48,53,55,60,65,67,69,72,77,78,77,74,83,83,74,83,88,85,90,83,71,79
"2018/03/25","竹山","SO2",1.4,1.9,1.8,2.1,1.8,1.6,2,2,2.4,3,3.4,4.1,4.1,3.2,2.9,3.1,3.5,3.4,3,2.5,2.3,2.1,1.8,1.7
"2018/03/26","竹山","CO",0.32,0.26,0.25,0.26,0.24,0.29,0.42,0.44,0.33,0.24,0.28,0.26,0.26,0.26,0.27,0.28,0.39,0.27,0.29,0.3,0.44,0.4,0.39,0.35
"2018/03/26","竹山","NOx",12,15,15,14,13,14,21,20,15,8.2,10,8.3,9.7,11,12,12,21,13,17,17,26,23,22,19
"2018/03/26","竹山","O3",34,27,22,23,22,19,18,23,40,57,71,80,85,89,90,82,62,68,59,55,33,29,23,22
"2018/03/26","竹山","PM10",80,79,74,64,62,64,71,73,70,66,79,84,77,80,84,98,112,105,87,77,77,79,72,69
"2018/03/26","竹山","SO2",1.7,1.8,1.7,1.8,1.8,1.9,1.9,2.6,2.6,2.7,3.5,3.1,3.5,3.4,3.5,4.1,8.2,3.6,3.4,3.6,3.8,4,2.6,2.7
"2018/03/27","竹山","CO",0.31,0.34,0.36,0.35,0.33,0.35,0.5,0.48,0.38,0.33,0.33,0.35,0.33,0.34,NA,NA,0.32,0.31,0.35,0.43,0.54,0.37,0.34,0.34
"2018/03/27","竹山","NOx",17,14,14,15,13,14,22,21,18,10,7.8,8.6,8.5,10,11,10,11,11,15,21,23,16,14,16
"2018/03/27","竹山","O3",21,19,13,11,11,9.9,7,13,27,50,65,86,88,97,97,77,66,64,54,41,27,27,26,17
"2018/03/27","竹山","PM10",71,70,72,71,65,67,74,75,79,80,81,81,78,78,NA,92,88,89,89,84,82,75,60,51
"2018/03/27","竹山","SO2",2.4,1.1,1.1,1.5,1.2,1.3,1.2,1.8,1.9,1.7,2.6,3,2.4,2.3,2.4,2.5,2.8,2.1,1.8,2.2,2.3,1.7,1.8,1.4
"2018/03/28","竹山","CO",0.3,0.27,0.27,0.24,0.26,0.29,0.46,0.42,0.33,0.25,0.25,0.3,0.33,0.28,0.24,0.24,0.24,0.27,0.29,0.27,0.3,0.28,0.28,0.24
"2018/03/28","竹山","NOx",12,13,13,11,14,14,25,21,20,12,6.8,7.7,8.7,8.8,8,8.4,8.9,11,14,15,16,15,12,11
"2018/03/28","竹山","O3",21,21,16,26,15,16,12,22,26,45,63,78,96,93,88,84,76,64,53,44,38,32,30,28
"2018/03/28","竹山","PM10",47,46,45,39,34,32,35,45,48,43,51,63,68,71,67,61,57,63,75,74,69,62,63,62
"2018/03/28","竹山","SO2",0.4,2.4,2.1,3.6,2.2,2,2.1,3.8,2.8,2.3,3,3.4,3.4,3.6,3.2,3.2,3.1,3,2.9,2.7,2.1,2.3,2.5,2
"2018/03/29","竹山","CO",0.26,0.24,0.24,0.25,0.26,0.27,0.49,0.35,0.33,0.27,0.29,0.32,0.3,0.24,0.2,0.19,0.2,0.22,0.26,0.25,0.26,0.3,0.24,0.27
"2018/03/29","竹山","NOx",13,12,15,15,13,13,25,16,14,7.7,7.7,7.8,8.3,7.5,7.5,7.8,7.7,8.2,10,12,12,16,11,15
"2018/03/29","竹山","O3",20,23,15,12,16,18,8.3,23,35,49,61,74,83,81,81,75,71,70,65,54,41,30,32,20
"2018/03/29","竹山","PM10",54,51,51,51,47,53,62,62,53,58,74,85,87,86,82,73,74,83,90,92,79,70,74,72
"2018/03/29","竹山","SO2",2.8,2,2.2,1.9,2,1.8,1.9,2.6,3.3,2.8,3.1,2.9,2.8,3,3.2,3.2,3.2,3.4,3.2,2.6,2.3,2.6,2.2,2.4
"2018/03/30","竹山","CO",0.23,0.24,0.25,0.23,0.23,0.27,0.43,0.34,0.42,0.3,0.26,0.28,0.26,0.27,0.33,0.33,0.29,0.29,0.33,0.36,0.29,0.27,0.38,0.34
"2018/03/30","竹山","NOx",11,12,14,12,13,15,22,16,17,9.6,7.4,8.3,7.9,8.3,11,11,8.7,9.5,16,18,14,13,18,18
"2018/03/30","竹山","O3",24,19,13,17,16,10,8.2,22,32,55,66,82,84,85,102,98,87,77,59,49,48,43,30,25
"2018/03/30","竹山","PM10",69,70,64,55,54,54,58,60,61,62,62,67,66,63,69,79,75,65,62,63,64,61,59,56
"2018/03/30","竹山","SO2",1.6,0.5,0.4,0.1,0.1,0.3,0.3,0.9,1.1,1.2,1.6,4.8,1.9,1.3,2.2,2.4,1.3,1.3,1.5,0.7,0.4,0.3,0.6,0.2
"2018/03/31","竹山","CO",0.3,0.31,0.28,0.31,0.3,0.38,0.58,0.49,0.39,0.31,0.29,0.33,0.32,0.29,0.28,0.28,0.34,0.38,0.44,0.41,0.38,0.34,0.34,0.28
"2018/03/31","竹山","NOx",15,15,12,12,13,14,26,19,16,8.8,5.4,7,7.4,8.2,8.2,8.4,10,18,16,17,17,16,12,10
"2018/03/31","竹山","O3",27,22,26,26,19,17,8.6,19,28,53,70,80,85,84,83,84,70,46,42,34,30,26,31,29
"2018/03/31","竹山","PM10",50,49,51,56,60,59,64,71,72,68,61,66,78,82,83,86,89,89,91,93,92,84,73,57
"2018/03/31","竹山","SO2",0.3,2.1,2,2,2,1.8,2.2,2.8,2.7,2.8,3.3,3.7,3.2,3.1,2.9,3.2,5.6,7.8,6.1,6,5.1,3.2,2.8,2
"2018/04/01","竹山","CO",0.3,0.25,0.25,0.25,0.24,0.26,0.42,0.35,0.35,0.28,0.25,0.24,0.23,0.23,0.24,0.26,0.25,0.27,0.3,0.35,0.35,0.32,0.26,0.22
"2018/04/01","竹山","NOx",12,14,12,11,9.9,12,18,16,14,8.8,6.3,5.3,6,7.1,7.1,7.2,6.8,7.5,9.2,11,13,13,9.1,9.2
"2018/04/01","竹山","O3",26,28,25,30,29,24,19,21,26,41,53,58,61,64,62,59,57,58,60,52,37,29,32,26
"2018/04/01","竹山","PM10",51,54,52,50,53,56,57,55,54,57,50,42,47,54,57,51,50,63,83,95,95,87,69,53
"2018/04/01","竹山","SO2",3.6,1.5,1.3,1.2,0.9,0.7,1,1.5,1.6,1.7,1.7,1.6,1.3,1.6,1.3,1.4,1.2,1.9,2,1.6,1.2,1.1,0.7,0.6
"2018/04/02","竹山","CO",0.21,0.15,0.14,0.16,0.17,0.15,0.2,0.21,0.18,0.16,0.18,NA,0.13,0.11,0.1,0.11,0.1,0.1,0.15,0.16,0.19,0.2,0.16,0.14
"2018/04/02","竹山","NOx",9.8,12,9.2,11,12,12,13,12,7.9,6.9,7.6,NA,5.9,5.2,5.8,7.3,7.5,8,10,11,14,15,12,14
"2018/04/02","竹山","O3",21,20,27,22,17,13,17,26,41,53,NA,55,67,66,70,66,60,55,43,32,27,21,20,18
"2018/04/02","竹山","PM10",45,39,33,42,48,43,46,50,58,66,NA,80,71,61,71,86,84,76,74,72,64,58,62,60
"2018/04/02","竹山","SO2",0.8,1.2,1.2,1.1,0.9,1,1.1,1.3,1.7,1.8,2,NA,NA,NA,2.3,2.4,2.1,1.8,1.4,1.1,1,0.7,0.8,0.2
"2018/04/03","竹山","CO",0.11,0.18,0.19,0.18,0.17,0.16,0.31,0.25,0.17,0.17,0.19,0.2,0.18,0.18,0.18,0.18,0.16,0.19,0.22,0.25,0.33,0.35,0.26,0.25
"2018/04/03","竹山","NOx",11,10,10,11,12,12,22,14,6.8,7.3,7.7,7.9,7.6,6.9,6.9,7.1,6.4,6.7,9,12,16,16,14,14
"2018/04/03","竹山","O3",21,21,16,14,13,12,7.3,18,33,40,51,61,67,58,46,45,45,44,38,30,17,13,9.6,7.9
"2018/04/03","竹山","PM10",54,52,50,50,45,40,40,39,43,51,64,70,67,69,68,64,65,71,74,80,77,72,69,65
"2018/04/03","竹山","SO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/04/04","竹山","CO",0.26,0.24,0.24,0.24,0.22,0.28,0.28,0.28,0.3,0.28,0.33,0.32,0.32,0.3,0.25,0.25,0.25,0.23,0.29,0.53,0.46,0.48,0.36,0.39
"2018/04/04","竹山","NOx",17,12,12,13,11,15,15,12,11,13,11,6.8,6.8,7.7,6.9,6.8,7.5,9.1,11,24,21,23,16,18
"2018/04/04","竹山","O3",3.9,6.9,4.7,3.6,6,2.7,4.2,11,18,27,44,67,79,76,74,72,64,50,39,19,17,9.8,13,10
"2018/04/04","竹山","PM10",64,59,55,55,55,55,57,54,55,60,64,70,69,68,70,70,72,72,64,63,65,58,53,50
"2018/04/04","竹山","SO2",2.7,2.1,1.9,2,2,2.3,2.3,2.9,2.9,3.7,5.5,5.4,5.6,6.1,4.7,4.8,4.9,6.1,4.8,4.6,5,4.9,4.9,4.8
"2018/04/05","竹山","CO",0.41,0.36,0.36,0.36,0.36,0.35,0.51,0.45,0.33,0.31,0.31,0.3,0.29,0.31,0.31,0.26,0.24,0.25,0.29,0.32,0.32,0.33,0.33,0.33
"2018/04/05","竹山","NOx",21,16,19,17,19,19,25,19,11,8.3,8,7.6,7.8,8.9,9.8,8.5,7.4,8.4,10,12,13,13,16,14
"2018/04/05","竹山","O3",5.7,11,6.9,7.2,4.5,3.3,3.7,13,30,45,61,71,72,76,71,60,52,46,38,32,27,24,18,18
"2018/04/05","竹山","PM10",50,53,52,52,53,52,54,55,57,67,75,74,72,69,71,72,69,68,61,56,57,54,50,49
"2018/04/05","竹山","SO2",2.9,2.6,3.5,2.7,2.6,2.6,2.8,3.5,3.7,4.3,4.6,4,3.7,3.6,4.8,4.5,3.9,4.1,3.7,3.4,3.4,3.7,3.8,3.8
"2018/04/06","竹山","CO",0.35,0.36,0.36,0.34,0.31,0.35,0.29,0.33,0.31,0.3,0.3,0.25,0.2,0.22,0.33,0.39,0.39,0.41,0.38,0.39,0.42,0.37,0.34,0.33
"2018/04/06","竹山","NOx",14,15,13,12,12,13,12,15,12,13,8,7.1,6.7,7.5,12,13,14,15,14,14,13,11,11,9.9
"2018/04/06","竹山","O3",18,15,14,14,15,14,15,15,20,29,47,57,53,44,43,44,39,33,34,32,31,35,36,36
"2018/04/06","竹山","PM10",49,48,51,51,50,55,57,63,67,64,60,55,59,76,76,64,67,63,47,33,30,27,49,86
"2018/04/06","竹山","SO2",1.9,1.5,1.5,1.4,1.3,1.4,2,2.9,1.9,2.8,2.3,2.4,2.5,2.3,2.2,2.3,2.1,2.2,2.3,2.7,2.5,2.6,2.3,2.1
"2018/04/07","竹山","CO",0.31,0.33,0.28,0.26,0.24,0.26,0.27,0.27,0.28,0.28,0.29,0.32,0.28,0.3,0.38,0.37,0.33,0.36,0.4,0.39,0.39,0.44,0.41,0.38
"2018/04/07","竹山","NOx",9.4,7.2,6.5,6.2,5.4,6.2,8.2,9,10,9.9,12,16,12,12,15,15,11,12,15,14,13,16,16,15
"2018/04/07","竹山","O3",39,42,42,37,42,32,28,30,31,26,27,28,35,39,36,34,37,35,33,38,38,30,28,31
"2018/04/07","竹山","PM10",101,101,85,69,61,56,52,48,47,44,46,59,64,55,51,50,51,61,78,98,109,104,101,105
"2018/04/07","竹山","SO2",1.5,1.4,1.4,1.1,0.9,1,1.1,1,1.4,1.1,1.6,2.3,2.2,2,1.8,1.6,1.7,1.9,2.7,2.2,2.6,2.3,2.1,3.2
"2018/04/08","竹山","CO",0.39,0.44,0.42,0.43,0.42,0.44,0.54,0.44,0.34,0.34,0.35,0.36,0.32,0.3,0.28,0.26,0.26,0.26,0.27,0.29,0.3,0.29,0.29,0.3
"2018/04/08","竹山","NOx",14,20,17,16,15,17,21,14,8.4,6.3,7,8.6,8.3,8.9,10,9,9.9,9,9.9,11,11,11,12,11
"2018/04/08","竹山","O3",27,20,22,20,19,5.7,6,15,28,50,58,69,73,77,85,80,75,72,66,59,50,41,39,34
"2018/04/08","竹山","PM10",100,92,93,92,88,81,65,58,50,46,54,64,67,63,65,73,69,66,69,62,59,53,49,46
"2018/04/08","竹山","SO2",2.8,1.6,1.5,1.3,1.6,1.7,1.4,1.7,1.8,2.4,2.1,2.3,2.5,2.9,3.3,2.6,2.3,2,2.5,2.1,1.7,1.5,1.5,1.2
"2018/04/09","竹山","CO",0.3,0.24,0.22,0.22,0.22,0.25,0.43,0.26,0.27,0.23,0.21,0.21,0.21,0.21,0.2,0.22,0.22,0.24,0.26,0.31,0.33,0.33,0.26,0.26
"2018/04/09","竹山","NOx",12,8.3,9,8.4,8.8,11,21,9.2,9.9,8.1,6.9,9,8.2,9.6,9.5,9.5,9.5,11,12,13,14,14,11,10
"2018/04/09","竹山","O3",30,30,28,28,27,26,17,34,42,62,66,73,77,84,84,86,85,78,71,59,51,47,46,42
"2018/04/09","竹山","PM10",45,44,40,36,33,38,40,38,38,40,44,47,44,47,54,67,75,72,68,65,62,59,61,61
"2018/04/09","竹山","SO2",1,1.2,1.2,1,0.9,1,1.1,1.5,1.5,2.4,2.1,2.7,2.4,2.3,2.2,3.2,3.4,3.4,3,2.6,2.3,2.2,2.2,1.9
"2018/04/10","竹山","CO",0.27,0.26,0.24,0.25,0.26,0.32,0.5,0.38,0.31,0.19,0.19,0.2,0.2,0.2,0.21,0.21,0.23,0.25,0.3,0.37,0.38,0.45,0.32,0.3
"2018/04/10","竹山","NOx",11,12,9.1,11,11,15,23,14,13,7.4,7.4,7.6,7.9,9,9,8.4,8.9,10,14,17,17,21,16,13
"2018/04/10","竹山","O3",34,26,32,26,26,22,18,35,44,58,66,68,75,81,79,81,87,85,71,57,50,35,40,39
"2018/04/10","竹山","PM10",61,57,54,52,42,39,42,46,47,45,38,40,45,44,44,57,68,69,71,64,60,61,58,55
"2018/04/10","竹山","SO2",1.5,0.6,0.8,0.6,0.6,0.6,0.5,1.2,1.5,0.9,0.8,1.2,1.2,1.6,1.6,1.9,2.5,3.1,2.9,1.9,1.5,1.6,1.6,1.7
"2018/04/11","竹山","CO",0.29,0.27,0.28,0.27,0.27,0.39,0.54,0.52,0.3,0.22,0.21,0.19,0.2,0.22,0.22,0.22,0.21,0.22,0.24,0.27,0.29,0.26,0.25,0.24
"2018/04/11","竹山","NOx",13,11,11,10,11,15,23,20,11,9,6.6,7.3,6,6.4,6.8,6.7,7.2,8.3,9.7,11,12,12,10,11
"2018/04/11","竹山","O3",34,32,33,29,25,20,16,28,43,50,54,55,55,62,65,59,53,47,39,34,28,24,21,16
"2018/04/11","竹山","PM10",55,55,53,52,44,42,45,47,47,39,32,33,34,35,43,50,59,65,61,63,66,60,52,48
"2018/04/11","竹山","SO2",0.7,2.2,2.3,2.2,2.3,2.1,2.3,2.9,3.6,2.6,2.9,3.4,2.9,3.4,4,4,4.2,4.4,4.2,5.6,3.8,3.2,2.8,3
"2018/04/12","竹山","CO",0.26,0.22,0.21,0.21,0.19,0.25,0.32,0.44,0.27,0.19,0.17,0.16,0.17,0.16,NA,0.13,0.15,0.13,0.23,0.22,0.18,0.21,0.21,0.21
"2018/04/12","竹山","NOx",12,12,12,12,12,13,16,20,11,7.2,7.2,7.2,6.7,5.9,5.7,9,9.3,12,19,19,17,20,19,19
"2018/04/12","竹山","O3",12,8.1,6,6,4,4.1,4.2,9.4,24,30,34,42,45,38,22,32,33,27,17,11,10,4.9,3.1,2.1
"2018/04/12","竹山","PM10",49,48,42,38,32,31,35,39,39,34,33,35,41,NA,45,40,31,30,35,34,27,27,29,27
"2018/04/12","竹山","SO2",2.5,1.9,2,1.8,1.8,1.7,1.9,2.1,2.6,3.3,3.2,2.9,3.4,3.1,NA,2.4,2.2,2,1.9,1.9,2.1,2.1,2.2,2.4
"2018/04/13","竹山","CO",0.21,0.2,0.15,0.16,0.13,0.21,0.26,0.19,0.17,0.15,0.15,0.19,0.14,0.12,0.11,0.12,0.15,0.14,0.14,0.15,0.16,0.16,0.14,0.17
"2018/04/13","竹山","NOx",20,17,14,15,15,18,19,18,17,9.9,8.4,9.7,7.9,6.6,6.8,7.2,7.2,8.6,8.9,11,8.6,9.5,8.7,9.2
"2018/04/13","竹山","O3",2.2,1.9,2.3,1.3,2.6,2.4,3.7,6.6,11,26,38,50,48,45,41,39,42,33,31,26,22,18,19,14
"2018/04/13","竹山","PM10",23,21,23,19,20,26,26,29,29,30,31,39,45,41,46,51,53,49,46,56,54,44,43,41
"2018/04/13","竹山","SO2",3.1,1.7,1.5,1.7,1.5,1.6,2.5,2.1,2.4,2.4,2.9,3.4,3,2.5,3.2,3.1,3.2,2.9,3,3.6,2.6,2.7,2.8,2.1
"2018/04/14","竹山","CO",0.15,0.14,0.13,0.13,0.13,0.16,0.18,0.23,0.17,0.15,0.12,0.14,0.17,0.15,0.13,0.14,0.12,0.13,0.14,0.14,0.16,0.21,0.19,0.15
"2018/04/14","竹山","NOx",12,11,9.6,10,9.7,12,13,16,10,7.4,4.7,4.6,5.8,5.9,6.1,5.2,4.8,6.7,7.5,8.1,10,13,12,11
"2018/04/14","竹山","O3",5.3,5,4,3.4,3.3,2.3,2.9,5.3,11,22,34,41,48,50,43,34,30,23,18,17,14,9.5,8.3,5.9
"2018/04/14","竹山","PM10",37,33,29,32,32,28,26,21,23,28,28,29,37,50,50,42,34,35,37,33,32,33,33,26
"2018/04/14","竹山","SO2",1.1,1.7,1.6,1.7,1.7,1.4,1.6,1.8,2.3,2.4,2.3,2.5,3,3.2,3.1,2.7,2.6,2.4,2.4,2.4,2.7,3.4,2.5,2.2
"2018/04/15","竹山","CO",0.13,0.21,0.21,0.23,0.23,0.23,0.24,0.25,0.39,0.41,0.39,0.33,0.34,0.33,0.3,0.3,0.31,0.35,0.36,0.37,0.36,0.34,0.35,0.36
"2018/04/15","竹山","NOx",11,11,12,12,11,6.8,8.8,9.5,13,14,13,8.3,7.6,6.7,6.9,7.4,7.7,11,10,11,11,10,12,11
"2018/04/15","竹山","O3",3.9,3.5,3.4,3,3.4,12,8.1,15,18,23,33,45,59,65,65,60,59,46,41,35,33,29,24,23
"2018/04/15","竹山","PM10",25,24,26,28,25,24,27,28,36,43,35,32,53,54,37,32,30,37,39,47,52,41,33,39
"2018/04/15","竹山","SO2",2.2,1.9,1.8,2.3,2.1,1.8,2,2.1,2.6,2.7,2.7,2.6,2.7,2.8,3,2.7,2.8,2.7,2.6,2.6,2.4,1.9,2.2,2.1
"2018/04/16","竹山","CO",0.37,0.36,0.4,0.41,0.37,0.32,0.34,0.38,0.45,0.4,0.32,0.33,0.32,0.33,0.39,0.42,0.43,0.41,0.4,0.44,0.46,0.45,0.44,0.4
"2018/04/16","竹山","NOx",12,10,13,15,11,8.9,9.5,11,15,12,5.6,6.5,7.2,6.8,9,10,15,19,19,21,23,23,21,18
"2018/04/16","竹山","O3",18,19,16,12,16,26,25,24,22,26,41,44,52,64,87,95,84,63,52,38,28,23,20,19
"2018/04/16","竹山","PM10",48,53,58,62,65,55,53,58,53,49,43,54,72,73,79,87,102,113,109,104,94,82,81,65
"2018/04/16","竹山","SO2",2,1,1.5,1.7,1.4,1.2,1.3,1.3,1.8,1.6,1.5,1.8,1.9,1.6,2.3,3,3.7,2.7,2.8,3.1,2.7,2.1,2.3,2.1
"2018/04/17","竹山","CO",0.35,0.34,0.34,0.35,0.33,0.29,0.28,0.36,0.35,0.38,0.41,0.34,0.34,0.39,0.4,NA,0.37,0.38,0.38,0.41,0.48,0.49,0.49,0.52
"2018/04/17","竹山","NOx",15,15,14,14,13,12,14,18,17,22,20,14,12,14,14,NA,13,17,17,17,22,25,24,25
"2018/04/17","竹山","O3",22,17,16,14,15,20,19,16,21,21,22,32,49,61,67,NA,76,67,59,44,32,23,18,12
"2018/04/17","竹山","PM10",42,33,28,27,20,18,21,18,17,20,22,22,26,35,43,NA,45,48,52,51,56,62,60,57
"2018/04/17","竹山","SO2",1.2,1.9,1.9,1.6,1.8,1.9,1.7,1.9,1.9,2.3,2.1,2.4,2.6,3.2,2.5,NA,2.9,3,3.1,3.2,2.7,2.9,2.4,3.2
"2018/04/18","竹山","CO",0.5,0.52,0.48,0.45,0.47,0.53,0.54,0.54,0.47,0.46,0.45,0.45,0.42,0.37,0.39,0.35,0.35,0.46,0.47,0.46,0.56,0.53,0.58,0.51
"2018/04/18","竹山","NOx",24,22,24,21,20,23,23,22,15,21,15,14,12,9.8,9.3,9.2,9.3,15,19,18,20,18,19,15
"2018/04/18","竹山","O3",8.9,7.1,3.1,3.9,5.5,7.7,9.2,13,25,41,61,75,85,84,87,88,85,78,69,61,47,31,23,21
"2018/04/18","竹山","PM10",58,60,58,54,54,59,63,66,64,71,80,77,73,59,53,59,59,63,75,83,87,84,78,74
"2018/04/18","竹山","SO2",2.1,3.2,3,3,3,3.9,4,3.9,3.6,5.3,5.3,4.8,4.5,4.7,5.3,5.1,4.6,7.3,6.9,5.9,5.9,4.5,4.3,4.4
"2018/04/19","竹山","CO",0.47,0.38,0.37,0.32,0.31,0.3,0.43,0.45,0.37,0.26,0.3,0.29,0.31,0.31,0.32,0.32,0.31,0.29,0.33,0.38,0.37,0.38,0.35,0.29
"2018/04/19","竹山","NOx",13,10,11,8.2,9.3,12,16,15,14,6,7.9,8.5,9.2,9.3,11,9.4,10,11,13,14,13,14,14,10
"2018/04/19","竹山","O3",22,20,18,19,17,13,14,25,36,58,69,75,80,84,81,82,77,67,57,44,38,33,30,32
"2018/04/19","竹山","PM10",74,71,68,55,44,42,42,54,60,52,54,59,60,66,76,81,79,75,69,67,68,72,72,64
"2018/04/19","竹山","SO2",3.4,1.6,2.5,1.6,1.3,1.1,1.3,2.1,2.9,2.7,3.5,2.7,2.7,2.9,2.6,2.3,2.5,2.5,2.4,1.9,1.7,1.9,1.9,1.8
"2018/04/20","竹山","CO",0.32,0.27,0.25,0.26,0.28,0.33,0.51,0.45,0.29,0.24,0.22,0.23,0.22,0.22,0.22,0.21,0.27,0.33,0.33,0.37,0.35,0.34,0.37,0.31
"2018/04/20","竹山","NOx",11,9.7,9.1,9.1,11,14,21,19,9.9,11,7.7,11,10,8.8,14,11,14,21,18,21,16,15,15,13
"2018/04/20","竹山","O3",25,24,20,21,17,12,10,17,37,45,64,67,74,75,64,59,68,54,56,44,44,30,28,23
"2018/04/20","竹山","PM10",60,61,57,48,49,55,57,61,54,44,39,40,47,47,49,52,64,82,95,108,102,88,87,91
"2018/04/20","竹山","SO2",2,1.8,1.8,1.8,1.6,1.6,1.8,3.4,2.6,2.7,2.7,3.4,3.2,3,2.7,3,4.4,3.9,5.4,4.8,4.2,2.9,2.9,2.2
"2018/04/21","竹山","CO",0.29,0.28,0.28,0.27,0.26,0.35,0.3,0.31,0.28,0.3,0.31,0.28,0.26,0.26,0.25,0.26,0.26,0.25,0.27,0.31,0.41,0.39,0.34,0.35
"2018/04/21","竹山","NOx",11,9.6,14,11,11,16,12,12,13,14,11,9.2,6.9,7.3,8.1,8.7,9.2,9.7,9.1,10,14,17,13,13
"2018/04/21","竹山","O3",25,28,15,17,22,13,19,24,42,49,69,78,80,84,79,74,67,56,52,45,36,21,21,19
"2018/04/21","竹山","PM10",89,79,71,66,63,59,56,50,53,67,74,72,66,60,68,88,94,87,85,82,81,80,76,75
"2018/04/21","竹山","SO2",1,2.7,2.9,2.4,2.4,2.7,2.2,2.3,4,5.4,6.2,4.7,3.8,3.7,5,5.4,4.7,4.3,4.1,4.8,6,3.2,3.1,3.2
"2018/04/22","竹山","CO",0.33,0.4,0.34,0.3,0.33,0.48,0.48,0.39,0.48,0.33,0.28,0.26,0.29,0.3,0.31,0.31,0.24,0.24,0.26,0.39,0.33,0.3,0.32,0.27
"2018/04/22","竹山","NOx",12,13,11,9.6,9.8,16,16,17,17,11,4.9,5.4,5.9,6.5,7.6,7.8,6.3,6.8,7.7,15,15,12,13,11
"2018/04/22","竹山","O3",19,14,12,11,12,5,7.8,11,17,34,63,67,74,79,79,74,60,48,45,26,23,25,20,19
"2018/04/22","竹山","PM10",74,71,69,73,71,68,68,61,60,63,57,50,53,62,69,74,63,45,44,52,48,46,50,52
"2018/04/22","竹山","SO2",2.5,2,2,1.7,1.8,1.8,2.1,2.1,2.4,2.3,2,1.9,2.5,2.7,3.4,4.4,3.6,2.9,3,2.3,2.2,2.2,2.3,2.4
"2018/04/23","竹山","CO",0.31,0.29,0.24,0.25,0.27,0.4,0.41,0.4,0.37,0.24,0.26,0.23,0.22,0.21,0.21,0.21,0.23,0.34,0.34,0.28,0.29,0.27,0.32,0.23
"2018/04/23","竹山","NOx",15,15,10,10,14,18,19,17,15,14,9.3,6.5,7,7.8,8.1,11,8.7,15,15,13,13,15,16,14
"2018/04/23","竹山","O3",12,11,15,15,8.2,5,10,16,27,43,60,63,67,70,65,52,50,35,24,20,16,13,4.5,8
"2018/04/23","竹山","PM10",49,44,42,44,45,49,54,56,56,52,52,53,50,54,59,62,44,30,35,34,32,35,37,38
"2018/04/23","竹山","SO2",2.4,1.2,1,1,1,1,1.2,1.6,1.3,2,2,2,2.3,3.5,3.8,2.5,1.2,1.7,1.4,1.3,1.3,2.7,1.9,2.3
"2018/04/24","竹山","CO",0.23,0.23,0.23,0.22,0.2,0.2,0.24,0.41,0.35,0.26,0.19,0.19,0.2,0.17,0.16,0.15,0.2,0.22,0.22,0.2,0.22,0.33,0.22,0.2
"2018/04/24","竹山","NOx",13,11,12,11,11,8.7,12,19,25,15,5.4,4.8,6,5.3,6.4,5.9,10,11,12,6.7,9.4,16,13,9.9
