"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/08","竹山","CO",0.38,0.39,0.36,0.34,0.32,0.36,0.53,0.5,0.42,0.65,0.57,0.59,0.34,0.25,0.24,0.24,0.36,0.37,0.35,0.33,0.24,0.27,0.2,0.23
"2018/01/08","竹山","NOx",13,13,15,14,10,11,20,19,16,28,27,39,23,15,13,12,22,21,22,21,9.8,11,9.1,10
"2018/01/08","竹山","O3",2.1,1.8,1.5,3.1,5.9,5.3,3,3.6,7.4,5.1,6.7,2.9,12,23,26,25,15,16,11,10,26,27,22,18
"2018/01/08","竹山","PM10",30,28,27,30,37,43,47,51,53,54,49,51,53,31,13,8,10,14,13,16,13,8,12,12
"2018/01/08","竹山","SO2",0.7,1.1,0.8,0.7,0.8,0.9,1,1.2,1.1,2.1,2.1,3,1.6,0.9,0.8,0.7,0.9,1.1,0.7,0.8,0.7,0.5,0.7,0.7
"2018/01/09","竹山","CO",0.34,0.5,0.41,0.42,0.44,0.28,0.47,0.56,0.56,0.56,NA,NA,NA,0.56,0.54,0.56,0.56,0.55,0.59,0.63,0.62,0.58,0.48,0.41
"2018/01/09","竹山","NOx",16,16,12,8.5,9.3,6.2,10,14,18,20,NA,NA,NA,NA,NA,24,24,27,28,31,30,24,17,12
"2018/01/09","竹山","O3",11,7.5,14,21,13,26,17,12,12,13,NA,NA,NA,14,18,14,13,11,8.8,5.5,5.2,8.4,15,21
"2018/01/09","竹山","PM10",12,15,11,7,7,10,11,14,20,22,16,18,22,21,NA,35,37,43,47,47,46,47,45,37
"2018/01/09","竹山","SO2",0.5,2.5,2.6,2.7,2.5,2.2,2.5,2.4,2.4,2.3,NA,NA,NA,0.8,0.6,0.9,0.6,0.8,0.2,0,0.1,0.2,-0.2,-0.4
"2018/01/10","竹山","CO",0.32,0.29,0.28,0.29,0.3,0.28,0.26,0.35,0.29,0.32,0.36,0.44,0.39,0.34,0.33,NA,0.29,0.31,0.41,0.44,0.49,0.42,0.44,0.41
"2018/01/10","竹山","NOx",7.6,7.1,6.4,6.6,8.3,8.8,9.9,15,14,16,17,23,16,12,9.7,NA,17,19,26,28,28,27,28,26
"2018/01/10","竹山","O3",29,29,28,27,24,24,24,20,21,22,27,28,37,50,NA,56,43,35,25,18,9.6,15,13,13
"2018/01/10","竹山","PM10",33,25,24,35,49,57,45,32,26,28,37,39,35,38,NA,46,47,45,45,48,45,42,40,40
"2018/01/10","竹山","SO2",2.9,3.2,3.4,3.4,3.8,4.3,3.5,3.5,3.5,4,4.2,3.6,3.3,3.4,3.4,NA,1.5,1.2,1.3,1.6,0.9,1.7,1.4,0.9
"2018/01/11","竹山","CO",0.41,0.44,0.44,0.43,0.36,0.35,0.42,0.45,0.31,0.3,0.32,0.34,0.39,0.29,0.3,0.29,0.3,0.33,0.39,0.39,0.37,0.38,0.34,0.34
"2018/01/11","竹山","NOx",24,20,20,18,16,16,20,20,13,13,15,17,22,13,12,10,11,17,23,21,19,19,14,15
"2018/01/11","竹山","O3",10,7.5,6.6,6,13,13,8.5,11,21,23,24,27,32,43,46,54,55,39,29,28,28,24,28,27
"2018/01/11","竹山","PM10",41,39,40,39,35,33,36,39,32,29,36,39,40,40,39,43,46,51,56,59,57,53,50,47
"2018/01/11","竹山","SO2",1.3,1.4,1,1,1.7,1.1,1.1,1.5,0.7,0.8,0.7,1,1.2,1.1,2,2,2.2,2.3,2.6,2.6,2.4,2.2,2.4,2.6
